,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20120718,2.833,12.395,26.875,0.0,95.693,215.146,70.1458333333,0.11688541904102485,74.403,-1.83333,0.30000000000000004,0.0043625,7,0.0,0.0,0.0,0.0,6.0310000000000015,6.0310000000000015,6.0310000000000015,24.195999999999998,552.0,1,12,74,12,0,0,0,0,0,0,0,0,0,0,0.109
1,20120719,3.165,11.729000000000001,31.25,0.0,95.88799999999999,214.771,71.1666666667,0.03338733800288922,70.4952,-1.02083,0.30000000000000004,0.0036000000000000008,7,0.0,0.0,0.0,0.0,6.0310000000000015,6.0310000000000015,6.0310000000000015,23.811999999999998,552.0,1,12,74,12,0,0,0,0,0,0,0,0,0,0,0.104
2,20120720,3.216,10.248,40.0,0.0,96.051,216.896,70.6666666667,0.04359449464934585,74.0181,-3.75,0.30000000000000004,0.0035125,7,0.0,0.0,0.0,0.0,1.1840000000000002,6.0310000000000015,6.0310000000000015,12.645,552.0,1,12,74,12,0,0,0,0,0,0,0,0,0,0,0.107
3,20120721,3.4,10.198,39.875,0.0,96.052,220.0,71.7083333333,0.031061981240284624,73.8639,-2.625,0.30000000000000004,0.003425,7,0.0,0.0,0.0,0.0,0.0,6.0310000000000015,6.0310000000000015,12.645,552.0,1,12,74,12,0,0,0,0,0,0,0,0,0,0,0.11199999999999999
4,20120723,2.432,12.739,37.770833333333336,0.0,95.57,217.833,75.0625,0.007935528055925402,77.5892,0.875,0.30000000000000004,0.0032500000000000003,7,0.0,0.0,0.0,0.0,0.0,6.0310000000000015,6.0310000000000015,12.645,552.0,1,12,74,12,0,0,0,0,0,0,0,0,0,0,0.106
5,20120724,1.9880000000000002,15.385,36.145833333333336,0.0,95.40799999999999,215.375,78.9375,0.043803273061537064,72.908,3.25,0.30000000000000004,0.0031625,7,0.0,0.0,0.0,0.0,0.0,6.0310000000000015,6.0310000000000015,12.645,552.0,1,12,74,12,0,0,0,0,0,0,0,0,0,0,0.107
6,20120725,1.93,16.947,29.58333333333333,0.0,95.398,209.792,71.7708333333,0.13752743420118227,60.2721,2.4375,0.30000000000000004,0.003075,7,0.0,0.0,0.0,0.0,0.0,1.1840000000000002,6.0310000000000015,12.645,552.0,1,12,74,12,0,0,0,0,0,0,0,0,0,0,0.12
7,20120726,2.521,13.024000000000001,39.9375,0.0,95.586,217.021,74.3125,0.04848146867026756,76.0416,-3.0,0.30000000000000004,0.0029875,7,0.0,0.0,0.0,0.0,0.0,0.0,6.0310000000000015,12.645,552.0,1,12,74,12,0,0,0,0,0,0,0,0,0,0,0.103
8,20120727,3.175,10.549000000000001,39.520833333333336,0.0,95.874,227.125,75.8541666667,0.06579284458420784,76.0494,-6.16667,0.30000000000000004,0.0029,7,0.0,0.0,0.0,0.0,0.0,0.0,6.0310000000000015,6.0310000000000015,552.0,1,12,74,12,0,0,0,0,0,0,0,0,0,0,0.099
9,20120728,3.0780000000000003,10.362,45.1875,0.0,95.999,225.271,78.625,0.05708676372736433,86.2949,-1.95833,0.30000000000000004,0.0030875,7,0.0,0.0,0.0,0.0,0.0,0.0,6.0310000000000015,6.0310000000000015,552.0,1,12,74,12,0,0,0,0,0,0,0,0,0,0,0.10099999999999999
