,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20111202,3.134,15.642000000000001,53.75,0.0,100.021,382.651,236.91666666700002,2.571511281330518,165.437,11.0208,1.4,0.0861625,12,0.0,0.8690000000000001,0.8690000000000001,18.476000000000006,21.781,32.798,35.99000000000001,59.37800000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.191
1,20111203,3.282,16.724,62.33333333333334,0.0,99.675,371.01,233.77083333299998,2.069539137971172,146.188,7.77083,1.4,0.08610000000000001,12,0.0,0.0,0.8690000000000001,1.042,21.756000000000004,32.466,35.99000000000001,59.29800000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.187
2,20111204,5.267,13.43,54.41666666666666,0.0,99.883,374.514,178.545454545,1.996268896939025,204.293,-2.0,1.4,0.0855375,12,0.0,0.0,0.8690000000000001,0.8690000000000001,21.756000000000004,21.901000000000003,35.99000000000001,59.29800000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.173
3,20111205,2.219,15.741,49.1875,0.0,99.84100000000001,387.5,238.75,1.9569173647541884,160.752,8.72917,1.4,0.08497500000000001,12,0.0,0.0,0.0,0.8690000000000001,18.476000000000006,21.823000000000004,35.08300000000001,59.29800000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.17
4,20111206,1.5859999999999999,18.564,47.54166666666666,0.0,99.485,382.81300000000016,241.47916666700002,1.9757781760653328,175.96200000000005,9.35417,1.4,0.0844125,12,0.0,0.0,0.0,0.8690000000000001,1.042,21.823000000000004,32.968,59.29800000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.157
5,20111207,1.577,20.569000000000006,47.35416666666666,0.0,99.104,354.944,203.891304348,2.361177965963648,153.67,9.375,1.4,0.08385000000000001,12,0.0,0.0,0.0,0.0,0.8690000000000001,21.781,32.798,59.29800000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.157
6,20111208,2.173,23.671,39.04166666666666,0.0,98.855,356.39599999999996,219.60416666700002,1.274095218300957,130.439,10.5344,1.4,0.0832875,12,0.0,0.0,0.0,0.0,0.8690000000000001,21.756000000000004,32.466,58.49200000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.17800000000000002
7,20111209,2.653,24.163,43.875,0.0,98.84,302.557,186.1875,2.169909238038961,103.889,12.3958,1.4,0.082725,12,0.0,0.0,0.0,0.0,0.8690000000000001,21.756000000000004,21.901000000000003,40.34300000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.17
8,20111210,1.88,20.829,69.0625,2.945,98.49799999999999,190.0,101.333333333,2.947581049055904,75.4504,-2.625,1.4,0.0821625,12,2.945,2.945,2.945,2.945,2.945,21.421,24.768,38.935,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.179
9,20111211,3.858,17.511,72.0625,2.883,98.492,336.332,179.11627907,3.830981533109717,146.499,-4.02083,1.4,0.0816,12,5.8279999999999985,5.827999999999999,5.8279999999999985,5.827999999999999,5.8279999999999985,6.869999999999999,27.651000000000003,41.81800000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.208
10,20111212,3.986,15.88,57.35416666666666,0.0,98.772,392.833,246.72916666700002,3.5680164966647507,194.459,4.22917,1.4,0.08182500000000001,12,2.883,5.827999999999999,5.8279999999999985,5.827999999999999,5.8279999999999985,6.696999999999999,27.609,41.81800000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.185
11,20111213,5.235,14.975999999999999,56.72916666666666,0.0,99.221,370.38599999999997,192.886363636,2.73595029282288,197.52599999999998,-0.1875,1.4,0.08205,12,0.0,2.883,5.8279999999999985,5.827999999999999,5.8279999999999985,6.696999999999999,27.584000000000003,41.81800000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.18600000000000005
12,20111214,3.8160000000000003,15.77,52.20833333333334,0.0,99.499,394.44300000000004,243.64583333299998,2.2814475820944082,194.06,7.91667,1.4,0.082275,12,0.0,0.0,5.8279999999999985,5.827999999999999,5.8279999999999985,6.696999999999999,27.584000000000003,41.81800000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.16899999999999998
13,20111215,2.72,19.355,59.39583333333334,0.0,99.445,346.97900000000016,218.625,1.594214712419416,148.957,12.625,1.4,0.0825,12,0.0,0.0,2.883,5.827999999999999,5.8279999999999985,5.827999999999999,24.304,40.91100000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.17800000000000002
14,20111216,2.353,23.16,51.3125,0.0,99.46700000000001,342.9790000000001,217.0625,1.67009462311483,133.407,18.7344,1.4,0.082725,12,0.0,0.0,0.0,5.827999999999999,5.8279999999999985,5.827999999999999,6.869999999999999,38.79600000000001,151.0,0,29,48,22,0,0,1,0,0,0,0,0,0,0,0.168
