,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000314,4.331,8.421,87.48958333,1.938,102.127,33.909,3.810291667,0.012707272649949995,1.1156,2.10029,1.2000000000000002,0.0382375,3,1.938,1.938,1.938,8.568,11.118,41.718,46.81800000000001,46.81800000000001,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.248
1,20000315,4.1080000000000005,5.916,68.990625,0.0,103.046,115.225,47.6028125,0.019985190221311115,-9.08277,-0.787604,1.2000000000000002,0.039075,3,1.938,1.938,1.938,2.55,11.118,36.924,46.81800000000001,46.81800000000001,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.254
2,20000316,3.65,8.07,86.58125,0.102,103.146,70.234,39.21833333,0.01141356298572346,-41.1319,1.97831,1.2000000000000002,0.0399125,3,0.102,2.04,2.04,2.04,11.22,33.66,46.92,46.92,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.25
3,20000319,2.449,6.205,89.24270833,0.51,103.358,88.30799999999998,39.78935417,0.13553773343086975,12.8305,0.573,1.2000000000000002,0.042425,3,2.4480000000000004,2.448,2.5500000000000003,4.488,4.488,13.668,44.268,49.368,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.258
4,20000320,1.749,5.445,88.048125,0.0,103.004,136.484,67.38795833,0.4301492019596273,57.5498,-0.0954375,1.2000000000000002,0.0432625,3,0.51,2.448,2.5500000000000003,4.488,4.488,13.668,39.474000000000004,49.368,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.26899999999999996
5,20000321,1.968,6.505,85.74458333,0.102,102.321,159.592,86.1036875,0.5230424266541452,66.7164,1.37971,1.2000000000000002,0.0441,3,0.102,0.612,2.5500000000000003,2.6519999999999997,4.59,13.77,36.21,49.46999999999999,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.249
6,20000322,2.292,9.02,73.31875,0.0,101.721,173.565,71.27520833,0.8270077098465898,61.9291,1.16646,1.2125,0.0452,3,0.102,0.102,2.5500000000000003,2.6519999999999997,4.59,11.22,33.251999999999995,49.46999999999999,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.262
7,20000323,2.305,11.168,69.35458333,0.0,101.354,154.849,69.26189583,0.5647836091731894,45.725,1.77442,1.225,0.0463,3,0.0,0.102,0.612,2.55,4.59,5.202000000000001,16.014,49.46999999999999,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.248
8,20000324,2.594,10.314,84.800625,4.692,100.84,45.795,14.28264583,0.17632322425272562,-21.1175,3.17748,1.2375,0.047400000000000005,3,4.692,4.692,4.7940000000000005,7.242000000000001,7.344000000000001,9.282,18.462000000000003,54.16199999999999,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.231
9,20000325,3.196,10.074,78.48625,0.7140000000000001,101.181,89.956,40.65266667,0.6567918863469805,-14.429,3.06658,1.25,0.0485,3,5.4060000000000015,5.4060000000000015,5.508000000000001,6.0180000000000025,8.058000000000002,9.996,19.176,54.87599999999999,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.245
10,20000326,2.563,6.0310000000000015,89.904375,4.182,100.919,107.016,55.840625,0.5131465941798046,26.2062,0.901333,1.2625000000000002,0.049600000000000005,3,4.896,9.588,9.588,9.69,12.138000000000002,14.178000000000004,23.358000000000004,59.05799999999999,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.256
11,20000327,3.25,5.5820000000000025,91.23333333,0.306,101.06,81.167,45.6796875,0.1753220105950583,11.289,0.35200000000000004,1.275,0.0507,3,4.488,5.202000000000001,9.894,9.996000000000002,12.444,14.484000000000005,21.114,59.364,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.267
12,20000328,3.597,3.812,88.85,0.306,101.696,35.516,10.45645833,0.21024348485974248,-11.3192,-1.56302,1.2875,0.051800000000000006,3,0.612,4.7940000000000005,10.2,10.2,10.812000000000001,14.790000000000004,15.402,59.67,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.262
13,20000329,4.3439999999999985,5.358,93.1,0.306,101.458,31.372,18.21533333,0.14649086093518038,-50.9986,-0.749625,1.3,0.0529,3,0.612,0.9179999999999999,5.814,10.505999999999998,10.607999999999999,13.158,15.096000000000002,54.87600000000001,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.265
14,20000330,2.729,6.4110000000000005,88.42291667,0.0,101.129,26.409,11.82027083,0.12916365826606024,-23.3448,0.352458,1.3250000000000002,0.055225,3,0.306,0.612,5.1,10.505999999999998,10.607999999999999,13.158,15.096000000000002,50.082,16,0,7,76,17,0,0,0,0,1,0,0,0,0,0,0.264
