,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20010510,1.236,7.785,59.80772916666666,0.271,95.084,226.863,162.145925926,1.5580831259242836,66.1998,-1.24167,0.5125000000000001,0.047,5,1.867,1.867,1.867,1.867,2.094,3.945,4.2360000000000015,20.009,540,0,15,39,44,0,0,0,0,0,0,0,0,1,0,0.223
1,20010511,1.167,11.0,41.734375,0.0,95.265,244.076,126.335416667,1.3785730073203366,75.744,2.34898,0.525,0.0488,5,0.271,1.867,1.867,1.867,1.905,3.945,4.2360000000000015,17.154999999999998,540,0,15,39,44,0,0,0,0,0,0,0,0,1,0,0.23399999999999999
2,20010512,1.034,15.482000000000001,29.923166666666663,0.0,95.075,237.91299999999998,120.2525,1.1630309467717892,72.3388,5.2733300000000005,0.5375,0.0506,5,0.0,0.271,1.867,1.867,1.905,3.945,4.11,16.607,540,0,15,39,44,0,0,0,0,0,0,0,0,1,0,0.223
3,20010513,1.8330000000000002,16.134,46.19708333333333,0.5,94.165,169.925,76.5735416667,1.3945435400707755,52.805,5.239809999999999,0.55,0.0524,5,0.5,0.5,2.367,2.367,2.367,4.0139999999999985,4.445,15.704,540,0,15,39,44,0,0,0,0,0,0,0,0,1,0,0.214
4,20010514,1.632,15.716,47.42479166666666,0.0,93.76,202.338,100.48,1.655376673003694,54.5569,-1.26188,0.5625,0.054200000000000005,5,0.5,0.5,0.7709999999999999,2.367,2.367,2.931,4.445,14.878,540,0,15,39,44,0,0,0,0,0,0,0,0,1,0,0.203
5,20010515,2.307,10.661,71.06795833333334,0.0,93.17200000000001,59.994,24.9483333333,0.2612224913452598,13.4573,6.95292,0.5750000000000001,0.056,5,0.0,0.5,0.5,2.367,2.367,2.594,4.445,14.878,540,0,15,39,44,0,0,0,0,0,0,0,0,1,0,0.208
6,20010516,2.545,9.443999999999999,65.52835416666666,0.0,93.556,126.984,71.4110416667,0.7146082568379435,41.8721,8.54044,0.5875,0.0578,5,0.0,0.0,0.5,0.7709999999999999,2.367,2.405,4.445,14.878,540,0,15,39,44,0,0,0,0,0,0,0,0,1,0,0.21100000000000002
7,20010517,2.013,12.635,40.875625,0.0,93.785,255.132,123.98083333299999,1.2839313520563036,80.8844,4.61479,0.6000000000000001,0.0596,5,0.0,0.0,0.5,0.5,2.367,2.405,4.445,14.774000000000001,540,0,15,39,44,0,0,0,0,0,0,0,0,1,0,0.21
8,20010518,1.9240000000000002,12.104000000000001,34.79022916666667,0.0,94.18299999999999,234.755,116.60125,1.0353714084807824,68.4171,7.33875,0.625,0.061725,5,0.0,0.0,0.0,0.5,2.367,2.367,4.013999999999999,14.657,540,0,15,39,44,0,0,0,0,0,0,0,0,1,0,0.204
9,20010519,1.445,8.904,52.50375,4.0,94.185,158.703,69.6485416667,0.8634118283356869,43.5484,5.0458300000000005,0.65,0.06385,5,4.0,4.0,4.0,4.5,4.771,6.367000000000001,6.931,10.725999999999996,540,0,15,39,44,0,0,0,0,0,0,0,0,1,0,0.201
