,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20070621,0.9309999999999999,15.78,91.54791666666668,7.7,99.154,75.968,4.2225625,1.1034465910723514,-6.41081,-15.9937,2.1625,0.327375,6,8.559000000000001,8.959000000000003,10.158999999999999,12.159,15.959000000000001,25.559,25.559,76.218,103,0,15,26,58,0,0,0,0,0,0,0,1,0,0,0.28200000000000003
1,20070622,1.765,15.997,80.70375,0.2,98.859,189.862,70.0642916667,3.0975304362809486,-11.9279,-8.728110000000001,2.15,0.326,6,7.9,8.759,9.859,11.659,16.159000000000002,25.759,25.759,76.316,103,0,15,26,58,0,0,0,0,0,0,0,1,0,0,0.325
2,20070623,2.647,15.677,82.25937499999998,6.7,98.84899999999999,180.6,59.247212766000004,3.242515101972433,-14.8604,-4.06631,2.1375,0.324625,6,6.9,14.6,15.859000000000002,17.059,22.859,24.659,32.459,83.016,103,0,15,26,58,0,0,0,0,0,0,0,1,0,0,0.293
3,20070624,1.922,17.644000000000005,73.96375,1.5,99.03200000000001,199.933,88.8623958333,3.2239764406217777,-18.3651,-15.9937,2.125,0.32325000000000004,6,8.2,8.399999999999999,16.959,18.059,20.559,25.259,33.959,72.459,103,0,15,26,58,0,0,0,0,0,0,0,1,0,0,0.306
4,20070625,2.7769999999999997,16.621,79.15249999999997,9.4,98.215,172.252,48.47375,3.257296493720986,-23.563000000000002,-8.728110000000001,2.1125000000000003,0.321875,6,10.9,17.6,25.5,26.759,29.259,33.759,43.359,66.75899999999999,103,0,15,26,58,0,0,0,0,0,0,0,1,0,0,0.29
5,20070626,3.806,12.811,80.74333333333334,2.3,98.009,169.075,53.7386875,3.401982735177703,-7.51854,-4.06631,2.1,0.3205,6,11.7,13.2,20.1,28.659,30.259,36.059,45.65899999999999,67.45899999999999,103,0,15,26,58,0,0,0,0,0,0,0,1,0,0,0.295
6,20070627,3.358,12.797,70.36854166666667,0.0,98.654,257.471,109.958458333,4.451871812194459,0.29382800000000003,-15.9937,2.1,0.31535,6,2.3,11.7,19.9,27.8,29.759,36.059,45.65899999999999,62.358999999999995,103,0,15,26,58,0,0,0,0,0,0,0,1,0,0,0.289
7,20070628,2.957,14.179,73.81625000000003,0.2,98.976,200.15400000000002,80.61225,3.5676493233687308,-7.882989999999999,-8.728110000000001,2.1,0.31020000000000003,6,0.2,2.5,13.4,20.3,29.259,36.259,38.059,62.559,103,0,15,26,58,0,0,0,0,0,0,0,1,0,0,0.29
8,20070629,3.287,14.925,78.79395833333331,0.1,99.11,137.404,39.7392291667,2.641203467744773,-23.0051,-4.06631,2.1,0.30505,6,0.30000000000000004,0.30000000000000004,12.0,20.2,28.959,32.559,37.25899999999999,62.65899999999999,103,0,15,26,58,0,0,0,0,0,0,0,1,0,0,0.307
9,20070630,2.492,16.775,78.50833333333333,0.0,99.322,134.54,55.78275,2.313531623346594,-17.3281,-15.9937,2.1,0.2999,6,0.1,0.30000000000000004,2.6,13.5,28.1,31.859,36.359,46.15899999999999,103,0,15,26,58,0,0,0,0,0,0,0,1,0,0,0.29100000000000004
