,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,2.827,11.831,83.70601042,0.0,101.86,131.373,61.907125,2.568235569683631,16.5204,11.2479,1.2000000000000002,0.0585,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.272
1,20000227,2.449,11.408,87.5234875,0.0,101.479,145.697,78.0784375,2.485565655684041,28.0033,11.5479,1.1875,0.05992500000000001,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.25
2,20000228,2.6,9.558,98.87207292,1.23,101.45,43.051,24.79191667,0.9734417803971096,-13.8225,6.25338,1.175,0.06135,2,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.257
3,20000229,5.1560000000000015,9.766,94.69655417,1.23,101.181,47.633,26.38264583,1.194071361266595,-12.566,7.2682699999999985,1.1625,0.062775,2,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.253
4,20000301,5.879,9.614,90.02351875,13.309,100.802,89.969,44.53120833,1.9226640344417123,2.35585,10.3633,1.15,0.06420000000000001,3,14.539,15.769,15.769000000000002,15.768999999999998,15.769000000000002,15.768999999999998,15.769000000000002,15.768999999999998,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.251
5,20000302,2.108,8.248,72.01954792,0.0,101.994,151.042,68.86308333,2.7887621654025483,24.982,14.9651,1.1375,0.065625,3,13.309,14.539,15.769000000000002,15.768999999999998,15.769000000000002,15.768999999999998,15.769000000000002,15.768999999999998,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.28
6,20000303,3.438,8.821,82.47732292,0.0,101.406,112.43,60.3035,2.3921190926252125,-0.360468,15.2614,1.125,0.06705,3,0.0,13.309,15.769000000000002,15.768999999999998,15.769000000000002,15.768999999999998,15.769000000000002,15.768999999999998,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.27
7,20000304,4.203,9.36,79.36968542,2.978,101.573,154.558,91.4656875,2.5583299620859785,22.496,13.2369,1.1125,0.06847500000000001,3,2.978,2.978,17.517000000000003,18.747,18.747000000000003,18.747,18.747000000000003,18.747,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.268
8,20000305,3.3710000000000004,6.4910000000000005,52.90950833,0.0,102.225,166.673,76.2664375,2.726801686922826,36.0223,13.2264,1.1,0.0699,3,2.978,2.978,16.287000000000006,18.747,18.747000000000003,18.747,18.747000000000003,18.747,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.264
9,20000306,2.929,9.283,46.94446667,0.0,101.856,165.003,78.03458333,2.6937630962759482,36.0205,13.1021,1.1125,0.0702625,3,0.0,2.978,2.978,17.517,18.747000000000003,18.747,18.747000000000003,18.747,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.261
10,20000307,2.6860000000000004,10.479,60.18807083,0.0,101.89,165.679,82.21083333,2.6771430816704784,35.7844,9.83611,1.125,0.07062500000000001,3,0.0,0.0,2.978,16.287,18.747000000000003,18.747,18.747000000000003,18.747,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.263
11,20000308,2.114,12.496,53.69539375,0.0,102.217,165.938,81.48895833,2.780968507379872,35.4329,11.8002,1.1375,0.07098750000000001,3,0.0,0.0,2.978,2.978,18.747000000000003,18.747,18.747000000000003,18.747,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.255
12,20000309,2.804,13.614,53.54414792,0.0,102.173,172.293,84.18958333,2.6322340744861723,39.3028,3.73854,1.15,0.07135,3,0.0,0.0,0.0,2.978,17.517000000000003,18.747,18.747000000000003,18.747,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.267
13,20000310,2.89,12.287,82.842775,0.0,102.008,174.205,92.62625,2.836288763070188,32.1366,8.29645,1.1625,0.0717125,3,0.0,0.0,0.0,2.978,16.287000000000006,18.747,18.747000000000003,18.747,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.249
14,20000311,2.846,12.546,78.8972,0.0,101.371,170.801,99.77929167,2.846902243296084,35.3498,10.1114,1.175,0.072075,3,0.0,0.0,0.0,0.0,2.978,18.747,18.747000000000003,18.747,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.24600000000000002
15,20000312,3.553,12.895,66.72225208,0.0,101.038,175.09099999999995,85.77041667,2.690897456318872,35.0295,3.90387,1.1875,0.0724375,3,0.0,0.0,0.0,0.0,2.978,18.747,18.747000000000003,18.747,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.251
16,20000313,2.722,9.725,80.32730417,0.0,101.394,173.075,93.3397234,2.8133950691611176,39.5153,8.91436,1.2000000000000002,0.0728,3,0.0,0.0,0.0,0.0,2.978,18.747,18.747000000000003,18.747,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.251
17,20000314,2.699,11.713,76.10436458,0.0,101.89,169.722,-0.0004375,2.600936019893763,34.3859,4.665769999999998,1.2000000000000002,0.0720875,3,0.0,0.0,0.0,0.0,0.0,17.517,18.747000000000003,18.747,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.258
18,20000315,3.667,10.138,73.96107083,0.115,102.173,184.28,-8.329999999999999e-05,2.726560460713274,48.8237,1.01908,1.2000000000000002,0.07137500000000001,3,0.115,0.115,0.115,0.115,0.115,16.402,18.862,18.862,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.239
19,20000316,3.422,8.85,65.07166458,0.0,102.244,180.902,70.83648936,2.9038256847297457,42.1534,7.84515,1.2000000000000002,0.0706625,3,0.115,0.115,0.115,0.115,0.115,3.0930000000000004,18.862,18.862,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.25
20,20000317,3.4610000000000003,9.254,75.4286375,0.0,101.933,175.93,97.1528125,2.997638587822137,28.691,10.4183,1.2000000000000002,0.06995,3,0.0,0.115,0.115,0.115,0.115,3.0930000000000004,18.862,18.862,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.259
21,20000318,3.625,8.95,76.2395375,0.0,101.871,95.428,43.56677083,1.3223987766604537,-2.80114,-2.24295,1.2000000000000002,0.06923750000000001,3,0.0,0.0,0.115,0.115,0.115,3.0930000000000004,18.862,18.862,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.223
22,20000319,3.861,7.3439999999999985,71.15695625,0.0,101.713,144.814,73.78160417,2.4806555618550576,30.0742,7.977889999999999,1.2000000000000002,0.068525,3,0.0,0.0,0.115,0.115,0.115,0.115,17.632,18.862,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.223
23,20000320,3.904,8.504,70.5359125,0.0,100.967,169.299,94.6190625,2.8248288627269016,39.1192,6.5647600000000015,1.2000000000000002,0.0678125,3,0.0,0.0,0.0,0.115,0.115,0.115,16.402,18.862,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.225
24,20000321,3.129,11.413,64.16552708,0.0,100.606,189.866,107.09520829999998,3.087978780527408,42.8079,10.5417,1.2000000000000002,0.0671,3,0.0,0.0,0.0,0.115,0.115,0.115,3.0930000000000004,18.862,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.217
25,20000322,3.27,12.607,70.60211042,0.092,100.408,157.329,85.28666667,2.6324261364950474,36.7747,6.71805,1.2000000000000002,0.0669,3,0.092,0.092,0.092,0.092,0.207,0.207,3.185,18.954,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.247
26,20000323,2.988,12.114,86.59641667,6.9910000000000005,100.008,83.682,45.7718125,1.3963343562836348,1.02819,-4.13668,1.2000000000000002,0.06670000000000001,3,7.0829999999999975,7.0829999999999975,7.0829999999999975,7.0829999999999975,7.1979999999999995,7.198,10.176,25.945,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.238
27,20000324,2.817,11.96,76.25946875,0.105,100.467,161.214,96.98964583,2.162930389793915,28.2552,-2.77966,1.2000000000000002,0.0665,3,7.096000000000001,7.1880000000000015,7.1880000000000015,7.1880000000000015,7.303000000000001,7.303000000000001,7.303000000000001,26.05,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.254
28,20000325,2.551,9.799,83.85317083,4.706,100.744,81.455,35.85904167,1.038058740846272,-13.9693,-7.8932600000000015,1.2000000000000002,0.0663,3,4.811000000000001,11.802,11.894000000000002,11.894000000000002,11.894000000000002,12.009000000000002,12.009000000000002,30.756,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.243
29,20000326,3.634,7.586,95.78367917,9.939,100.706,58.31399999999999,28.9660625,1.2680606053490648,-15.1365,4.16925,1.2000000000000002,0.0661,3,14.645,14.75,21.833000000000002,21.833,21.833000000000002,21.948,21.948,40.69499999999999,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.24
30,20000327,3.217,8.621,84.82056042,8.113999999999999,100.121,135.77200000000002,83.8273125,2.1758715951930068,25.1163,5.18661,1.2000000000000002,0.0659,3,18.053,22.759,29.855,29.947,29.947,30.061999999999994,30.061999999999994,48.80899999999998,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.266
31,20000328,3.13,6.291,83.0050125,1.444,100.123,163.509,96.47520833,3.103959283443833,39.5704,12.1484,1.2000000000000002,0.06570000000000001,3,9.558,19.497,24.308000000000003,31.391,31.391,31.506,31.506,50.25299999999999,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.257
32,20000329,2.5,6.007999999999999,88.39683333,4.04,100.196,97.348,52.47502083,2.1112128139235784,2.99232,8.616610000000001,1.2000000000000002,0.0655,3,5.484,13.597999999999999,28.243000000000002,35.339,35.431,35.546,35.546,53.063,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.257
33,20000330,2.133,8.853,76.17123958,0.375,100.331,179.59099999999995,105.0189149,3.096746111673661,41.356,7.0418699999999985,1.225,0.06657500000000001,3,4.415,5.859,23.912,28.72300000000001,35.806,35.806,35.921,52.208,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.261
34,20000331,2.637,7.702000000000001,90.16869375,1.602,100.002,101.934,54.48264583,1.9327135563004736,-5.74368,8.92873,1.25,0.06765,3,1.977,6.017,15.575,30.22,37.408,37.408,37.523,40.50100000000001,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.247
35,20000401,2.827,9.612,80.82912292,0.6629999999999999,99.683,146.299,88.24558333,2.5339184387838443,11.2345,5.41107,1.275,0.06872500000000001,4,2.265,2.64,8.123999999999999,26.177,37.979,38.071,38.186,41.164,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.24600000000000002
36,20000402,4.518,13.186,71.71015417,1.1740000000000002,98.127,112.686,57.6113125,1.837000225352987,7.24407,-0.174235,1.3,0.0698,4,1.837,3.439,7.854,17.412,32.162,39.245,39.36,42.338,61,0,17,49,31,0,0,0,0,0,1,0,0,0,0,0.245
