,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000322,2.007,7.8279999999999985,60.69020833,0.0,99.932,193.973,104.14375,1.5111074759570589,79.1832,1.26907,3.0875000000000004,0.13695000000000002,3,0.008,15.075,17.541,18.553,25.196,25.374,25.841,40.772,68,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.12
1,20000323,1.928,8.033999999999999,60.73625,0.2,99.965,214.315,130.1855,1.7465448427205634,97.2793,1.17875,3.075,0.1405,3,0.2,0.20800000000000002,17.664,17.741000000000003,24.94100000000001,25.574,26.041,40.972,68,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.12
2,20000324,1.929,8.544,64.87458333,3.6,99.743,120.411,68.38497917,0.939251958358137,24.2256,1.87699,3.0625,0.14405,3,3.8,3.8,18.875,21.341,28.541,29.174,29.212,44.572,68,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.12
3,20000325,1.889,9.513,71.5425,19.0,99.676,50.027,32.122625,0.3908072423329047,-7.75387,0.5282359999999999,3.0500000000000003,0.1476,3,22.6,22.8,22.808000000000003,40.264,41.353,48.174,48.174,63.572,68,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.12
4,20000326,2.628,10.742,74.34354167,0.0,99.448,176.52700000000004,114.1970833,1.6491840876248645,79.3211,-0.354408,3.0375,0.15115,3,19.0,22.6,22.8,37.875,40.341,48.174,48.174,63.572,68,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.12
5,20000328,3.675,11.276,72.59875,9.2,98.766,78.278,44.79170833,0.9449666407614826,-6.48653,-1.48514,3.0125,0.15825,3,13.0,13.0,35.6,35.80000000000001,53.26400000000001,60.54100000000001,61.17400000000001,76.572,68,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.12
6,20000329,3.621,10.981,70.99333333,8.4,98.593,106.664,73.64251163,1.3351169837797434,19.2335,-0.866667,3.0,0.1618,3,17.6,21.4,40.40000000000001,44.20000000000001,59.27500000000001,68.94100000000002,69.57400000000001,84.97200000000002,68,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11599999999999999
7,20000330,2.656,9.327,59.61333333,0.0,99.323,211.294,111.2608511,1.9025263221301696,90.9626,1.16503,3.0250000000000004,0.161175,3,8.4,17.6,21.4,44.00000000000001,44.20800000000001,62.75300000000002,69.57400000000001,84.97200000000002,68,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11599999999999999
8,20000401,3.299,10.03,64.05104167,0.0,98.322,180.555,90.3928,1.7627948369393478,61.8126,-0.483083,3.075,0.159925,4,0.0,0.0,17.6,21.4,44.20000000000001,61.74100000000002,69.39600000000002,70.04100000000001,68,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11599999999999999
9,20000402,3.031,9.85,66.17002083,0.6,98.585,180.326,104.032,1.2861541058092256,72.7087,0.50925,3.1,0.1593,4,0.6,0.6,9.0,22.0,44.6,62.26400000000001,69.54100000000001,70.641,68,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11599999999999999
