,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20121020,3.036,-3.818,93.69942083333336,0.055999999999999994,100.785,1.78,-4.99129958333,0.0267194307821834,-7.06951,-13.3948,0.0,0.01225,10,0.268,0.833,1.477,2.146,2.693,5.6179999999999986,6.702999999999999,9.023,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
1,20121021,2.596,-2.083,97.5197625,0.635,101.133,1.012,0.6383936875,0.020047272491766868,-5.31844,-4.279,0.0,0.012,10,0.6910000000000001,0.903,1.964,2.373,3.1439999999999997,5.9979999999999976,7.2120000000000015,9.423,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
2,20121022,2.303,-3.397,96.0061875,1.98,100.49799999999999,0.508,0.5657223605,0.02925441883677249,-8.73105,-2.94056,0.0,0.01175,10,2.615,2.6710000000000003,3.4480000000000004,4.0920000000000005,5.1240000000000006,7.812,9.192,11.239999999999998,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
3,20121023,6.474,-6.8420000000000005,79.51836250000002,0.495,100.094,0.7090000000000001,-15.450961865999998,0.030491230810854936,-14.6909,-3.9685900000000003,0.0,0.0115,10,2.475,3.1100000000000003,3.378000000000001,4.439,5.256,7.978,9.687,11.359000000000002,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
4,20121024,4.2589999999999995,-16.29,68.0416,0.0,100.274,0.544,-46.6452979167,0.011953088766427169,-15.7116,-9.58492,0.0,0.0117125,10,0.495,2.475,3.1660000000000004,3.9430000000000014,4.848,6.796,9.539,10.112,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
5,20121025,3.633,-17.628,61.94109583333333,0.0,101.025,0.35,-43.0674104167,0.006350953747202413,-14.2519,-11.35,0.0,0.011925,10,0.0,0.495,3.1100000000000003,3.378000000000001,4.587,5.803,8.728000000000002,10.004,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
6,20121026,6.9179999999999975,-10.818,77.03804791666666,0.0,101.05799999999999,0.879,-26.4150488958,0.014443008565603759,-16.7394,-10.6378,0.0,0.0121375,10,0.0,0.0,2.475,3.1660000000000004,4.439,5.619,8.472999999999999,10.003,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
7,20121027,5.8839999999999995,-7.46,86.960975,0.0,100.97,0.37,-23.554585,0.022579997570779643,-19.1715,-7.45348,0.0,0.01235,10,0.0,0.0,0.495,3.1100000000000003,3.9430000000000014,5.619,8.307,9.97,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
8,20121028,2.324,-14.095999999999998,86.08123333333332,0.0,100.96700000000001,0.11900000000000001,-44.42514375,0.010608165558772795,-17.4608,-11.919,0.0,0.0125625,10,0.0,0.0,0.0,2.475,3.378000000000001,5.256,7.978,9.968,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
9,20121029,4.228,-8.78,75.02259583333334,0.0,100.697,0.001,-51.3533729167,0.018060719088311583,-25.9624,-13.2899,0.0,0.012775,10,0.0,0.0,0.0,0.495,3.1660000000000004,4.848,6.796,9.894,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
10,20121030,2.967,-7.463999999999999,82.31918125,0.0,101.289,0.272,-31.89345,0.028940601130795437,-22.0314,-10.542,0.0,0.0129875,10,0.0,0.0,0.0,0.0,3.1100000000000003,4.587,5.803,9.813,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
11,20121031,6.481,-4.494,82.05510416666667,0.06,101.19,0.021,-33.116800625,0.03240364635658328,-25.2667,-8.79169,0.0,0.0132,10,0.06,0.06,0.06,0.06,2.535,4.4990000000000006,5.678999999999999,9.747000000000002,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
12,20121115,3.7889999999999997,-9.522,77.38648541666667,0.0,100.22200000000001,0.0,-54.48594375,0.002185524449509796,-17.537,-14.8526,0.0,0.012725,11,0.0,0.009000000000000001,0.7849999999999999,0.7849999999999999,1.493,7.09,7.15,11.589,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.149
13,20121117,5.732,-6.761,89.91394791666669,0.35100000000000003,100.431,0.265,-14.043919656199998,0.01503737391458539,-18.175,-8.07292,0.0,0.01285,11,0.35100000000000003,0.35100000000000003,0.36000000000000004,1.136,1.1420000000000001,5.5920000000000005,7.500999999999999,10.879,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.149
14,20121118,5.734,-4.565,87.42494166666665,0.27399999999999997,100.13,0.0,-37.558314583299996,0.018243860942507985,-15.865,-6.45212,0.0,0.0129,11,0.625,0.625,0.625,1.41,1.41,4.0139999999999985,7.774999999999999,10.940999999999999,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.149
15,20121119,2.7880000000000003,-8.537,77.2826375,0.005,100.21,0.0,-63.1254083333,0.01663660096401654,-17.6311,-14.3526,0.0,0.01295,11,0.27899999999999997,0.63,0.6300000000000001,0.639,1.415,2.877,7.78,10.89,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.149
16,20121120,2.72,-7.94,88.32509999999998,0.7559999999999999,100.63600000000001,0.019,-10.0696182583,0.003673997857248745,-13.9647,-7.83177,0.0,0.013000000000000001,11,0.7609999999999999,1.035,1.386,1.386,2.171,2.8789999999999996,8.475999999999999,11.011,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.149
17,20121121,5.0089999999999995,-11.122,80.18096874999998,0.017,100.876,0.0,-34.2115925604,0.002427583783673765,-16.1937,-5.91014,0.0,0.01305,11,0.7729999999999999,0.7779999999999999,1.403,1.4029999999999998,2.188,2.6659999999999995,6.925,9.048,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.149
18,20121122,4.102,-15.627,79.886325,0.0,101.38799999999999,0.184,-22.752215625,0.002666268900663092,-13.554,-10.2568,0.0,0.0131,11,0.017,0.7729999999999999,1.052,1.4029999999999998,1.412,2.1939999999999995,6.644,8.552999999999999,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.149
19,20121123,2.012,-20.984,80.2048125,0.0,102.27799999999999,0.034,-44.9653104167,0.010496331049809751,-15.2267,-16.0637,0.0,0.01315,11,0.0,0.017,0.7779999999999999,1.4029999999999998,1.403,2.188,4.792,8.552999999999999,17.0,0,8,51,41,0,0,0,0,0,0,1,0,0,0,0.152
