,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,0.213,2.063,93.44791667,15.8,88.069,31.248,4.573583333,0.19287883697055536,-33.0486,-2.05206,0.6000000000000001,0.0453,2,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,1188,0,10,71,18,0,0,0,0,0,1,0,0,0,0,0.278
1,20000227,0.8140000000000001,2.294,90.999375,4.0,88.069,100.03,24.417125,0.6563081772688046,15.0552,-1.78188,0.6125,0.0435,2,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,1188,0,10,71,18,0,0,0,0,0,1,0,0,0,0,0.292
2,20000228,1.671,1.431,78.85916667,0.0,88.069,78.605,12.96747917,0.3997690739284625,1.59496,-1.82304,0.625,0.0417,2,4.0,19.8,19.8,19.8,19.8,19.8,19.8,19.8,1188,0,10,71,18,0,0,0,0,0,1,0,0,0,0,0.293
3,20000229,1.681,0.88,83.67270833,5.2,88.069,146.589,37.34925,0.876550773717466,79.286,-1.87102,0.6375000000000001,0.039900000000000005,2,5.2,9.2,25.0,25.0,25.0,25.0,25.0,25.0,1188,0,10,71,18,0,0,0,0,0,1,0,0,0,0,0.301
4,20000301,0.568,1.4340000000000002,58.5716875,0.0,88.069,91.175,25.59289583,0.4776810549118409,9.36983,-1.85115,0.65,0.0381,3,5.2,5.2,25.0,25.0,25.0,25.0,25.0,25.0,1188,0,10,71,18,0,0,0,0,0,1,0,0,0,0,0.294
5,20000302,0.575,2.732,85.55520833,0.9,88.069,90.718,31.74916667,0.7736594083534336,-8.41732,-2.26158,0.6625000000000001,0.0363,3,0.9,6.1000000000000005,10.1,25.9,25.9,25.9,25.9,25.9,1188,0,10,71,18,0,0,0,0,0,1,0,0,0,0,0.28800000000000003
6,20000303,0.494,3.8,76.95666667,0.0,88.069,127.126,49.68577083,0.8814382049896547,27.6274,-2.21187,0.675,0.0345,3,0.9,0.9,6.1000000000000005,25.9,25.9,25.9,25.9,25.9,1188,0,10,71,18,0,0,0,0,0,1,0,0,0,0,0.27699999999999997
7,20000304,1.355,2.892,79.890625,0.1,88.069,52.83600000000001,15.11016667,0.22611666747341186,-15.5466,-2.0959,0.6875,0.0327,3,0.1,1.0,6.2,10.2,26.0,26.0,26.0,26.0,1188,0,10,71,18,0,0,0,0,0,1,0,0,0,0,0.27699999999999997
8,20000305,0.826,-1.932,85.66458333,0.4,88.069,53.977,9.286125,0.05806538875015011,-8.89846,-2.34098,0.7000000000000001,0.0309,3,0.5,0.5,1.4,6.6,26.4,26.4,26.4,26.4,1188,0,10,71,18,0,0,0,0,0,1,0,0,0,0,0.301
9,20000306,1.515,-1.162,70.41291667,0.0,87.436,191.73,56.13270833,1.0688520182691232,100.942,-2.56085,0.7125,0.0332125,3,0.4,0.5,1.4,6.6,26.4,26.4,26.4,26.4,1188,0,10,71,18,0,0,0,0,0,1,0,0,0,0,0.28600000000000003
10,20000307,0.489,-1.105,72.59875,0.0,87.305,110.884,33.79102083,0.4859160714784835,44.8238,-2.5381,0.7250000000000001,0.035525,3,0.0,0.4,0.5,1.4,10.6,26.4,26.4,26.4,1188,0,10,71,18,0,0,0,0,0,1,0,0,0,0,0.27699999999999997
