,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20010614,3.4219999999999997,19.892,84.625,16.3,96.035,172.354,114.9875,4.252975376507637,10.2096,-30.1667,1.9,0.23195,6,16.3,17.189,17.997,17.997,21.044,67.079,137.32399999999998,177.577,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.18899999999999997
1,20010615,3.08,20.691,62.96666666666666,0.0,96.838,354.079,216.37916666700002,6.244443585552782,31.1929,8.04583,1.95,0.2357875,6,16.3,16.3,17.997,17.997,18.458,59.483999999999995,137.32399999999998,171.266,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.17800000000000002
2,20010616,2.214,23.104,58.1875,0.0,97.458,348.733,189.404166667,3.929024132533025,58.4606,36.7792,2.0,0.239625,6,0.0,16.3,17.189,17.997,18.458,58.761,137.32399999999998,171.266,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.17400000000000002
3,20010617,4.488,25.275,67.35000000000001,0.3,97.1,219.74599999999998,123.825,2.723179396567331,33.0548,13.8625,2.0500000000000003,0.2434625,6,0.3,0.3,16.6,18.297,18.297,58.95399999999999,136.42600000000002,171.56599999999997,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.206
4,20010618,6.96,27.834,53.55416666666667,2.2,96.556,328.1790000000001,199.158333333,4.800707132443564,47.9417,17.925,2.1,0.2473,6,2.5,2.5,18.8,19.689,20.497,44.035,123.218,173.135,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.325
5,20010619,3.094,16.393,82.16250000000002,4.9,97.751,144.525,94.3875,2.877557132785713,11.2645,-27.4708,2.1625,0.2652875,6,7.1000000000000005,7.4,7.4,23.70000000000001,25.397,28.44400000000001,74.479,150.33100000000005,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.341
6,20010620,1.771,18.323,89.17916666666667,0.9,97.821,175.717,112.375,2.482335831794785,30.3053,3.49583,2.225,0.283275,6,5.8000000000000025,8.0,8.3,24.6,26.296999999999997,26.75800000000001,67.78399999999999,150.689,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.35600000000000004
7,20010621,2.7569999999999997,19.242,69.32083333333333,0.1,97.62700000000001,316.538,188.791708333,4.022020142581203,42.3683,20.825,2.2875,0.3012625,6,1.0,5.9,8.400000000000002,8.400000000000002,25.589,26.858,67.161,150.789,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.34
8,20010622,1.6130000000000002,18.448,62.875,0.0,97.51700000000001,356.517,176.116666667,2.7428435306254237,81.9772,27.725,2.35,0.31925000000000003,6,0.1,1.0,8.100000000000001,8.400000000000002,24.70000000000001,26.397,67.054,150.286,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.32799999999999996
9,20010623,3.823,22.013,66.8625,0.0,97.15,347.19599999999997,194.829166667,3.2982289585328464,74.1026,27.2833,2.4125,0.3372375,6,0.0,0.1,5.9,8.400000000000002,24.70000000000001,26.397,49.935,147.159,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.308
10,20010624,3.891,26.636999999999997,65.68333333333334,0.0,97.02799999999999,336.44199999999995,187.241666667,4.4770133048237595,33.510999999999996,32.9083,2.475,0.355225,6,0.0,0.0,1.0,8.100000000000001,8.400000000000002,26.397,29.44400000000001,145.724,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.281
11,20010625,5.441,27.084,57.89166666666667,0.0,97.178,344.50800000000015,193.345833333,4.9568931237076495,35.2648,16.0458,2.5375,0.3732125,6,0.0,0.0,0.1,5.9,8.400000000000002,26.397,26.858,145.724,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.278
12,20010626,3.139,24.635,72.67087500000002,0.0,97.49,144.063,62.0041666667,2.1993894574003385,2.12112,-2.03333,2.6,0.3912,6,0.0,0.0,0.0,1.0,8.400000000000002,25.589000000000002,26.858,145.724,363,0,22,33,43,0,0,0,0,0,0,0,1,0,0,0.17500000000000002
