,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20040107,1.915,12.786,47.99635416666666,0.0,89.25299999999999,118.914,27.1223125,0.18239072370807824,24.3436,1.52596,0.30000000000000004,0.012775,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120,0,11,71,16,1,0,0,0,0,0,0,0,0,0,0.265
1,20040108,1.6440000000000001,13.012,44.43314583333333,0.0,89.51299999999998,103.395,20.3282291667,0.2091946903628291,20.3763,-0.626167,0.30000000000000004,0.0137875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120,0,11,71,16,1,0,0,0,0,0,0,0,0,0,0.265
2,20040109,3.681,16.547,23.146625,0.0,89.459,145.58700000000005,16.928125,0.4282495363336721,-1.90965,7.6934,0.30000000000000004,0.0148,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120,0,11,71,16,1,0,0,0,0,0,0,0,0,0,0.249
3,20040110,5.827999999999999,16.605999999999998,21.99191666666667,0.0,89.185,143.55100000000004,20.73825,0.1810090983588043,14.3026,6.47888,0.28750000000000003,0.0142625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120,0,11,71,16,1,0,0,0,0,0,0,0,0,0,0.235
4,20040111,2.332,15.538,35.767541666666666,0.254,89.102,78.138,5.31445833333,0.3893757054868381,-7.0358600000000004,-3.79621,0.275,0.013725,1,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,1120,0,11,71,16,1,0,0,0,0,0,0,0,0,0,0.222
5,20040112,1.8559999999999999,14.665,42.167416666666654,0.0,89.49,139.378,30.203333333299998,0.23875197259889835,30.9281,-1.5609600000000001,0.2625,0.0131875,1,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,1120,0,11,71,16,1,0,0,0,0,0,0,0,0,0,0.248
6,20040113,2.8480000000000003,16.212,35.863333333333344,0.0,89.516,137.523,28.8181458333,0.1881396806363477,16.3317,4.66096,0.25,0.01265,1,0.0,0.254,0.254,0.254,0.254,0.254,0.254,0.254,1120,0,11,71,16,1,0,0,0,0,0,0,0,0,0,0.238
7,20040114,4.102,12.6,61.22510416666668,0.254,88.962,33.303000000000004,-2.5505,0.32153974879136304,-7.686560000000001,-6.44452,0.2375,0.0121125,1,0.254,0.254,0.508,0.508,0.508,0.508,0.508,0.508,1120,0,11,71,16,1,0,0,0,0,0,0,0,0,0,0.196
8,20040115,1.7369999999999999,10.265999999999998,76.3463125,0.0,88.63,152.542,60.4155625,0.4645597010567136,41.5282,-4.02388,0.225,0.011575,1,0.254,0.254,0.508,0.508,0.508,0.508,0.508,0.508,1120,0,11,71,16,1,0,0,0,0,0,0,0,0,0,0.258
9,20040116,1.964,10.31,61.846125,0.0,88.535,147.486,48.0704166667,0.22920926222386456,42.4147,-1.63121,0.2125,0.0110375,1,0.0,0.254,0.254,0.508,0.508,0.508,0.508,0.508,1120,0,11,71,16,1,0,0,0,0,0,0,0,0,0,0.253
