,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030101,0.41183333299999997,-21.689375,61.7675,0.0,93.5375,98.10283333,3.625625,0.027963541,13.1540611,-10.35371191,0.7,0.0017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0,17,37,45,0,0,0,0,1,0,0,0,0,0,0.278
1,20030102,0.188145833,-20.87708333,65.035,0.0,93.50625,70.84827083,25.30045833,0.060713525,-0.292547894,23.80250725,0.7,0.0018875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0,17,37,45,0,0,0,0,1,0,0,0,0,0,0.278
2,20030103,0.244708333,-18.05729167,78.33395833,0.0,92.76666667,58.47558333,36.0011875,0.084344825,-3.565059965,37.08517046,0.7,0.002075,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0,17,37,45,0,0,0,0,1,0,0,0,0,0,0.278
3,20030104,0.44372916700000004,-24.66583333,67.141875,0.0,92.74166667,66.41814583,6.229395833,0.072661074,11.69033726,-7.611113311,0.7,0.0022625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0,17,37,45,0,0,0,0,1,0,0,0,0,0,0.27899999999999997
4,20030105,0.48625,-24.16291667,63.584375,0.0,93.45,83.60939583,7.3920833329999995,0.069217165,17.61277179,-12.268022199999999,0.7,0.00245,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0,17,37,45,0,0,0,0,1,0,0,0,0,0,0.27899999999999997
5,20030106,0.265979167,-20.940625,56.36416667,0.0,93.62916667,102.0406667,8.196666667,0.043920518,8.649477604,-1.748142639,0.7,0.0026375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0,17,37,45,0,0,0,0,1,0,0,0,0,0,0.27899999999999997
6,20030107,0.307104167,-14.60270833,55.93,0.0,93.52291667,106.94835420000001,4.945,0.08050138400000001,13.60647522,-11.02209095,0.7,0.002825,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0,17,37,45,0,0,0,0,1,0,0,0,0,0,0.27899999999999997
7,20030108,0.557208333,-10.03216667,45.77604167,0.0,93.11458333,112.10522920000001,3.135541667,0.17058960899999998,-6.02783228,4.181774352,0.7,0.0030125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0,17,37,45,0,0,0,0,1,0,0,0,0,0,0.27899999999999997
8,20030110,0.271166667,-12.29695833,81.75979167,0.0,92.875,58.50833333,-0.37110416700000004,0.048397512000000004,-1.6410297109999998,-0.146308322,0.6875,0.0026875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0,17,37,45,0,0,0,0,1,0,0,0,0,0,0.27899999999999997
9,20030111,0.6074375,-6.814958333,66.18,0.0,92.45625,94.60491667,-1.86325,0.086980764,-8.071474815,3.6756405439999997,0.675,0.002175,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0,17,37,45,0,0,0,0,1,0,0,0,0,0,0.27899999999999997
