,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030101,0.11052083300000001,3.568354167,88.40916667,0.0,101.48958329999999,60.9563125,31.36027083,0.570864324,8.58760081,6.308832011,0.9,0.0204,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.384
1,20030102,0.137166667,4.054104167,99.03125,9.2,101.6416667,3.71775,1.87575,0.135198236,-15.4730245,13.45137933,0.9125,0.0217125,1,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.431
2,20030103,0.179541667,3.469208333,92.81354167,0.0,101.9666667,61.514625,24.99185417,0.955109821,-0.012700567,-2.543518862,0.925,0.023025,1,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.4
3,20030104,0.139770833,1.7236875,94.99270833,0.1,101.86875,71.69095833,42.14652083,0.257789194,18.27435664,16.42481482,0.9375,0.0243375,1,0.1,9.3,9.3,9.3,9.3,9.3,9.3,9.3,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.406
4,20030105,0.504979167,2.508,58.88354167,0.0,102.275,52.17535417,36.63764583,1.166045185,20.78977499,-17.81401282,0.95,0.02565,1,0.1,0.1,9.3,9.3,9.3,9.3,9.3,9.3,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.387
5,20030106,0.33239583300000003,-1.7396458330000002,95.58229167,0.0,101.9104167,14.62152083,14.01408333,0.759477972,13.82648412,-21.823207999999997,0.9625,0.0269625,1,0.0,0.1,9.3,9.3,9.3,9.3,9.3,9.3,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.426
6,20030107,0.1005625,-1.433041667,99.77708333,0.2,101.8791667,29.4624375,7.254708333,0.381166245,7.539736181,-11.32868451,0.975,0.028275,1,0.2,0.2,0.3,9.5,9.5,9.5,9.5,9.5,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.389
7,20030108,0.077104167,-2.081583333,98.66041667,3.9,101.6479167,69.29770833,54.38975,0.08201739799999999,11.40114473,40.61087189,0.9875,0.0295875,1,4.1,4.1,4.2,13.4,13.4,13.4,13.4,13.4,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.39399999999999996
8,20030109,0.049833333,0.818604167,99.56875,9.6,101.3520833,32.29791667,25.447,0.7896147809999999,1.877616736,0.7389402890000001,1.0,0.0309,1,13.5,13.7,13.7,13.8,23.0,23.0,23.0,23.0,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.414
9,20030110,0.1738125,2.2818125,92.38291667,5.7,101.41666670000001,138.2828958,69.691,0.9788932909999999,28.59166979,12.83433216,1.0,0.0316125,1,15.3,19.2,19.4,19.5,28.7,28.7,28.7,28.7,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.385
10,20030111,0.19239583300000002,2.514020833,90.43854167,0.0,101.49375,146.798125,54.28091667,1.0106350590000002,36.31609697,-11.21045696,1.0,0.032325,1,5.7,15.3,19.4,19.4,28.7,28.7,28.7,28.7,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.42200000000000004
11,20030112,0.2030625,3.8058541669999997,82.52604167,0.0,101.2166667,159.171875,52.80389583,0.888280868,50.41655789,-23.22523887,1.0,0.0330375,1,0.0,5.7,19.2,19.4,19.5,28.7,28.7,28.7,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.37799999999999995
12,20030113,0.175895833,5.662083332999999,77.68458333,0.0,100.9395833,161.3608333,52.88125,0.855116025,45.14321064,-16.87601231,1.0,0.03375,1,0.0,0.0,15.3,19.4,19.5,28.7,28.7,28.7,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.413
13,20030114,0.206375,6.9479999999999995,79.79833333,0.8,101.2125,151.68570830000004,48.00916667,0.636548452,34.62310847,-4.91485421,1.0,0.0344625,1,0.8,0.8,6.5,20.0,20.2,29.5,29.5,29.5,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.371
14,20030115,0.126770833,5.529458332999999,85.994375,0.0,101.5,51.67008333,6.955125,0.42680509,5.636859502,-10.96859472,1.0,0.035175,1,0.8,0.8,0.8,16.1,20.2,29.5,29.5,29.5,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.40399999999999997
15,20030116,0.169395833,6.576354167000001,84.59875,0.0,101.2208333,131.92364579999997,41.5308125,0.7050044259999999,36.59851352,-15.34371304,1.0,0.0358875,1,0.0,0.8,0.8,6.5,20.2,29.5,29.5,29.5,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.392
16,20030117,0.177833333,9.06825,86.42666667,0.0,101.0875,150.4769583,49.76104167,0.9751051540000001,36.02508889,-14.24350486,1.0,0.0366,1,0.0,0.0,0.8,0.8,20.0,20.3,29.5,29.5,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.39899999999999997
17,20030118,0.226333333,9.660583333,88.65479167,0.0,101.15625,126.1111875,36.311875,0.922212074,30.9382001,-21.07353853,1.0125,0.0352125,1,0.0,0.0,0.8,0.8,16.1,20.3,29.5,29.5,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.409
18,20030119,0.233645833,9.056125,84.73145833,0.0,101.01875,146.70575,45.51420833,1.2165045890000001,21.78094455,-11.17325001,1.025,0.033825,1,0.0,0.0,0.0,0.8,6.5,20.2,29.5,29.5,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.386
19,20030120,0.169729167,8.248729167,83.52875,0.0,100.78125,112.4249375,42.384375,1.019884208,22.04877147,-8.95098441,1.0375,0.0324375,1,0.0,0.0,0.0,0.8,0.8,20.2,29.5,29.5,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.402
20,20030121,0.141875,10.8528125,81.40854167,0.0,100.5041667,112.05735420000002,47.97133333,1.242870289,28.70702208,-16.33929817,1.05,0.03105,1,0.0,0.0,0.0,0.0,0.8,20.2,29.5,29.5,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.353
21,20030122,0.206354167,8.731520833,92.26229167,0.0,100.35416670000001,33.58054167,-11.01829167,1.0009533640000001,-2.6677116780000003,-37.08069304,1.0625,0.0296625,1,0.0,0.0,0.0,0.0,0.8,20.0,20.3,29.5,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.408
22,20030123,0.16672916699999998,5.846,91.06958333,0.2,100.75625,90.48635417,37.80329167,1.18700619,19.23637791,-15.59460505,1.075,0.028275,1,0.2,0.2,0.2,0.2,1.0,16.3,20.5,29.7,110.0,0,37,20,41,0,0,0,0,0,1,0,0,0,0,0.371
