,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030101,0.39583333299999995,-10.41214583,82.9325,0.0,103.1375,92.89208333,-22.47739583,0.55458247,-2.721341493,-35.95671731,0.2,-0.006999999999999999,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,18,34,47,0,0,0,0,0,0,0,1,0,0,0.248
1,20030102,1.594416667,-5.701875,79.49458333,0.0,102.8479167,43.872375,-24.5563125,0.302350128,-9.264562326,-24.08619964,0.2,-0.0072875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,18,34,47,0,0,0,0,0,0,0,1,0,0,0.253
2,20030103,1.2559375,-10.027625,55.35229167,0.0,103.1166667,122.4275417,-47.17895833,0.266261097,-3.235774005,-51.71857398,0.2,-0.007575,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,18,34,47,0,0,0,0,0,0,0,1,0,0,0.248
3,20030104,1.0311875,-11.8290625,61.27395833,0.0,103.4229167,122.2760625,-33.40327083,0.37732924799999995,-0.876764525,-43.56341671,0.2,-0.0078625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,18,34,47,0,0,0,0,0,0,0,1,0,0,0.248
4,20030105,0.4846666670000001,-11.2233125,60.68270833,0.0,103.6854167,123.512,-28.0238125,0.309914724,-2.96568603,-34.11815924,0.2,-0.00815,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,18,34,47,0,0,0,0,0,0,0,1,0,0,0.248
5,20030106,1.186791667,-8.036145832999999,64.34770833,0.0,103.0354167,96.30272917,-34.6538125,0.389942244,-6.8139098260000015,-39.20637219,0.2,-0.0084375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,18,34,47,0,0,0,0,0,0,0,1,0,0,0.248
6,20030107,0.6233333329999999,-8.957145833,67.90458333,0.0,103.1479167,120.58904170000001,-16.68183333,0.305351582,-5.621786123,-19.96826058,0.2,-0.008725,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,18,34,47,0,0,0,0,0,0,0,1,0,0,0.248
7,20030108,1.98975,-4.721666667,64.84625,0.0,102.4625,93.2464375,-23.33145833,0.410453859,-13.07118644,-22.1884213,0.2,-0.0090125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,18,34,47,0,0,0,0,0,0,0,1,0,0,0.248
8,20030109,0.586,-3.3582083330000003,74.2075,0.0,102.30208329999999,76.25327083,-19.76841667,0.188675177,-10.83732874,-14.40730606,0.2,-0.0093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,18,34,47,0,0,0,0,0,0,0,1,0,0,0.17400000000000002
9,20030110,0.49295833299999997,-3.9445625,74.835,0.0,102.2979167,99.25804167,4.352583333,0.20481324899999998,-9.110050822,7.51481831,0.2,-0.009075,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,18,34,47,0,0,0,0,0,0,0,1,0,0,0.19899999999999998
