,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20060102,1.9869999999999999,-1.4709999999999999,96.54214583333332,0.0,84.90799999999999,19.259,-0.460416666667,0.026851479556946004,-3.19164,-5.16073,0.7000000000000001,0.0011625,1,6.0,13.2,19.6,24.8,26.3,44.6,53.69999999999999,61.49999999999999,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.331
1,20060104,2.228,-4.3260000000000005,92.31610416666668,0.0,85.542,28.651999999999997,-13.020833333299999,0.0435794226957126,-6.10203,-4.51323,0.7000000000000001,-0.0015125000000000002,1,0.0,0.0,13.2,19.6,26.3,44.6,52.39999999999999,59.19999999999999,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.321
2,20060105,0.941,-6.712999999999999,91.04960416666668,0.0,85.044,79.964,-40.1583333333,0.02144517318766685,-0.29338400000000003,-4.94646,0.7000000000000001,-0.00285,1,0.0,0.0,6.0,19.3,24.8,44.6,44.6,55.99999999999999,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.315
3,20060108,0.955,-3.7230000000000003,63.90835416666666,0.0,85.977,82.185,-35.7879166667,0.01224590054961658,-3.67516,-5.4954199999999975,0.7000000000000001,-0.0068625000000000005,1,0.0,0.0,0.0,0.0,19.3,26.3,44.6,55.99999999999999,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.315
4,20060109,0.7609999999999999,-3.53,60.40139583333333,0.0,86.09299999999998,88.148,-39.5254166667,0.026931027651824826,0.5386770000000001,-5.43458,0.7000000000000001,-0.0082,1,0.0,0.0,0.0,0.0,13.2,26.3,44.6,55.69999999999999,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.311
5,20060110,0.927,-3.6889999999999996,56.88783333333333,0.0,86.265,89.833,-41.6679166667,0.024525890821344543,6.02818,-5.36406,0.7125,-0.0071375000000000015,1,0.0,0.0,0.0,0.0,6.0,24.8,44.6,54.39999999999999,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.308
6,20060111,1.1440000000000001,-3.3110000000000004,46.4573125,0.0,86.29299999999998,91.63600000000001,-44.8579166667,0.025857500154505043,-2.35236,-5.25375,0.7250000000000001,-0.0060750000000000005,1,0.0,0.0,0.0,0.0,0.0,21.1,26.6,54.39999999999999,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.308
7,20060112,0.995,-3.511,49.612625,0.0,86.34,73.065,-27.9725,0.042950941683075686,-1.19672,-5.0065599999999995,0.7375,-0.0050125000000000005,1,0.0,0.0,0.0,0.0,0.0,19.6,26.3,53.69999999999999,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.308
8,20060113,0.961,-2.342,41.0200625,0.0,86.36399999999998,94.15,-42.9264583333,0.009664087318709604,4.0101,-4.99187,0.75,-0.00395,1,0.0,0.0,0.0,0.0,0.0,19.3,26.3,53.69999999999999,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.308
9,20060114,0.909,-3.984,45.1874375,0.0,86.251,95.63600000000001,-43.0422916667,0.012880834771049987,-2.71434,-5.0051,0.7625000000000001,-0.0028875000000000003,1,0.0,0.0,0.0,0.0,0.0,13.2,26.3,52.39999999999999,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.308
10,20060115,1.1059999999999999,-2.391,34.4576875,0.0,85.883,95.435,-43.959583333299996,0.025915586289855547,-1.3915600000000001,-5.02958,0.775,-0.001825,1,0.0,0.0,0.0,0.0,0.0,6.0,24.8,44.6,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.308
11,20060116,1.208,-3.221,46.22429166666668,0.8,85.64,89.132,-22.9375,0.08304879703386672,-2.31953,-5.27656,0.7875000000000001,-0.0007625,1,0.8,0.8,0.8,0.8,0.8,0.8,21.9,45.40000000000001,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.308
12,20060117,1.629,0.312,88.49095833333332,3.5,85.095,36.093,2.32708333333,0.053834482948028436,-7.8034399999999975,-2.62625,0.8,0.00030000000000000003,1,4.3,4.3,4.3,4.3,4.3,4.3,23.9,48.90000000000001,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.315
13,20060118,3.178,0.247,99.81897916666668,8.4,84.811,5.815,1.87541666667,0.1178931029774208,-11.1583,-2.04688,0.8,0.0006500000000000001,1,11.9,12.7,12.7,12.7,12.7,12.7,32.0,57.3,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.335
14,20060119,0.8270000000000001,-0.6940000000000001,99.26891666666668,0.9,85.728,53.24,23.8476595745,0.14403218989388256,-2.74772,-2.97312,0.8,0.001,1,9.3,12.8,13.6,13.6,13.6,13.6,26.8,58.2,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.335
15,20060120,1.8119999999999998,0.138,80.52022916666667,0.0,85.91799999999998,97.57799999999999,11.996666666700001,0.1809117443980492,-12.4985,-3.51615,0.8,0.00135,1,0.9,9.3,13.6,13.6,13.6,13.6,19.6,58.2,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.32799999999999996
16,20060121,1.8530000000000002,0.528,88.17620833333334,1.4,85.806,23.928,5.21416666667,0.416808695091476,-10.1904,-3.90458,0.8,0.0017,1,1.4,2.3,14.2,15.0,15.0,15.0,15.0,41.6,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.332
17,20060124,0.9159999999999999,-8.442,93.73777083333334,0.0,86.277,63.118,-17.667291666700002,0.05422303776122829,1.2548700000000002,-3.5552099999999998,0.8,0.0027500000000000003,1,0.0,0.7,2.1,11.4,15.7,15.7,15.7,42.0,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.321
18,20060125,1.9,-3.1519999999999997,60.36577083333333,0.0,85.545,76.473,-25.3504166667,0.2103609125985081,-14.7062,-4.0,0.8,0.0031000000000000003,1,0.0,0.0,2.1,3.0,15.7,15.7,15.7,40.5,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.321
19,20060127,3.2089999999999996,-2.927,70.50814583333333,0.0,85.01899999999998,90.40700000000001,-29.095,1.1816970318029414,-10.7685,-3.3904199999999998,0.8,0.00285,1,1.0,1.0,1.0,3.1,12.4,16.7,16.7,36.3,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.315
20,20060128,6.5070000000000014,6.757999999999999,38.76327083333333,0.0,85.51100000000002,55.505,-32.424565217399994,4.063887798547973,-12.8227,-3.4817699999999996,0.8,0.002725,1,0.0,1.0,1.0,1.7,4.0,16.7,16.7,36.0,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.315
21,20060129,2.875,3.9789999999999996,57.14908333333333,0.0,85.834,72.419,-34.7458333333,1.9057977404102195,-5.24851,-3.4218800000000003,0.8,0.0026000000000000003,1,0.0,0.0,1.0,1.0,3.1,16.7,16.7,29.9,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.315
22,20060201,1.113,-0.18899999999999997,68.22354166666666,0.0,85.727,115.459,-29.2816666667,0.09263046881364173,0.569665,-4.11135,0.8,0.002225,2,0.0,0.0,0.0,1.0,1.0,12.4,16.7,16.7,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.308
23,20060202,1.2429999999999999,-0.98,63.90570833333334,0.0,85.37100000000002,122.37899999999999,-30.0566666667,0.10239876824834657,-3.0975900000000003,-4.03146,0.8,0.0021000000000000003,2,0.0,0.0,0.0,0.0,1.0,4.0,16.7,16.7,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.308
24,20060203,1.004,-5.169,87.90439583333334,0.0,85.081,103.825,-22.750625,0.04193111743517078,0.158371,-4.41135,0.8125,0.0031750000000000003,2,0.0,0.0,0.0,0.0,1.0,3.1,16.7,16.7,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.308
25,20060206,1.074,-4.306,94.89510416666668,0.0,85.83200000000002,88.88600000000002,-1.78957446809,0.09778888755557606,-1.5730000000000002,-4.40917,0.8500000000000001,0.0064,2,0.0,0.0,0.0,0.0,0.0,1.0,12.4,16.7,982,1,17,46,35,0,0,0,0,0,0,0,0,0,0,0.308
