,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,3.13,1.554,78.430625,0.0,97.359,118.467,10.200625,0.17047711672454166,9.60615,-4.33104,0.6000000000000001,0.0162,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.392
1,20000227,3.833,4.495,70.330625,0.0,96.999,138.616,21.636875,0.28174102616515656,8.254389999999999,-1.94938,0.6000000000000001,0.01615,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.384
2,20000228,5.391,8.44,69.98270833,5.86,95.94,116.479,36.19895833,0.381961592537282,-2.83049,8.29021,0.6000000000000001,0.0161,2,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.376
3,20000229,4.805,3.785,85.57020833,1.14,95.573,61.787,13.081875,0.18891720333064704,-6.12704,1.10625,0.6000000000000001,0.016050000000000002,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.392
4,20000301,4.259,2.929,91.61729167,8.58,94.507,52.369,24.44479167,0.12500536700251294,-11.0441,0.837292,0.6000000000000001,0.016,3,9.72,15.580000000000002,15.58,15.58,15.58,15.58,15.58,15.58,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.39299999999999996
5,20000302,4.763,1.092,79.52916667,0.85,95.969,108.191,47.22916667,0.3164738588022138,34.1676,-4.46521,0.6000000000000001,0.015950000000000002,3,9.43,10.57,16.43,16.43,16.43,16.43,16.43,16.43,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.39
6,20000304,4.782,-1.4280000000000002,91.30125,7.7,95.717,89.08,32.54479167,0.5834952807646366,25.4656,-5.00521,0.6000000000000001,0.01585,3,18.28,19.130000000000006,28.85,34.71,34.71,34.71,34.71,34.71,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.39299999999999996
7,20000305,4.013,-2.051,92.29270833,4.43,97.046,71.476,22.163125,0.3401513761520815,20.8595,-4.29646,0.6000000000000001,0.0158,3,12.13,22.71,32.14,39.14,39.14,39.14,39.14,39.14,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.254
8,20000306,4.971,2.476,75.2475,0.0,96.953,119.434,52.2425,0.50575622328359,33.6722,-4.01687,0.6000000000000001,0.0168125,3,4.43,12.13,23.56,33.28,39.14,39.14,39.14,39.14,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.24100000000000002
9,20000307,6.35,5.008,79.7275,0.14,96.384,54.646,26.20520833,0.2292517841021749,16.6193,2.98396,0.6000000000000001,0.017825,3,0.14,4.569999999999999,22.85,32.28,39.28,39.28,39.28,39.28,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.23199999999999998
10,20000309,6.56,8.753,87.54229167,24.43,95.856,40.868,25.81625,0.3788836937851732,-33.3166,11.1148,0.6000000000000001,0.01985,3,31.85,31.99,36.42,54.7,65.27000000000001,71.13,71.13,71.13,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.265
11,20000310,3.3510000000000004,2.677,73.28979167,2.57,96.638,126.433,68.901875,0.7825165553841879,39.6803,-2.78271,0.6000000000000001,0.020862500000000003,3,27.0,34.42,34.56,46.69000000000001,66.7,73.69999999999997,73.69999999999997,73.69999999999997,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.26
12,20000311,5.612,5.557,89.00958333,11.98,95.661,46.38800000000001,24.45270833,0.6576820366456023,-24.4378,3.36708,0.6000000000000001,0.021875,3,14.55,38.98,46.540000000000006,50.97000000000001,70.10000000000001,85.67999999999998,85.67999999999998,85.67999999999998,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.265
13,20000312,2.004,2.335,85.48083333,1.43,96.757,38.605,20.17145833,0.4324423016300422,6.79793,-1.88896,0.6000000000000001,0.0228875,3,13.41,15.98,47.83,47.97,70.68,87.11,87.11,87.11,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.26
14,20000313,2.965,5.7079999999999975,73.01458333,0.14,96.736,159.515,84.90208333,0.6824651686008903,49.9358,2.6225,0.6000000000000001,0.0239,3,1.5699999999999998,13.55,40.55,48.11,60.24,87.25,87.25,87.25,430,0,19,26,54,0,0,0,1,0,0,0,0,0,0,0.263
