,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20050101,4.114,3.178,90.11811666666668,0.77,100.052,13.359000000000002,-5.0316303617,0.006529011680767162,-6.71085,-3.97371,1.0,0.019,1,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,51,0,4,85,11,0,0,0,0,0,0,0,1,0,0,0.289
1,20050102,7.205,2.813,83.34419375,1.56,98.95100000000001,9.82,-14.249402916700001,0.007047294950579791,-7.142339999999999,-7.98062,1.0,0.0185375,1,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,51,0,4,85,11,0,0,0,0,0,0,0,1,0,0,0.303
2,20050103,6.3389999999999995,4.359,78.7104625,2.38,100.23100000000001,15.569,-16.5788458333,0.004919103689587803,-6.01178,-2.7943700000000002,1.0,0.018075,1,3.94,4.71,4.71,4.71,4.71,4.71,4.71,4.71,51,0,4,85,11,0,0,0,0,0,0,0,1,0,0,0.295
3,20050104,6.415,7.2,86.28632916666668,1.41,99.95200000000001,3.281,-7.53759205625,0.005309230684963285,-6.44165,2.66994,1.0,0.0176125,1,3.79,5.35,6.12,6.12,6.12,6.12,6.12,6.12,51,0,4,85,11,0,0,0,0,0,0,0,1,0,0,0.309
4,20050105,4.968,4.992,83.37302916666665,0.58,100.333,12.134,-19.596432083299998,0.012149973609509215,-13.5809,-5.58605,1.0,0.017150000000000002,1,1.99,4.369999999999999,6.7,6.7,6.7,6.7,6.7,6.7,51,0,4,85,11,0,0,0,0,0,0,0,1,0,0,0.295
5,20050106,5.9979999999999976,5.6320000000000014,82.35755208333333,2.64,100.28299999999999,24.068,-3.93830220833,0.010490156210670013,-8.73633,-2.7451,1.0,0.0166875,1,3.22,4.63,8.57,9.34,9.34,9.34,9.34,9.34,51,0,4,85,11,0,0,0,0,0,0,0,1,0,0,0.302
6,20050107,7.785,9.062000000000001,88.06788125000001,10.07,99.656,3.221,1.3019628541700001,0.008168096689001553,-8.396230000000001,7.088310000000001,1.0,0.016225,1,12.71,13.29,17.080000000000002,19.41,19.41,19.41,19.41,19.41,51,0,4,85,11,0,0,0,0,0,0,0,1,0,0,0.302
7,20050109,7.0470000000000015,5.935,80.14690624999999,8.98,99.785,22.433000000000003,1.29922860417,0.003447017011573577,-5.02694,-4.7678199999999995,1.0,0.0153,1,9.99,20.06,23.28,27.07,29.4,29.4,29.4,29.4,51,0,4,85,11,0,0,0,0,0,0,0,1,0,0,0.311
8,20050110,7.307,9.085,84.3430979166667,2.96,99.665,7.684,-0.647995458333,0.01002583889958983,-8.45461,3.6424,1.0,0.0146375,1,11.94,12.95,25.660000000000004,27.65,32.36,32.36,32.36,32.36,51,0,4,85,11,0,0,0,0,0,0,0,1,0,0,0.306
9,20050111,4.727,6.375,87.71334791666668,2.03,100.447,23.682,-3.1915956875,0.005730013657539339,-8.94993,-5.17251,1.0,0.013975,1,4.99,13.97,25.05,28.27,33.620000000000005,34.39,34.39,34.39,51,0,4,85,11,0,0,0,0,0,0,0,1,0,0,0.295
10,20050112,7.2810000000000015,6.428,75.60106666666667,0.83,99.736,20.663,-11.625160270799999,0.008701074601144276,-5.18357,-6.79868,1.0,0.0133125,1,2.86,5.82,15.81,28.520000000000003,32.89,35.22,35.22,35.22,51,0,4,85,11,0,0,0,0,0,0,0,1,0,0,0.302
