,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20111119,1.354,7.267,77.005,0.0,100.569,108.689,5.48268166667,0.2352003029703981,4.66632,-7.76081,1.375,0.114475,11,0.0,0.0,0.0,0.0,0.043,23.717,23.962000000000003,47.43800000000001,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.24
1,20111121,1.9269999999999998,9.996,65.89416666666666,0.0,100.145,86.743,3.28134255319,0.27226275772283515,-3.79832,-2.2723,1.35,0.11655,11,0.0,0.0,0.0,0.0,0.0,8.788,23.962000000000003,46.77800000000001,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.198
2,20111202,2.309,13.026,88.47500000000002,0.9,100.417,71.866,10.934089583299999,0.2477402556119824,0.147095,4.4050199999999995,1.3,0.108625,12,0.9,0.9,1.08,1.26,1.26,6.3,6.3,30.262,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.21600000000000005
3,20111205,3.4139999999999997,14.493,84.87291666666668,0.36,99.041,26.708000000000002,-1.1477692916700002,0.25297121561282715,-6.2079699999999995,3.5122,1.3,0.105725,12,0.36,2.16,3.06,3.06,3.4200000000000004,8.46,8.46,27.843000000000004,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.259
4,20111207,1.666,10.207,80.82291666666667,0.36,99.962,83.493,6.386663541669999,0.28160018343253657,2.0395,-5.4883,1.3,0.10455,12,1.08,1.44,3.24,4.1400000000000015,4.32,4.5,9.54,15.000999999999998,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.259
5,20111209,2.844,12.225,82.58125,0.0,100.413,55.256,8.61189839583,0.2370732991862593,-1.67337,0.9599700000000001,1.3,0.103375,12,0.0,0.36,1.44,3.24,4.1400000000000015,4.5,9.54,9.582999999999998,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.249
6,20111210,1.9140000000000001,13.085,88.47708333333333,0.72,100.06,47.162,4.05361522727,0.2492268374432113,-3.13783,0.42051499999999997,1.3,0.1027875,12,0.72,0.72,1.8,2.16,4.86,5.22,10.26,10.26,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.253
7,20111211,1.415,11.945,91.38958333333332,0.18,100.053,39.086999999999996,-0.508407791667,0.16246982717717856,-4.4926900000000005,-2.88708,1.3,0.1022,12,0.8999999999999999,0.8999999999999999,1.2599999999999998,2.34,5.04,5.4,10.44,10.44,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.255
8,20111212,2.311,12.579,90.52916666666664,12.6,99.779,47.288000000000004,3.3343402439,0.382555015240805,-7.35142,1.80593,1.2875,0.1014375,12,12.78,13.5,13.5,14.58,16.74,17.819999999999997,17.999999999999996,23.04,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.28700000000000003
9,20111214,3.1189999999999998,12.995999999999999,83.26666666666667,0.0,99.986,28.358,-0.642359458333,0.26938981211837937,-9.06211,2.84658,1.2625000000000002,0.0999125,12,0.0,12.6,13.5,13.5,14.94,17.639999999999993,17.999999999999996,23.04,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.259
10,20111215,2.248,12.954,75.8325,0.54,99.802,59.00899999999999,-6.5378058125,0.3191878219754852,-3.2327,-2.22859,1.25,0.09915,12,0.54,0.54,13.32,14.04,15.12,18.18,18.54,23.58,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.242
11,20111216,4.419,12.04,78.1425,2.52,99.15899999999999,37.635,-2.95377413043,0.4371170915131639,-6.79218,-2.4113599999999997,1.2375,0.0983875,12,3.06,3.06,15.66,16.56,16.919999999999998,20.7,21.059999999999995,26.099999999999994,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.295
12,20111217,2.698,7.3320000000000025,66.47625000000001,1.44,98.524,24.874000000000002,-36.285868478299996,0.3535524900202736,-11.591,-14.253,1.225,0.097625,12,3.96,4.5,4.5,17.28,18.0,21.24,22.32,27.54,197,0,22,45,32,0,0,0,1,0,0,0,0,0,0,0.298
