,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,1.803,3.181,84.60395833,0.0,102.577,115.778,23.38040938,0.6156698546255707,22.8862,-5.036980000000002,1.3,0.0278,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,3,85,9,0,0,0,0,0,1,0,0,0,0,0.26899999999999996
1,20000227,3.467,6.308,82.10708333,0.197,101.671,107.393,29.85381875,1.0692836430770625,6.07707,-2.30352,1.3,0.030425,2,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,25,0,3,85,9,0,0,0,0,0,1,0,0,0,0,0.261
2,20000228,4.487,9.336,89.075,2.955,100.552,19.875,-19.23037635,0.9946060527185552,-43.228,3.15402,1.3,0.03305,2,3.1519999999999997,3.152,3.1519999999999997,3.152,3.1519999999999997,3.152,3.1519999999999997,3.152,25,0,3,85,9,0,0,0,0,0,1,0,0,0,0,0.27699999999999997
3,20000229,4.581,5.961,94.35208333,11.032,100.029,61.522,11.38112396,0.8565925645669598,-22.81900000000001,-0.876958,1.3,0.035675,2,13.987,14.184,14.184,14.184000000000001,14.184,14.184000000000001,14.184,14.184000000000001,25,0,3,85,9,0,0,0,0,0,1,0,0,0,0,0.265
4,20000301,3.342,4.791,95.62291667,2.167,99.75,76.47,33.83180979,1.97658185387148,-27.2357,-0.577188,1.3,0.0383,3,13.199000000000002,16.154,16.351,16.351,16.351,16.351,16.351,16.351,25,0,3,85,9,0,0,0,0,0,1,0,0,0,0,0.28
5,20000302,4.026,3.4810000000000003,96.20833333,10.441,101.035,50.245,8.351456354,0.7204027925706497,-21.1589,-3.50769,1.3,0.040925,3,12.608,23.64,26.792,26.792,26.792,26.792,26.792,26.792,25,0,3,85,9,0,0,0,0,0,1,0,0,0,0,0.26899999999999996
6,20000303,5.053,6.185,93.70625,23.837,99.654,59.326,30.13509792,1.4565768153676906,-46.3864,1.48558,1.3,0.043550000000000005,3,34.278,36.445,50.431999999999995,50.62900000000001,50.629,50.62900000000001,50.629,50.62900000000001,25,0,3,85,9,0,0,0,0,0,1,0,0,0,0,0.29100000000000004
7,20000304,3.641,0.8079999999999999,97.34166667,4.137,101.235,101.79,60.16812231,2.41577313156641,-27.5856,-5.9614,1.3,0.046175,3,27.974,38.415,51.614,54.76600000000001,54.76600000000001,54.76600000000001,54.76600000000001,54.76600000000001,25,0,3,85,9,0,0,0,0,0,1,0,0,0,0,0.259
8,20000305,2.1180000000000003,1.79,94.60208333,3.743,102.462,92.341,33.15060479,1.6498497750803294,-5.4706,-4.69613,1.3,0.0488,3,7.88,31.717,44.325,58.312,58.50899999999999,58.50900000000001,58.50899999999999,58.50900000000001,25,0,3,85,9,0,0,0,0,0,1,0,0,0,0,0.162
9,20000306,4.059,5.435,93.62708333,0.0,102.079,45.986,11.29706083,1.1854853510128518,-14.0719,-1.30554,1.3,0.0433875,3,3.743,7.879999999999999,42.158,55.357,58.50899999999999,58.50900000000001,58.50899999999999,58.50900000000001,25,0,3,85,9,0,0,0,0,0,1,0,0,0,0,0.154
