,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20020629,2.989,16.504,65.97104166666666,0.0,95.56,190.34099999999998,102.57125,2.1068958299206053,36.7172,4.08812,0.9,0.089075,6,5.075,7.672999999999999,12.768999999999998,20.662,31.595,38.558,66.66799999999999,72.56399999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.32299999999999995
1,20020630,2.878,17.927,62.05333333333334,0.0,95.506,294.52,152.137395833,2.8784249325296547,59.7975,10.4676,0.9,0.0904,6,0.0,5.075,8.44,19.498,23.204,35.69300000000001,66.181,72.56399999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.33899999999999997
2,20020701,1.976,16.92,80.02875,0.39799999999999996,95.18700000000001,120.42,56.85775,1.3939979664210684,18.893,1.57598,0.9,0.091725,7,0.39799999999999996,0.39799999999999996,8.071,13.166999999999998,21.45,31.993000000000002,56.74100000000001,72.11599999999997,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.299
3,20020702,4.5569999999999995,18.559,71.63645833333334,0.39799999999999996,95.404,167.27900000000002,91.5475,2.0733092784601985,32.6213,4.80556,0.9,0.09305,7,0.7959999999999999,0.7959999999999999,5.871,9.236,21.458,32.391000000000005,50.87500000000001,70.57999999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.326
4,20020703,2.526,16.484,79.12354166666667,2.189,95.71700000000001,167.641,95.3717291667,1.93478782022226,35.0716,4.75104,0.9,0.094375,7,2.5869999999999997,2.9850000000000003,2.9850000000000003,10.658,22.483,34.580000000000005,48.18700000000001,72.72199999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.319
5,20020704,2.4290000000000003,16.492,80.19416666666666,1.99,95.792,191.43,99.8941041667,1.9272332463017119,39.6842,5.31685,0.9,0.0957,7,4.178999999999999,4.577,4.975,10.05,17.744,36.57,43.533,74.45399999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.34400000000000003
6,20020705,2.1519999999999997,18.85,61.18,0.0,95.915,344.79699999999997,179.126666667,2.8847792278457587,79.1244,13.7074,0.9125,0.1002125,7,1.99,4.1789999999999985,4.975,4.975,13.415,28.179000000000002,40.668,72.66499999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.32299999999999995
7,20020706,3.377,18.632,68.15854166666666,0.597,95.75,252.765,141.83729166700002,2.2426322056463106,71.4244,9.438310000000001,0.925,0.104725,7,0.597,2.5869999999999997,5.174,5.571999999999999,13.245,26.624,37.167,72.69399999999997,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.336
8,20020707,4.442,17.295,63.46520833333334,0.597,95.244,171.02,92.1074166667,1.7405464965719857,44.3216,0.500229,0.9375,0.1092375,7,1.194,1.194,5.3729999999999976,6.169,11.244000000000002,26.831,37.764,73.29099999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.327
9,20020708,2.0140000000000002,15.745999999999999,78.83916666666667,3.1839999999999997,95.527,151.52,86.2451041667,1.4682704585348043,37.8387,3.80325,0.95,0.11375,7,3.781,4.378,6.367999999999999,8.955,9.353,28.851,40.948,76.02099999999999,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.32899999999999996
10,20020709,2.577,14.475999999999999,86.75166666666668,11.343,95.948,102.587,59.0193541667,1.5069538372328988,15.8613,0.152375,0.9625,0.1182625,7,14.527,15.124,15.720999999999998,19.9,20.696,33.465,52.291000000000004,87.36399999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.354
11,20020710,3.437,17.195999999999998,74.79791666666667,0.597,96.071,211.62099999999998,132.695520833,2.5739992414258706,47.007,7.59369,0.975,0.122775,7,11.94,15.124,16.317999999999998,18.308,21.293000000000006,29.733,44.49699999999999,87.47399999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.374
12,20020711,2.7089999999999996,18.892,74.88104166666666,4.178999999999999,95.881,239.835,147.433729167,3.185512359115004,54.2446,11.1099,0.9875,0.1272875,7,4.775999999999998,16.119,19.9,20.497000000000003,25.074,33.145,46.52400000000001,81.815,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.34
13,20020712,3.4219999999999997,20.078,72.14583333333333,0.0,95.54,324.883,183.315625,3.46331367045793,70.7694,14.242,1.0,0.1318,7,4.178999999999999,4.776,19.303,20.497000000000003,24.676,30.547,46.13400000000001,75.551,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.337
14,20020713,3.16,21.151999999999997,67.075625,0.0,95.79799999999999,237.56,120.782375,2.6515488888682803,38.5798,9.68263,1.0,0.1310875,7,0.0,4.178999999999999,16.119,19.9,22.487,25.472,44.97000000000001,70.67399999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.29100000000000004
15,20020714,3.179,21.031999999999996,73.50791666666667,0.7959999999999999,95.76,274.72,155.445229167,2.8785716568952537,65.8525,12.7665,1.0,0.13037500000000002,7,0.7959999999999999,0.7959999999999999,5.571999999999999,20.099,21.293000000000006,26.268,39.037000000000006,64.82600000000001,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.29
16,20020715,2.742,20.945999999999998,61.03020833333333,0.0,95.973,324.638,151.26,2.8193983966375398,58.6338,10.8375,1.0,0.1296625,7,0.7959999999999999,0.7959999999999999,4.974999999999999,16.915,21.293000000000006,26.268,34.70800000000001,61.96100000000001,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.307
17,20020716,2.931,22.03,63.49395833333333,0.0,95.825,319.635,172.459541667,2.2216915845970218,86.3019,13.4767,1.0,0.12895,7,0.0,0.7959999999999999,0.7959999999999999,5.571999999999999,20.695999999999998,25.87,33.941,57.86300000000001,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.28
18,20020717,2.487,23.393,69.62291666666667,19.697,95.694,252.56099999999998,133.202395833,2.2887763962327443,51.6373,10.2159,1.0,0.1282375,7,19.697,19.697,20.493000000000002,24.671999999999997,39.79599999999999,45.169,51.040000000000006,77.56000000000002,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.275
19,20020718,2.9789999999999996,19.223,75.98875,12.338,96.375,218.00099999999998,159.436854167,3.3579969510701178,50.504,7.5083199999999986,1.0,0.127525,7,32.035,32.035,32.831,32.830999999999996,48.94999999999999,55.31800000000001,58.303000000000004,89.89800000000002,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.37799999999999995
20,20020719,3.2439999999999998,20.669,66.91979166666665,0.0,96.102,312.743,180.68333333299998,3.875780300880884,63.9294,10.4913,1.0,0.1268125,7,12.338,32.035,32.035,32.830999999999996,37.60699999999999,53.328,58.303000000000004,89.89800000000002,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.331
21,20020720,2.846,23.573,73.99354166666667,0.0,95.212,310.709,177.202083333,3.766857779231473,48.9491,15.1535,1.0,0.12610000000000002,7,0.0,12.338,32.035,32.830999999999996,37.00999999999999,53.328,58.303000000000004,81.507,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.301
22,20020721,3.804,24.807,71.60916666666667,1.194,94.985,227.137,125.991875,3.345370805670297,27.6693,9.57698,1.0125,0.1308,7,1.194,1.194,33.229,33.229,34.025,53.925,59.099,80.54899999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.28500000000000003
23,20020722,2.316,17.775,91.23541666666664,13.93,95.84200000000001,58.004,31.1919791667,1.2701665881265438,6.58703,-3.69023,1.025,0.1355,7,15.124,15.124,27.462,47.15899999999999,47.95499999999999,67.258,72.63099999999997,94.08899999999996,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.35100000000000003
24,20020723,2.89,12.654000000000002,92.17291666666668,9.552,96.42299999999999,39.433,16.8679166667,1.086778166187358,2.9725599999999996,-10.1041,1.0375,0.14020000000000002,7,23.482,24.676,24.676,56.71100000000001,57.507,73.626,79.99399999999997,102.47699999999998,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.385
25,20020724,3.036,12.762,94.89375,10.547,96.425,97.713,34.605020833299996,1.0580681057773018,10.8035,-3.96665,1.05,0.1449,7,20.099,34.029,35.223,47.56100000000001,67.258,72.83,88.55099999999999,106.29499999999996,446,1,25,14,56,0,0,0,0,0,0,0,0,0,0,0.39399999999999996
