,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20090430,4.46,19.202,88.92916666666667,0.0,93.796,200.59099999999998,90.6950208333,2.156769219866768,18.0873,14.5679,0.6000000000000001,0.06520000000000001,4,8.832,8.832,29.67,31.286,31.285999999999998,69.256,105.753,106.751,646,1,18,36,45,0,0,0,0,0,0,0,0,0,0,0.125
1,20090501,6.04,13.073,90.11875000000002,2.2,94.27,95.45200000000001,39.428333333299996,1.5211264463595289,31.0511,-26.0289,0.6000000000000001,0.068,5,2.2,11.032,11.565999999999999,33.486000000000004,33.486,67.82600000000001,102.53499999999998,108.951,646,1,18,36,45,0,0,0,0,0,0,0,0,0,0,0.267
2,20090502,3.908,10.395999999999999,92.41458333333333,6.7,94.105,67.146,21.823520833299998,1.189950422917626,12.0142,-24.6941,0.6000000000000001,0.074625,5,8.9,8.9,17.732,38.57,40.18599999999999,44.226000000000006,78.35699999999999,114.95099999999998,646,1,18,36,45,0,0,0,0,0,0,0,0,0,0,0.292
3,20090503,3.7310000000000003,10.532,88.30479166666667,0.4,94.101,109.175,32.3625,1.6896361025657471,15.8576,-16.1068,0.6000000000000001,0.08125,5,7.1000000000000005,9.3,18.132,18.666,40.586,41.525,78.556,115.35099999999998,646,1,18,36,45,0,0,0,0,0,0,0,0,0,0,0.278
4,20090504,2.4459999999999997,10.300999999999998,97.95208333333336,12.3,94.132,69.187,7.0950625,0.4716147622755582,5.53406,-14.7292,0.6000000000000001,0.08787500000000001,5,12.7,19.4,21.6,30.432,52.886,52.886,90.85600000000001,127.65099999999998,646,1,18,36,45,0,0,0,0,0,0,0,0,0,0,0.28400000000000003
5,20090505,2.736,12.615,100.0,1.9,93.792,48.63800000000001,11.5874375,0.17067489650075046,4.272,1.49948,0.6000000000000001,0.0945,5,14.2,14.6,23.5,32.332,53.17,54.786,92.756,129.55100000000002,646,1,18,36,45,0,0,0,0,0,0,0,0,0,0,0.24
6,20090506,2.122,19.975,75.61458333333333,0.0,93.678,316.575,136.887083333,2.8546749655501467,14.4779,35.3977,0.6000000000000001,0.101125,5,1.9,14.2,21.3,23.5,32.866,54.786,89.126,129.55100000000002,646,1,18,36,45,0,0,0,0,0,0,0,0,0,0,0.306
7,20090507,3.69,22.878,78.8979375,0.0,93.382,331.5630000000001,137.23177083299998,3.11847382916186,11.2431,37.711999999999996,0.6000000000000001,0.10775,5,0.0,1.9,14.6,23.5,32.332,54.786,58.826,129.55100000000002,646,1,18,36,45,0,0,0,0,0,0,0,0,0,0,0.301
8,20090508,6.776,20.872,68.51833333333333,0.0,93.431,296.921,104.34508333299999,2.9546987436237147,53.5821,9.68988,0.6000000000000001,0.114375,5,0.0,0.0,14.2,21.3,32.332,54.786,55.725,129.55100000000002,646,1,18,36,45,0,0,0,0,0,0,0,0,0,0,0.235
9,20090509,4.077,14.755999999999998,56.359375,0.0,94.584,223.327,77.1466875,1.8335201574239144,48.6979,-7.06733,0.6000000000000001,0.121,5,0.0,0.0,1.9,14.6,23.5,54.786,54.786,129.253,646,1,18,36,45,0,0,0,0,0,0,0,0,0,0,0.14800000000000002
