,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20050309,4.402,7.2860000000000005,71.69770833333331,0.1,96.212,251.48,82.8558541667,0.915597750861714,81.4551,-6.01575,0.6000000000000001,0.1019625,3,0.1,0.1,0.1,0.1,0.188,37.09,39.709,42.44000000000001,424,1,17,40,42,0,0,0,0,0,0,0,0,0,0,0.22899999999999998
1,20050310,5.023,9.834,57.83877083333334,0.6,95.73100000000001,216.447,74.0508541667,0.8920709451394271,59.1604,-1.8905,0.6000000000000001,0.10295,3,0.7,0.7,0.7,0.7,0.7,9.15,38.79,42.208,424,1,17,40,42,0,0,0,0,0,0,0,0,0,0,0.223
2,20050311,4.512,11.672,42.1825,0.0,96.304,263.182,92.2675833333,1.1120350339243348,51.7211,1.38506,0.6000000000000001,0.1039375,3,0.6,0.7,0.7,0.7,0.7,9.039,38.357,42.19300000000001,424,1,17,40,42,0,0,0,0,0,0,0,0,0,0,0.23199999999999998
3,20050312,5.626,17.505,41.29083333333333,0.0,95.15,265.515,95.839,1.0898044454226328,48.8903,12.2988,0.6000000000000001,0.104925,3,0.0,0.6,0.7,0.7,0.7,9.039,38.099000000000004,42.19300000000001,424,1,17,40,42,0,0,0,0,0,0,0,0,0,0,0.259
4,20050313,8.082,6.149,52.80085416666666,3.3,95.935,270.627,88.2777083333,0.9655219024810816,100.713,-8.5074,0.6000000000000001,0.1059125,3,3.3,3.3,4.0,4.0,4.0,10.989,41.398999999999994,45.493,424,1,17,40,42,0,0,0,0,0,0,0,0,0,0,0.25
5,20050314,1.966,7.164,65.56270833333333,0.0,96.63799999999999,150.39600000000004,57.6945,0.587452321996172,34.3741,1.32227,0.6000000000000001,0.1069,3,3.3,3.3,3.9,4.0,4.0,4.088,40.99,43.613,424,1,17,40,42,0,0,0,0,0,0,0,0,0,0,0.22699999999999998
6,20050318,4.846,10.73,55.38147916666667,0.0,95.398,271.322,97.6656458333,1.0553909671333188,64.1824,5.46654,0.65,0.11325,3,0.0,1.9,11.9,15.2,15.9,15.9,22.889,55.50899999999999,424,1,17,40,42,0,0,0,0,0,0,0,0,0,0,0.28500000000000003
7,20050319,3.1860000000000004,6.587999999999999,68.12358333333333,0.0,96.369,247.80700000000002,88.8122708333,0.799065253310592,62.5264,-0.8848540000000001,0.6625000000000001,0.1148375,3,0.0,0.0,11.9,15.2,15.8,15.9,15.987999999999998,55.50899999999999,424,1,17,40,42,0,0,0,0,0,0,0,0,0,0,0.243
8,20050320,5.294,12.722999999999999,66.92439583333334,0.1,95.89,251.555,98.6809583333,1.0678619301558294,59.7103,8.83677,0.675,0.116425,3,0.1,0.1,2.0,12.0,15.3,16.0,16.0,54.09,424,1,17,40,42,0,0,0,0,0,0,0,0,0,0,0.236
9,20050323,3.827,5.454,86.68770833333332,0.0,96.181,142.614,57.9747291667,0.6757411425977583,39.397,-2.19844,0.7250000000000001,0.1273,3,2.2,3.3000000000000003,3.4000000000000004,3.4000000000000004,15.3,19.300000000000004,19.300000000000004,56.69900000000001,424,1,17,40,42,0,0,0,0,0,0,0,0,0,0,0.275
