,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20020506,2.3569999999999998,24.246,87.19791666666669,0.0,100.963,245.896,134.72916666700002,3.5098986628239306,17.7124,41.4583,2.9875000000000003,0.3703125,5,0.0,1.3259999999999998,61.869,70.45100000000002,74.78699999999998,77.146,79.402,168.622,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.342
1,20020507,2.001,24.945999999999998,89.02708333333334,0.0,100.805,215.771,113.979166667,3.4392777307122904,0.9135770000000001,32.75,3.0250000000000004,0.378975,5,0.0,0.0,55.417,61.869,73.633,76.773,78.53399999999998,168.622,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.341
2,20020508,2.026,25.021,84.93335416666666,0.0,100.527,269.66700000000003,141.97916666700002,3.4967836422910485,8.107619999999999,27.4375,3.0625,0.3876375,5,0.0,0.0,1.3259999999999998,61.869,71.75399999999998,76.773,78.53399999999998,99.008,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.332
3,20020509,1.795,21.587,97.16458333333333,3.2,100.74600000000001,131.792,65.1458333333,1.888128324787535,2.98505,4.39583,3.1,0.3963,5,3.2,3.2,3.2,58.617,73.65100000000002,78.668,81.73400000000002,101.97300000000004,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.322
4,20020510,1.975,19.135,99.22708333333333,26.0,101.24,122.333,74.3125,0.7938880900762207,18.7306,-0.5625,3.125,0.4043625,5,29.2,29.2,29.2,30.526,91.069,104.563,107.73400000000002,127.97300000000004,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.376
5,20020511,2.165,23.91,88.98541666666668,0.0,101.06700000000001,251.208,143.95833333299998,3.509242721817773,18.4589,33.7708,3.1500000000000004,0.412425,5,26.0,29.2,29.2,29.2,91.069,103.98700000000001,106.34600000000002,122.15200000000004,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.359
6,20020512,2.165,25.381,85.71249999999998,0.0,100.90700000000001,255.479,138.39583333299998,3.8725916353862564,2.97498,26.0625,3.1750000000000003,0.4204875,5,0.0,26.0,29.2,29.2,84.617,102.833,105.973,114.22000000000004,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.337
7,20020513,2.4290000000000003,16.256,93.98958333333331,7.4,100.90899999999999,150.042,77.5416666667,2.890586112720265,20.8015,-34.375,3.2,0.42855,5,7.4,7.4,36.6,36.6,37.926,108.35399999999998,113.373,120.048,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.33299999999999996
8,20020514,1.041,15.354000000000001,84.31041666666668,0.0,101.184,336.2290000000001,181.1875,4.8986083850201325,44.9995,1.54167,3.225,0.4366125,5,7.4,7.4,33.4,36.6,36.6,107.051,112.06799999999998,116.002,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.336
9,20020515,1.621,18.298,83.20416666666667,0.0,101.15700000000001,344.31300000000016,180.875,5.816884693605161,37.3432,3.02083,3.25,0.444675,5,0.0,7.4,7.4,36.6,36.6,98.469,111.96299999999998,116.002,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.337
10,20020516,1.939,21.680999999999997,88.675,0.0,100.884,305.0420000000001,151.66666666700002,4.884782527540668,27.3364,12.9583,3.2750000000000004,0.4527375,5,0.0,0.0,7.4,33.4,36.6,98.469,111.387,116.002,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.32299999999999995
11,20020517,2.494,20.16,96.15833333333336,17.4,100.223,66.458,32.6666666667,1.2127854065996015,-7.9295399999999985,-10.1042,3.3000000000000003,0.4608,5,17.4,17.4,24.8,24.8,54.0,109.417,127.633,132.534,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.32
12,20020518,3.1239999999999997,12.604000000000001,75.58541666666667,0.2,101.07799999999999,338.097,172.14583333299996,3.807733210578048,58.4661,-19.3542,3.3000000000000003,0.4506375,5,17.599999999999994,17.599999999999994,17.599999999999994,25.0,54.2,55.526,125.954,132.734,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.34900000000000003
13,20020519,1.5,12.058,78.23541666666667,0.0,101.455,352.458,181.60416666700002,4.360653601548847,64.2356,-13.1042,3.3000000000000003,0.440475,5,0.2,17.599999999999994,17.599999999999994,25.0,51.0,54.2,124.651,132.734,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.332
14,20020520,1.145,14.562999999999999,91.94583333333333,0.0,101.463,313.95799999999997,162.64583333299998,5.462733470580393,43.082,-9.0625,3.3000000000000003,0.4303125,5,0.0,0.2,17.599999999999994,17.599999999999994,25.0,54.2,116.069,132.734,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.325
15,20020521,1.228,15.004000000000001,85.84168749999998,0.0,101.521,341.667,170.8125,5.707726311852722,55.129,-4.0,3.3000000000000003,0.42015,5,0.0,0.0,17.599999999999994,17.599999999999994,25.0,54.2,116.069,131.346,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.315
16,20020522,1.876,15.880999999999998,82.31460416666665,0.0,101.396,356.417,160.02083333299998,5.178571081198814,55.1748,-1.10417,3.3000000000000003,0.4099875,5,0.0,0.0,0.2,17.599999999999994,25.0,54.2,109.617,130.97299999999998,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.314
17,20020523,1.963,19.535,89.69791666666669,0.0,101.05,338.9790000000001,161.25,6.328670589813461,50.5482,5.25,3.3000000000000003,0.399825,5,0.0,0.0,0.0,17.599999999999994,17.599999999999994,54.2,55.526,130.97299999999998,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.292
18,20020524,1.239,21.136999999999997,86.64166666666668,0.0,100.863,324.063,164.85416666700002,5.508618453502594,47.0286,9.70833,3.3000000000000003,0.3896625,5,0.0,0.0,0.0,0.2,17.599999999999994,51.0,54.2,129.668,87,1,12,59,27,0,0,0,0,0,0,0,0,0,0,0.281
