,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20091109,1.1740000000000002,11.995,72.36564583333333,0.0,100.186,140.515,38.885625,0.8151567189924097,31.1859,-19.3865,0.8,0.056,11,0.0,0.0,0.0,0.0,0.0,0.124,0.124,46.00899999999999,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.17
1,20091110,0.924,12.077,74.78041666666667,0.0,100.331,123.757,42.4123125,0.7939684779279229,30.1051,-16.5179,0.8,0.0559125,11,0.0,0.0,0.0,0.0,0.0,0.124,0.124,46.00899999999999,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.16
2,20091111,0.8,12.477,78.93666666666667,0.0,99.869,103.223,30.71875,0.6751598105707538,23.2058,-11.7919,0.8,0.055825,11,0.0,0.0,0.0,0.0,0.0,0.0,0.124,44.496,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.17
3,20091112,0.768,10.342,92.034375,1.8,99.54299999999999,55.698,8.641875,0.25997628121591765,8.35999,-21.1979,0.8,0.0557375,11,1.8,1.8,1.8,1.8,1.8,1.8,1.9240000000000002,15.228000000000002,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.165
4,20091113,1.028,10.384,86.76085416666668,0.1,99.675,120.199,34.8225208333,0.7338270812704932,31.57,-14.5377,0.8,0.055650000000000005,11,1.9,1.9,1.9,1.9,1.9,1.9,2.024,2.436,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.171
5,20091114,1.065,8.756,77.89770833333334,0.0,100.24,150.395,46.2427083333,0.7985919990231879,48.9958,-25.6687,0.8,0.0555625,11,0.1,1.9,1.9,1.9,1.9,1.9,2.024,2.436,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.191
6,20091115,1.2590000000000001,9.641,71.53689583333333,0.0,100.66799999999999,152.317,45.6245833333,0.7677307885204551,49.0151,-22.1696,0.8,0.055475,11,0.0,0.1,1.9,1.9,1.9,1.9,2.024,2.436,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.166
7,20091116,1.329,10.811,65.4615,0.0,100.522,154.623,45.714375,0.8084394124870004,46.8428,-18.456,0.8,0.0553875,11,0.0,0.0,1.9,1.9,1.9,1.9,1.9,2.436,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.162
8,20091117,1.258,11.824000000000002,57.18337500000001,0.0,99.979,154.749,44.5562708333,0.7833532698716889,41.6441,-15.4233,0.8,0.0553,11,0.0,0.0,0.1,1.9,1.9,1.9,1.9,2.436,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.134
9,20091118,1.113,7.758999999999999,85.700625,0.0,100.221,110.44,34.6279375,0.4544056916055871,40.3149,-27.9335,0.8,0.0548,11,0.0,0.0,0.0,1.9,1.9,1.9,1.9,2.071,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.14400000000000002
10,20091119,0.956,10.103,81.94458333333334,0.0,100.29299999999999,138.986,45.7241875,0.6879392371066391,41.8161,-16.8215,0.8,0.0543,11,0.0,0.0,0.0,0.1,1.9,1.9,1.9,2.024,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.154
11,20091120,1.482,11.7,63.16541666666666,0.0,99.911,137.21200000000002,43.55125,0.8616756334560409,16.5946,-23.3904,0.8,0.0538,11,0.0,0.0,0.0,0.0,1.9,1.9,1.9,2.024,131,0,17,48,35,0,0,0,0,0,0,0,1,0,0,0.139
