,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20080515,2.635,20.688000000000002,40.546125,0.0,89.95700000000002,252.467,96.1241666667,0.2253989425506669,83.8331,5.8970199999999995,0.2,-0.0046500000000000005,5,0.0,3.556,3.556,3.556,3.556,3.556,3.556,3.556,950,0,9,79,11,0,0,0,0,0,0,0,0,1,0,0.069
1,20080601,2.096,27.438000000000002,18.882270833333333,0.0,90.005,370.32599999999996,138.717291667,0.39206181571028703,109.305,16.7045,0.30000000000000004,-0.015700000000000002,6,0.0,0.0,0.0,0.0,2.7939999999999996,6.858,10.414,10.414,950,0,9,79,11,0,0,0,0,0,0,0,0,1,0,0.07100000000000001
2,20080604,4.343,25.869,20.930020833333334,0.0,89.09100000000002,374.714,148.08402083299998,0.3931433249911376,137.536,5.73206,0.30000000000000004,-0.0138625,6,0.0,0.0,0.0,0.0,0.0,6.858,6.8580000000000005,10.414,950,0,9,79,11,0,0,0,0,0,0,0,0,1,0,0.073
3,20080605,3.767,23.11,37.649354166666654,0.0,89.494,367.50199999999995,145.798291667,0.31917407173225026,129.872,9.90877,0.30000000000000004,-0.01325,6,0.0,0.0,0.0,0.0,0.0,6.858,6.8580000000000005,10.414,950,0,9,79,11,0,0,0,0,0,0,0,0,1,0,0.067
4,20080610,2.9530000000000003,30.479,18.0424375,0.0,89.633,365.49,139.493166667,0.28585156213466273,111.617,15.0896,0.30000000000000004,-0.0105125,6,0.0,0.0,0.0,0.0,0.0,0.0,6.8580000000000005,10.414,950,0,9,79,11,0,0,0,0,0,0,0,0,1,0,0.066
5,20080611,3.5839999999999996,28.976,25.14637500000001,0.0,89.71799999999998,367.897,147.92189583299998,0.24932590224149545,126.742,10.8438,0.30000000000000004,-0.010225,6,0.0,0.0,0.0,0.0,0.0,0.0,2.7939999999999996,10.414,950,0,9,79,11,0,0,0,0,0,0,0,0,1,0,0.08700000000000001
6,20080715,1.374,27.87,62.12029166666667,0.0,90.288,330.221,182.334375,3.4633330102642703,68.0451,27.3804,0.5,0.06115,7,0.0,2.7939999999999996,14.223999999999998,14.985999999999999,38.1,82.80400000000002,115.062,115.31600000000002,950,0,9,79,11,0,0,0,0,0,0,0,0,1,0,0.132
7,20080717,1.935,30.123,48.5095,0.0,90.15299999999999,314.035,158.78429166700002,3.1292087923154708,54.9522,19.0802,0.5,0.066175,7,0.0,0.0,2.7939999999999996,14.223999999999998,26.924,82.55000000000003,84.07400000000001,115.31600000000002,950,0,9,79,11,0,0,0,0,0,0,0,0,1,0,0.073
8,20080728,1.939,27.296999999999997,59.46012500000001,0.0,90.285,321.6620000000001,173.769895833,3.6276343100046673,57.187,15.4549,0.6000000000000001,0.0672375,7,0.035,16.365,25.552,37.51,82.48100000000002,83.243,98.229,167.317,950,0,9,79,11,0,0,0,0,0,0,0,0,1,0,0.09699999999999999
9,20080802,2.066,28.623,54.06389583333333,0.091,89.95299999999996,329.336,179.215479167,4.9094778575103115,55.166000000000004,4.4177300000000015,0.6000000000000001,0.065425,8,0.091,0.091,0.091,0.126,25.643,82.572,83.334,148.61200000000005,950,0,9,79,11,0,0,0,0,0,0,0,0,1,0,0.084
10,20080902,1.534,25.335,69.54033333333332,0.0,90.038,271.043,146.246645833,3.5109626503313462,46.8706,9.34869,0.5375,0.0621625,9,0.254,19.558000000000003,24.13000000000001,33.274,75.438,77.97800000000002,88.39200000000002,110.96800000000003,950,0,9,79,11,0,0,0,0,0,0,0,0,1,0,0.183
