,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20080412,6.1560000000000015,17.980999999999995,9.289770833333334,0.0,87.792,348.991,96.322,0.5644196831458683,62.8442,16.3111,0.30000000000000004,0.038075000000000005,4,0.0,0.0,0.0,0.0,0.254,0.254,0.254,8.382,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.079
1,20080413,6.154,21.835,8.474895833333333,0.0,87.63,340.472,86.1210208333,0.6541870287362892,43.8305,23.7533,0.30000000000000004,0.0379875,4,0.0,0.0,0.0,0.0,0.254,0.254,0.254,8.382,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.077
2,20080414,4.224,23.719,9.908375,0.0,87.509,338.226,90.0999166667,0.7669484738059936,52.6076,19.5831,0.30000000000000004,0.0379,4,0.0,0.0,0.0,0.0,0.0,0.254,0.254,8.382,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.079
3,20080415,3.785,22.857,7.9164166666666675,0.0,87.291,341.152,94.5673333333,0.6910646583206835,67.9454,14.9745,0.30000000000000004,0.0370875,4,0.0,0.0,0.0,0.0,0.0,0.254,0.254,8.128,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.102
4,20080416,4.401,19.619,10.812145833333336,0.0,87.102,346.288,98.6946041667,0.5915901377531244,80.88600000000002,8.17108,0.30000000000000004,0.036275,4,0.0,0.0,0.0,0.0,0.0,0.254,0.254,0.762,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.08199999999999999
5,20080417,2.9819999999999998,11.800999999999998,14.005416666666667,0.0,87.26899999999998,349.10699999999997,102.82,0.5757899141444238,77.9785,3.16331,0.30000000000000004,0.0354625,4,0.0,0.0,0.0,0.0,0.0,0.254,0.254,0.762,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.1
6,20080418,1.681,19.124000000000002,10.2828125,0.0,87.229,349.18800000000016,98.4017291667,0.6414154548421646,69.6948,17.6229,0.30000000000000004,0.03465,4,0.0,0.0,0.0,0.0,0.0,0.254,0.254,0.762,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.102
7,20080419,3.457,21.212,9.052208333333333,0.0,86.926,305.469,89.01775,0.6528898421667756,42.7884,13.3182,0.30000000000000004,0.0338375,4,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.762,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.102
8,20080420,2.755,17.974,14.7308125,0.0,86.988,351.871,111.41197916700001,0.5819848690422855,81.0721,6.49256,0.30000000000000004,0.033025,4,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.762,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.1
9,20080421,1.8430000000000002,17.047,16.556291666666667,0.0,87.12899999999998,351.809,109.859354167,0.6035111558304223,89.8987,10.1267,0.30000000000000004,0.0322125,4,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.762,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.102
10,20080502,2.265,16.359,11.564979166666667,0.0,87.27600000000002,363.634,109.93247916700001,0.5525679999965221,85.1759,9.015830000000001,0.30000000000000004,0.040275000000000005,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.136
11,20080503,2.347,20.204,10.204104166666667,0.0,87.291,362.145,110.694145833,0.5620806959042877,83.8968,14.4753,0.30000000000000004,0.0400625,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.12
12,20080504,2.37,22.09800000000001,12.370937500000002,0.0,87.083,360.228,114.84525,0.6188776402738433,80.8269,15.4973,0.30000000000000004,0.03985,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.14400000000000002
13,20080505,2.625,21.184,19.0870625,0.0,87.06,359.414,112.76054166700001,0.5893927926802921,85.7316,13.5656,0.30000000000000004,0.0396375,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.111
14,20080506,2.8810000000000002,15.95,29.18027083333333,0.254,87.007,303.643,98.4745625,0.6591416573440363,74.2452,0.0794821,0.30000000000000004,0.039425,5,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.134
15,20080507,1.939,17.983,29.93920833333333,0.0,87.285,355.24,120.99785416700001,0.5996680635865278,90.0188,16.2146,0.30000000000000004,0.0392125,5,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.134
16,20080508,2.804,21.375,16.0789375,0.0,87.14200000000002,359.866,125.42502083299999,0.5380499103585505,97.5655,13.8671,0.30000000000000004,0.039,5,0.0,0.254,0.254,0.254,0.254,0.254,0.254,0.254,1291,1,24,53,22,0,0,0,0,0,0,0,0,0,0,0.16699999999999998
