,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20131126,1.08,8.957,76.31083333333333,0.0,102.306,100.273,40.4237916667,0.9048714449890632,13.934000000000001,-4.62692,0.4,0.027975,11,0.1,0.1,0.1,11.770999999999999,17.397000000000002,17.397000000000002,17.397000000000002,17.590999999999998,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.22699999999999998
1,20131127,1.531,9.689,74.76002083333333,0.0,101.479,112.755,50.4259583333,1.2551810215742958,20.2194,-2.77546,0.4,0.02475,11,0.0,0.1,0.1,0.495,17.397000000000002,17.397000000000002,17.397000000000002,17.590999999999998,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.238
2,20131128,1.382,11.537,68.32,0.0,101.52600000000001,128.761,54.5739375,1.1681969467900102,15.6416,-1.47975,0.4,0.021525,11,0.0,0.0,0.1,0.1,17.381,17.397000000000002,17.397000000000002,17.397000000000002,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.201
3,20131129,0.922,10.749,74.31335416666667,0.0,102.17,128.53799999999998,51.7680208333,1.2352474598487262,20.9827,-4.59258,0.4,0.0183,11,0.0,0.0,0.1,0.1,11.771,17.397000000000002,17.397000000000002,17.397000000000002,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.225
4,20131130,1.041,9.991,78.149375,0.0,102.471,109.74600000000001,45.1439375,1.103498147391074,19.8648,-4.7102900000000005,0.4,0.015075,11,0.0,0.0,0.0,0.1,0.495,17.397000000000002,17.397000000000002,17.397000000000002,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.157
5,20131201,0.8220000000000001,10.213,79.25520833333333,0.0,102.601,123.934,58.370041666700004,1.27083765761739,17.3806,-3.15175,0.4,0.01185,12,0.0,0.0,0.0,0.1,0.1,17.397000000000002,17.397000000000002,17.397000000000002,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.21
6,20131202,2.955,10.824000000000002,77.47145833333333,0.0,101.919,125.08200000000001,64.5034791667,1.1924739807727545,5.87629,0.9052709999999999,0.4,0.008625,12,0.0,0.0,0.0,0.0,0.1,17.397000000000002,17.397000000000002,17.397000000000002,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.145
7,20131203,5.297999999999999,10.021,50.89812499999999,0.0,101.255,55.925,6.27820833333,2.0880762765239598,-27.0582,-12.7155,0.4,0.0054,12,0.0,0.0,0.0,0.0,0.1,17.381,17.397000000000002,17.397000000000002,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.218
8,20131204,3.904,4.586,38.86022916666667,0.0,101.771,134.856,37.7609166667,1.8794706352117607,4.437819999999999,-18.2836,0.4,0.0056500000000000005,12,0.0,0.0,0.0,0.0,0.1,11.770999999999999,17.397000000000002,17.397000000000002,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.243
9,20131205,1.999,3.1180000000000003,43.92041666666668,0.0,102.134,131.934,42.01300000000001,1.2979634514394256,27.9692,-14.1692,0.4,0.0059,12,0.0,0.0,0.0,0.0,0.0,0.495,17.397000000000002,17.397000000000002,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.138
10,20131206,2.69,3.917,64.69208333333334,12.1,102.046,94.48899999999999,39.599170212800004,0.9971853603535666,7.5926,-2.39554,0.4,0.00615,12,12.1,12.1,12.1,12.1,12.1,12.2,29.497,29.497,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.171
11,20131207,3.32,4.313,69.46127083333333,0.4,101.95700000000001,116.66,48.9430416667,1.955583167832312,10.3595,-13.443,0.4,0.0064,12,12.5,12.5,12.5,12.5,12.5,12.6,29.897,29.897,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.238
12,20131208,3.1239999999999997,0.946,64.21666666666667,0.0,102.671,129.49,40.3260416667,2.1694278002066483,18.754,-14.9311,0.4,0.0066500000000000005,12,0.4,12.5,12.5,12.5,12.5,12.6,29.881,29.897,-5,0,18,41,40,0,0,0,0,0,0,1,0,0,0,0.27899999999999997
