,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,4.391,7.704,80.4574375,3.114,93.802,147.343,74.77316667,0.3432052633748901,26.7371,-2.50798,0.5,0.0223,2,3.114,3.114,3.114,3.114,3.114,3.114,3.114,3.114,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.325
1,20000227,3.964,1.32,78.72339583,0.156,94.73,105.696,36.53002083,0.5827403539693431,22.0667,-2.37725,0.5,0.022475,2,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.304
2,20000228,3.0580000000000003,2.72,60.73435417,0.0,95.473,124.421,41.40677083,0.6717711141240357,28.1216,-2.47133,0.5,0.02265,2,0.156,3.27,3.27,3.27,3.27,3.27,3.27,3.27,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.28700000000000003
3,20000229,3.991,8.476,64.15735417,1.401,94.332,132.713,68.55020833,0.1919113222684347,24.7891,-2.35523,0.5,0.022825,2,1.401,1.557,4.671,4.671,4.671,4.671,4.671,4.671,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.28500000000000003
4,20000301,4.745,-1.273,80.74745833,0.0,94.911,39.806,12.751875,0.4075960474595416,39.7315,-2.39773,0.5,0.023,3,1.401,1.401,4.671,4.671,4.671,4.671,4.671,4.671,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.28500000000000003
5,20000302,2.158,-0.959,64.6858125,0.0,95.946,175.325,72.139625,0.4496108284083475,63.0943,-3.9760800000000014,0.5,0.023175,3,0.0,1.401,1.557,4.671,4.671,4.671,4.671,4.671,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.275
6,20000303,3.0780000000000003,3.689,47.72852083,0.156,95.171,184.371,76.77545833,0.5538670804454556,38.8185,-3.77863,0.5,0.023350000000000003,3,0.156,0.156,1.557,4.827,4.827,4.827,4.827,4.827,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.273
7,20000304,2.24,6.621,54.107875,0.468,94.718,179.696,71.08629167,0.4911181894687842,43.0279,0.942292,0.5,0.023525,3,0.624,0.624,2.025,2.181,5.295,5.295,5.295,5.295,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.268
8,20000305,2.488,8.416,41.771375,0.0,94.997,169.12,71.69133333,0.9281143417646764,61.4751,3.22938,0.5,0.0237,3,0.468,0.624,0.624,2.025,5.295,5.295,5.295,5.295,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.266
9,20000306,3.2030000000000003,10.041,51.0391875,0.0,95.099,146.10299999999995,59.67177083,0.4508866182016277,37.2833,7.3869,0.4875,0.0245125,3,0.0,0.468,0.624,2.025,5.295,5.295,5.295,5.295,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.262
10,20000307,3.087,16.4,55.73545833,1.246,94.719,184.255,113.5616842,0.6067018916498587,55.5602,13.1793,0.475,0.025325,3,1.246,1.246,1.87,1.87,3.427,6.541,6.541,6.541,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.26
11,20000322,2.596,7.227,87.9484375,1.712,96.17,98.91,70.695,0.4535311669166546,27.3343,5.39527,0.5,0.040525,3,1.712,1.712,2.335,3.891,6.227,17.427,19.297,23.968000000000004,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.29100000000000004
12,20000323,2.306,11.425999999999998,80.35589583,2.024,95.995,153.95,89.24639583,0.7677549246450062,80.0142,15.0507,0.5,0.04065,3,3.736,3.736,4.359,4.359,8.251,19.451,21.165,25.992,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.29100000000000004
13,20000324,3.467,8.516,96.52197917,1.248,94.575,45.506,27.22083333,0.06242651413627656,5.9885699999999975,10.2196,0.5,0.040775,3,3.272,4.984,4.984,5.607,9.499,11.834000000000001,21.945,27.24,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.28500000000000003
14,20000325,5.41,5.379,68.2831875,2.337,94.294,138.02,64.651875,0.5886450650711569,36.8097,2.66208,0.5,0.0409,3,3.585,5.609,7.3210000000000015,7.944,9.5,11.992,24.281999999999996,29.577,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.293
15,20000326,4.331,4.699,72.82060417,6.529,93.832,171.703,96.21666667,0.6007195163951488,75.2551,1.6929,0.5,0.041025,3,8.866,10.113999999999999,13.849999999999998,13.849999999999998,14.472999999999995,18.364999999999995,30.811,36.106,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.27899999999999997
16,20000327,4.707,0.222,93.04979167,1.872,92.91,124.347,64.16020833,0.36579435961774776,48.3857,-4.7850800000000016,0.5,0.04115,3,8.401,10.738,14.009999999999998,15.721999999999998,16.345,20.237,31.437,34.864000000000004,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.301
17,20000328,4.449,-1.606,97.3405,0.312,94.077,59.474,39.472125,0.09465259016730138,44.5869,-7.7604,0.5,0.041275,3,2.184,8.713000000000001,12.297999999999998,16.034000000000002,16.657,20.549,31.749,35.02000000000001,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.28700000000000003
18,20000329,2.441,-0.507,89.27183333,1.247,94.98,128.735,68.36922917,0.3522942906813042,74.2341,-3.75992,0.5,0.0414,3,1.5590000000000002,3.431,12.297,15.569,17.281,21.796,24.131,36.26700000000001,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.14800000000000002
19,20000330,1.575,4.013,54.814375,2.334,95.39,259.332,128.2794583,0.9208396202675349,96.7417,-1.9404,0.5125000000000001,0.0409125,3,3.5810000000000004,3.8930000000000002,12.294,15.879,19.615,21.794,24.286,37.2,520,0,6,73,19,0,0,0,1,0,0,0,0,0,0,0.14800000000000002
