,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20040507,3.023,23.619,15.644729166666664,0.0,85.16,308.715,113.620354167,1.324474098539262,79.8119,7.9085,0.30000000000000004,0.0169375,5,0.0,0.0,0.0,0.0,0.193,0.193,0.193,4.9860000000000015,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.133
1,20040508,2.535,23.415,17.78625,0.0,85.07799999999997,159.763,43.962375,0.8321664113424615,28.6006,0.448896,0.30000000000000004,0.0167,5,0.0,0.0,0.0,0.0,0.0,0.193,0.193,4.9860000000000015,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.105
2,20040509,2.424,23.873,19.788645833333334,0.25,84.818,216.62599999999998,86.0731666667,1.4809866718874345,54.7686,1.8841700000000001,0.30000000000000004,0.0162125,5,0.25,0.25,0.25,0.25,0.25,0.443,0.44299999999999995,5.113,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.10099999999999999
3,20040510,3.91,22.305999999999997,23.0719375,0.0,84.69,307.712,123.053104167,1.347645723052492,77.868,7.01538,0.30000000000000004,0.015725,5,0.25,0.25,0.25,0.25,0.25,0.443,0.44299999999999995,2.194,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.1
4,20040511,6.412000000000001,20.169,27.64258333333333,0.0,84.571,359.32099999999997,147.2830625,0.9799647823918664,102.70200000000001,5.34183,0.30000000000000004,0.0152375,5,0.0,0.25,0.25,0.25,0.25,0.443,0.44299999999999995,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.098
5,20040512,6.172999999999999,19.287,20.4179375,0.0,84.56,367.531,148.351041667,0.9252333244214545,108.868,1.78627,0.30000000000000004,0.01475,5,0.0,0.0,0.25,0.25,0.25,0.443,0.44299999999999995,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.105
6,20040513,3.745,18.52,18.572041666666667,0.0,84.86200000000002,368.277,140.259791667,0.7177358516377703,94.1644,1.75073,0.30000000000000004,0.0142625,5,0.0,0.0,0.25,0.25,0.25,0.25,0.44299999999999995,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.106
7,20040514,2.695,21.985,9.73625,0.0,84.97200000000002,322.947,113.02085416700001,0.8484009050141048,82.6478,7.45327,0.30000000000000004,0.013775,5,0.0,0.0,0.0,0.25,0.25,0.25,0.44299999999999995,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.104
8,20040515,3.157,23.844,9.2858125,0.0,84.78299999999999,319.4,112.674083333,0.9006110817605568,73.329,8.3175,0.30000000000000004,0.0132875,5,0.0,0.0,0.0,0.25,0.25,0.25,0.44299999999999995,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.121
9,20040516,3.883,23.857,9.802958333333336,0.0,84.787,355.86400000000015,131.785083333,0.9082318474510384,99.5252,9.0596,0.30000000000000004,0.0128,5,0.0,0.0,0.0,0.0,0.25,0.25,0.44299999999999995,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.135
10,20040517,4.328,23.021,14.932604166666666,0.0,85.006,360.42199999999997,134.47577083299998,0.8889259828689413,105.34299999999999,7.650810000000001,0.30000000000000004,0.012675,5,0.0,0.0,0.0,0.0,0.25,0.25,0.44299999999999995,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.136
11,20040518,3.807,24.16,12.564854166666667,0.0,85.087,357.848,130.330895833,0.8286614445544119,102.329,8.712539999999999,0.30000000000000004,0.01255,5,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.135
12,20040519,4.133,24.353,13.557375,0.0,84.97399999999998,342.3230000000001,126.046833333,0.7468239957198416,105.448,7.82102,0.30000000000000004,0.012425,5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.135
13,20040520,3.673,23.838,10.098541666666668,0.0,85.024,369.582,136.822208333,0.7416421190628405,110.63799999999999,7.09433,0.30000000000000004,0.0123,5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.13699999999999998
14,20040521,5.372000000000001,21.945,16.168875,0.0,84.914,372.93800000000016,149.2559375,0.6169577261609712,115.663,3.57219,0.30000000000000004,0.012175,5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.136
15,20040522,4.874,20.01,14.729749999999996,0.0,84.79,374.289,146.824083333,0.7126818276764724,127.012,-0.418458,0.30000000000000004,0.01205,5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.13699999999999998
16,20040523,4.229,21.221,14.581416666666668,0.0,84.751,369.652,144.1599375,0.5313743436085396,125.11200000000001,6.9331,0.30000000000000004,0.011925,5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.134
17,20040524,5.505,22.066,16.212770833333334,0.0,84.757,371.83,152.708395833,0.5968993353353678,123.351,9.979230000000001,0.30000000000000004,0.0118,5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.098
18,20040525,3.983,22.045,13.984416666666664,0.0,84.777,170.15400000000002,51.4265833333,0.3710526797971699,45.4873,-2.6287700000000003,0.30000000000000004,0.0108625,5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.443,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.08900000000000001
19,20040526,2.96,19.695,27.0583125,0.51,84.791,60.316,6.72216666667,0.4986874352880217,0.20760599999999998,-15.3802,0.30000000000000004,0.009925,5,0.51,0.51,0.51,0.51,0.51,0.51,0.76,0.953,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.098
20,20040527,2.782,19.697,14.611708333333333,0.0,84.936,380.69699999999995,156.732708333,0.745327885750617,109.69200000000001,7.0088300000000014,0.30000000000000004,0.0089875,5,0.51,0.51,0.51,0.51,0.51,0.51,0.76,0.953,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.125
21,20040528,3.8819999999999997,22.393,11.186770833333336,0.0,84.76100000000002,372.181,147.850645833,0.5122677323411388,124.473,9.24342,0.30000000000000004,0.00805,5,0.0,0.51,0.51,0.51,0.51,0.51,0.76,0.76,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.091
22,20040529,5.149,20.023,17.654791666666668,0.0,84.579,373.62,152.583708333,0.4810021607387189,135.695,4.75856,0.30000000000000004,0.007112500000000002,5,0.0,0.0,0.51,0.51,0.51,0.51,0.51,0.76,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.113
23,20040530,4.412,21.335,22.57770833333333,0.0,84.88600000000002,369.25199999999995,150.205145833,0.43263561830895736,116.79799999999999,6.33108,0.30000000000000004,0.006175,5,0.0,0.0,0.51,0.51,0.51,0.51,0.51,0.76,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.111
24,20040531,3.05,24.502,13.833479166666667,0.0,84.934,370.44300000000004,139.089520833,0.464793617816096,101.637,11.5135,0.30000000000000004,0.0052375,5,0.0,0.0,0.0,0.51,0.51,0.51,0.51,0.76,1531,1,20,44,33,0,0,0,0,0,0,0,0,0,0,0.127
