,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20030101,0.226833333,8.1113125,94.75833333,0.5,98.58541667,13.70089583,9.9559375,0.46305039600000003,-8.246583472000001,4.90405669,2.4,0.1017,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,319.0,0,26,36,37,0,0,1,0,0,0,0,0,0,0,0.27699999999999997
1,20030102,0.19920833300000002,9.7075,91.19895833,3.1,98.646875,29.09864583,23.71180208,1.050312994,-3.8024272110000004,-2.6053527119999997,2.3875,0.105,1,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,319.0,0,26,36,37,0,0,1,0,0,0,0,0,0,0,0.29
2,20030103,0.436166667,8.645979167,80.11729167,1.5,98.825,193.3505,102.2440417,2.372302672,29.28466543,4.862366341,2.375,0.1083,1,4.6,5.1,5.1,5.1,5.1,5.1,5.1,5.1,319.0,0,26,36,37,0,0,1,0,0,0,0,0,0,0,0.298
3,20030104,0.215802083,7.956041667,73.03291667,0.0,98.77291667,109.317625,45.56908333,1.6205195940000001,24.81658448,-25.79432136,2.3625,0.1116,1,1.5,4.6,5.1,5.1,5.1,5.1,5.1,5.1,319.0,0,26,36,37,0,0,1,0,0,0,0,0,0,0,0.226
4,20030105,0.475604167,9.291916667,66.45666667,0.0,98.94583333,94.44389583,68.7008125,0.970459283,7.992059108999999,32.86838157,2.35,0.1149,1,0.0,1.5,5.1,5.1,5.1,5.1,5.1,5.1,319.0,0,26,36,37,0,0,1,0,0,0,0,0,0,0,0.271
5,20030106,0.3721875,4.869885417,91.02166667,22.2,98.63541667,15.03310417,10.7916875,0.679250832,-16.59395065,7.819446354,2.3375,0.1182,1,22.2,22.2,26.8,27.3,27.3,27.3,27.3,27.3,319.0,0,26,36,37,0,0,1,0,0,0,0,0,0,0,0.275
6,20030107,0.42845833299999997,4.785020833,86.21666667,0.0,98.66875,112.52347920000001,44.05072917,1.589230186,10.65014679,-12.38165276,2.325,0.1215,1,22.2,22.2,23.7,27.3,27.3,27.3,27.3,27.3,319.0,0,26,36,37,0,0,1,0,0,0,0,0,0,0,0.281
7,20030108,0.28402083300000003,5.081625,84.37291667,0.0,98.65625,96.57570833,60.34197917,1.222503334,31.29987128,-6.165878666,2.3125,0.1248,1,0.0,22.2,22.2,26.8,27.3,27.3,27.3,27.3,319.0,0,26,36,37,0,0,1,0,0,0,0,0,0,0,0.28300000000000003
8,20030109,0.18385416699999999,9.049,79.024375,0.0,98.45208333,116.8059375,61.360375,1.148500235,17.77773153,10.62723611,2.3,0.1281,1,0.0,0.0,22.2,23.7,27.3,27.3,27.3,27.3,319.0,0,26,36,37,0,0,1,0,0,0,0,0,0,0,0.23199999999999998
9,20030110,0.3490416670000001,9.7655625,62.5775,0.0,98.43333333,191.4571458,69.66427083,1.851860539,29.63725215,-13.07549395,2.3,0.1283375,1,0.0,0.0,22.2,22.2,27.3,27.3,27.3,27.3,319.0,0,26,36,37,0,0,1,0,0,0,0,0,0,0,0.26899999999999996
