,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20040402,5.716,9.67,57.06770833333334,0.0,96.32799999999999,214.62599999999998,61.1102083333,2.510023418279112,24.2219,11.5413,0.95,0.0747,4,0.0,0.0,0.0,0.212,10.345,25.715,27.425,34.187000000000005,478,0,14,36,49,0,0,0,0,0,0,0,1,0,0,0.14200000000000002
1,20040403,2.952,10.181000000000001,61.68604166666668,0.0,96.48200000000001,162.75,38.261875,1.919841002380484,16.1772,11.9178,0.9875,0.077,4,0.0,0.0,0.0,0.0,3.0540000000000003,24.381,25.915,34.07300000000001,478,0,14,36,49,0,0,0,0,0,0,0,1,0,0,0.14400000000000002
2,20040404,4.523,8.486,69.96708333333333,2.6,96.441,144.483,51.9985416667,1.575149989222498,17.6008,4.97167,1.025,0.07930000000000001,4,2.6,2.6,2.6,2.6,4.216,18.114,28.515,36.67300000000001,478,0,14,36,49,0,0,0,0,0,0,0,1,0,0,0.127
3,20040405,3.7560000000000002,5.7479999999999976,78.34604166666666,0.3,95.743,150.215,60.31875,1.3024891427979772,26.0251,-0.301771,1.0625,0.0816,4,2.9,2.9,2.9,2.9,3.112,14.662,28.815,36.514,478,0,14,36,49,0,0,0,0,0,0,0,1,0,0,0.133
4,20040406,4.706,3.892,82.426875,1.5,94.855,113.071,38.6727083333,0.6292053661863671,16.7833,-3.42677,1.1,0.0839,4,1.8,4.4,4.4,4.4,4.4,14.918,30.315,37.061,478,0,14,36,49,0,0,0,0,0,0,0,1,0,0,0.14300000000000002
5,20040407,2.778,3.055,76.75729166666666,0.0,95.03399999999999,153.503,52.6079166667,1.0346470426862049,24.4395,-1.6826,1.1375,0.090625,4,1.5,1.8,4.4,4.4,4.4,14.745,30.115,36.921,478,0,14,36,49,0,0,0,0,0,0,0,1,0,0,0.14200000000000002
6,20040408,3.4210000000000003,2.401,86.99937499999999,1.5,95.461,135.537,71.6489583333,0.8631514765069482,20.6408,-0.193125,1.175,0.09735,4,1.5,3.0,5.9,5.9,5.9,8.954,30.281,35.75,478,0,14,36,49,0,0,0,0,0,0,0,1,0,0,0.14200000000000002
7,20040409,2.813,2.6310000000000002,93.24562500000002,0.4,95.82600000000001,78.375,52.085625,0.2796159683929741,8.56105,0.826354,1.2125,0.104075,4,1.9,1.9,3.7,6.3,6.3,7.915999999999999,21.814,33.812000000000005,478,0,14,36,49,0,0,0,0,0,0,0,1,0,0,0.172
8,20040410,2.184,4.038,86.07208333333334,0.9,95.72200000000001,170.112,90.8641666667,1.4632245547128302,39.1391,9.89365,1.25,0.1108,4,1.3,2.8,4.3,7.1999999999999975,7.1999999999999975,7.411999999999999,18.962,34.706,478,0,14,36,49,0,0,0,0,0,0,0,1,0,0,0.14400000000000002
9,20040411,2.165,3.778,76.01979166666666,1.8,96.26799999999999,214.895,92.2265217391,2.044447655232914,41.09,6.3047900000000014,1.2875,0.117525,4,2.7,3.1,4.6,6.4,9.0,9.0,19.518,36.50600000000001,478,0,14,36,49,0,0,0,0,0,0,0,1,0,0,0.166
10,20040412,1.8130000000000002,3.4010000000000002,80.65979166666666,0.0,96.756,195.562,90.1802083333,1.5737524106874132,38.3036,6.48656,1.3250000000000002,0.12425,4,1.8,2.7,4.6,6.1,9.0,9.0,19.345,36.425,478,0,14,36,49,0,0,0,0,0,0,0,1,0,0,0.128
