,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20090502,1.49,7.9860000000000015,58.91416666666667,0.0,87.564,326.91,176.24479166700004,2.996361824361826,108.766,5.16856,0.8250000000000001,0.124875,5,3.498,8.459,23.676,23.676,30.561,40.402,55.668,62.909000000000006,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.316
1,20090503,0.905,9.57,48.43791666666666,0.0,87.50399999999998,242.99200000000002,118.45291666700001,1.5153905364876088,79.5568,4.67999,0.8500000000000001,0.13155,5,0.0,3.498,16.372999999999998,23.676,23.676,33.172,55.668,62.909000000000006,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.272
2,20090504,1.091,3.188,93.36083333333332,14.5,87.18799999999996,68.369,34.3952083333,1.4565752807713541,18.7088,-5.5003800000000025,0.875,0.138225,5,14.5,14.5,22.959000000000003,38.176,38.176,47.672,70.168,76.65899999999998,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.29
3,20090505,1.6269999999999998,1.805,81.08062500000003,7.81,87.182,135.138,84.9289583333,1.7889802997501143,39.3779,-6.6086300000000024,0.9,0.1449,5,22.31,22.31,25.808000000000003,38.683,45.986000000000004,53.268,77.97800000000002,81.62599999999998,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.28500000000000003
4,20090506,2.412,3.7310000000000003,97.919375,29.77,86.915,17.649,14.939375,1.2334476174214484,0.973725,-5.3913199999999994,0.925,0.15157500000000002,5,37.58,52.08,52.08,60.538999999999994,75.75599999999999,83.038,106.988,108.226,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.289
5,20090507,1.2890000000000001,7.4929999999999986,83.19125000000003,0.0,87.163,234.865,147.349791667,2.8357952700325195,66.8606,2.6472,0.95,0.15825,5,29.77,37.58,52.08,55.578,75.75599999999999,82.64099999999998,92.48200000000001,108.226,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.308
6,20090508,1.641,11.109000000000002,68.46249999999999,3.74,87.10600000000002,250.097,144.027916667,2.3635247922777074,78.0107,6.84353,0.975,0.16492500000000002,5,3.74,33.51,55.82,55.82,72.193,79.49600000000002,88.992,111.488,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.29
7,20090509,1.435,10.960999999999999,75.93333333333334,0.78,87.339,260.041,163.216458333,2.3358206336067857,88.1061,7.024439999999999,1.0,0.1716,5,4.5200000000000005,4.5200000000000005,42.1,56.6,65.059,80.27600000000002,89.772,112.26799999999999,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.258
8,20090510,1.632,12.314,72.25666666666667,2.82,87.27600000000002,260.26099999999997,143.584166667,2.4451379140028338,97.4645,8.39395,1.0375,0.1831375,5,3.6,7.34,37.11,59.42,62.918,83.096,90.378,115.08800000000002,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.253
9,20090511,1.5530000000000002,10.675,84.91729166666666,24.52,87.00200000000002,172.833,116.131458333,2.963407628863334,50.0802,3.41117,1.075,0.194675,5,27.34,28.12,31.86,69.44,83.94,107.616,114.898,139.608,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.239
10,20090512,2.4219999999999997,5.0089999999999995,98.14833333333335,2.18,87.149,97.95100000000001,74.56,1.4679982928696371,50.5734,-2.97818,1.1125,0.2062125,5,26.7,29.52,34.04,63.81,86.12,109.796,116.681,141.78799999999995,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.261
11,20090513,2.017,5.443,90.22791666666667,0.0,87.022,152.178,111.478333333,1.652261417432541,33.1315,-0.545906,1.15,0.21775,5,2.18,26.7,30.3,34.04,86.12,102.493,109.796,141.78799999999995,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.253
12,20090517,1.202,12.936,62.2275,0.0,87.07799999999996,347.366,193.169791667,3.8062523611556265,83.2533,12.9722,1.3,0.2639,5,7.39,10.68,20.16,46.86,54.2,106.28,129.95600000000002,146.68200000000004,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.238
13,20090518,1.324,10.527000000000001,86.09604166666668,12.41,87.315,187.59599999999998,127.485625,2.408349490946452,56.5678,3.5224800000000003,1.3125,0.26485000000000003,5,12.41,19.8,32.57,34.75,62.87,118.69,135.063,151.86199999999997,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.25
14,20090520,0.867,13.479000000000001,66.91479166666666,0.0,87.605,276.094,154.142291667,3.1291439127989853,74.8839,11.0223,1.3375,0.26675,5,1.55,13.96,21.35,34.120000000000005,60.82000000000001,97.93,123.738,151.19799999999995,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.248
15,20090521,1.307,14.877,53.56020833333333,1.18,87.18299999999998,218.933,119.6375,2.280683916424161,52.9311,12.8177,1.35,0.2677,5,1.18,2.73,15.14,25.82,37.48,69.33999999999999,121.42,152.37799999999996,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.252
16,20090522,1.972,9.949,90.78604166666666,3.28,86.95700000000002,105.79,62.850208333299996,1.5697670323703905,22.4333,2.1604799999999997,1.3625,0.26865,5,4.46,4.46,18.42,25.81,38.58,72.61999999999998,124.7,155.26099999999997,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.244
17,20090523,1.165,9.88,67.97083333333333,0.0,87.34,326.999,178.95708333299999,2.5968376769231045,101.779,6.79022,1.375,0.2696,5,3.28,4.46,6.01,18.42,38.58,68.88,124.7,148.37599999999995,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.243
18,20090524,1.215,15.08,60.70395833333333,0.32,87.369,314.33,190.22,2.7508830479116577,101.337,12.815,1.3875000000000002,0.27055,5,0.32,3.6,4.7799999999999985,18.74,29.42,68.41999999999999,110.51999999999998,148.69599999999997,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.243
19,20090525,1.087,16.907,66.27333333333333,0.0,87.43799999999996,251.071,132.04270833299998,1.9383650775714427,67.7583,15.4934,1.4,0.2715,5,0.32,0.32,4.7799999999999985,6.329999999999999,26.13,65.6,102.70999999999998,148.69599999999997,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.215
20,20090526,1.546,16.791,65.40625,90.42,86.958,270.003,163.892291667,3.0663153794565594,83.8735,13.5577,1.425,0.277625,5,90.42,90.74,94.02,95.2,109.16,131.5,163.36,239.116,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.21899999999999997
21,20090528,1.814,4.743,92.19958333333334,11.72,87.645,49.472,27.623125,1.5378223852112582,17.7885,-2.69782,1.475,0.289875,5,15.54,105.96,106.28,109.56,112.29,144.86,175.16,247.353,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.223
22,20090529,1.6740000000000002,1.725,93.58916666666669,24.88,87.529,142.488,87.1627083333,1.6482559689860832,51.1018,-5.2294,1.5,0.29600000000000004,5,36.6,40.42,130.84,131.16,135.62,160.26,199.26,264.319,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.223
23,20090531,1.671,5.19,86.87541666666668,0.0,87.27,237.14700000000002,179.5675,3.05227130107384,59.4858,-0.34925100000000003,1.55,0.30825,5,10.22,35.1,50.64,141.06,144.66,159.8,182.14,266.08000000000004,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.255
24,20090601,1.266,8.465,81.43020833333334,0.0,87.05,221.743,145.829375,2.976017944319937,67.7345,3.4454800000000003,1.5750000000000002,0.314375,6,0.0,10.22,46.82,141.06,141.38,159.8,179.95999999999995,266.08000000000004,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.217
25,20090602,0.943,9.378,81.308125,3.58,86.831,175.623,117.772916667,2.215695995600309,51.4376,3.19473,1.6,0.3205,6,3.58,3.58,38.68,54.22,144.95999999999995,150.97,183.54,269.66,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.228
26,20090603,1.479,7.143,63.75312500000001,0.11,86.51799999999999,363.955,211.856458333,4.368172640598864,134.19799999999998,5.77152,1.6125,0.3220875,6,3.69,3.69,13.91,50.51,144.75,149.53,174.17,255.27,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.238
27,20090605,1.597,5.148,69.10541666666667,0.16,86.26299999999998,311.987,182.966666667,2.0892983631589184,116.447,1.9818799999999999,1.6375000000000002,0.3252625,6,0.39399999999999996,0.504,4.084,14.304,54.724,148.744,163.884,218.084,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.19699999999999998
28,20090606,2.053,8.857000000000003,79.36208333333333,14.6,85.664,124.148,80.77375,1.6486866116185117,22.8549,1.11521,1.65,0.32685000000000003,6,14.76,14.994000000000002,18.684,18.684,65.50399999999999,160.06399999999996,178.48399999999995,232.68400000000003,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.21
29,20090607,1.879,7.95,89.90125,27.82,86.044,126.245,86.7658333333,2.685952517745239,21.0608,0.697708,1.6625,0.3284375,6,42.42,42.58,42.924,46.504,81.604,187.884,193.894,256.76399999999995,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.235
30,20090608,1.571,9.471,82.08416666666666,0.76,86.61200000000002,236.771,164.777916667,3.3728468443749957,56.0696,6.70188,1.675,0.330025,6,28.58,43.18,43.574,47.263999999999996,57.484,188.324,193.104,256.744,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.22
31,20090609,1.297,11.379000000000001,79.115,0.14,86.685,140.601,76.5120833333,1.62662243518206,29.9465,4.04479,1.6875,0.33161250000000003,6,0.9,28.72,43.48,43.824,47.404,188.46400000000003,193.24400000000003,254.064,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.236
32,20090610,1.5630000000000002,9.601,84.48812500000003,0.0,87.069,186.40099999999998,107.12854166700001,1.8427045040341845,48.5096,3.4575,1.7000000000000002,0.3332,6,0.14,0.9,43.32,43.714,47.404,98.04399999999998,192.06400000000002,229.544,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.235
33,20090611,2.209,7.999,84.8625,25.65,86.863,95.029,57.142291666700004,2.0329736488941945,8.705680000000001,-1.9039599999999999,1.7000000000000002,0.323625,6,25.65,25.79,54.37000000000001,69.13,73.05399999999999,119.87399999999998,214.43400000000003,253.01399999999995,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.208
34,20090612,2.125,5.46,86.72229166666666,21.81,87.126,165.93900000000005,112.26854166700001,2.820480504730928,27.0741,-2.5160400000000003,1.7000000000000002,0.31405,6,47.46,47.46,48.35999999999999,90.78,91.28399999999998,129.96399999999997,236.24400000000003,274.824,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.228
35,20090613,1.511,8.425,60.39541666666668,0.0,87.344,385.7,214.25520833299998,3.7561555588328415,114.601,5.52187,1.7000000000000002,0.304475,6,21.81,47.46,47.6,76.17999999999998,91.17399999999998,105.08399999999996,235.924,265.344,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.236
36,20090614,1.4680000000000002,12.97,61.76416666666666,0.3,87.435,352.142,205.359166667,3.023018926593061,109.084,10.9117,1.7000000000000002,0.2949,6,0.3,22.11,47.76,48.66,91.23999999999998,95.16399999999996,236.22400000000002,262.35400000000004,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.215
37,20090615,1.95,13.19,88.59770833333334,18.05,87.206,163.417,104.803125,1.908993872460511,47.2019,7.6433300000000015,1.7000000000000002,0.285325,6,18.35,18.35,65.81,65.95,109.13,113.21399999999998,163.85399999999996,273.014,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.228
38,20090616,1.6030000000000002,9.54,88.94291666666668,7.41,87.333,170.768,110.41125,2.8372646020800443,43.9711,4.31125,1.7000000000000002,0.27575,6,25.46,25.76,47.57,73.22,101.94,120.62399999999998,167.44400000000005,280.42400000000004,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.228
39,20090617,0.846,10.759,69.44895833333332,0.0,87.664,320.491,183.36583333299998,3.549713253924225,90.9968,6.96667,1.7000000000000002,0.266175,6,7.41,25.46,25.76,73.22,74.12,117.04399999999998,155.724,268.01399999999995,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.212
40,20090618,1.57,14.85,67.0625,7.48,87.39299999999999,333.615,201.358125,2.8371126565564704,105.07799999999999,9.81243,1.7000000000000002,0.2566,6,7.48,14.89,33.239999999999995,55.05,80.83999999999997,124.41399999999996,138.32399999999998,273.944,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.217
41,20090619,1.0859999999999999,10.632,92.50354166666666,13.52,87.15899999999998,49.56800000000001,31.0975,1.67250605599924,5.63387,1.1116700000000002,1.7000000000000002,0.25105,6,21.0,21.0,46.46,46.76,94.22,137.7,141.62400000000005,287.464,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.223
42,20090620,0.884,7.5310000000000015,82.843125,0.18,87.235,167.975,104.79625,2.2446999599577224,42.659,0.800417,1.7000000000000002,0.2455,6,13.7,21.18,28.59,46.94,94.4,137.72,141.80400000000003,286.464,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.217
43,20090621,0.777,6.9979999999999976,79.24041666666666,7.74,87.163,152.187,74.7033333333,1.9321700248908082,39.836,-1.68,1.7000000000000002,0.23995,6,7.92,21.44,28.92,54.38,76.49,130.86,149.54399999999995,290.9240000000001,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.201
44,20090622,1.75,5.86,92.34979166666666,33.04,87.061,178.794,113.66854166700001,1.578595331070791,66.2944,-1.60667,1.7000000000000002,0.23440000000000005,6,40.78,40.96,61.96000000000001,69.37,87.72,136.07999999999998,179.00400000000005,323.964,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.188
45,20090625,1.321,11.317,97.71750000000002,31.02,86.61200000000002,98.78200000000001,80.8239583333,1.6563880577801031,19.7468,10.8397,1.7000000000000002,0.21775,6,36.32,104.94,145.72,159.42000000000004,174.31,240.12000000000003,283.44000000000005,338.1640000000001,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.259
46,20090626,1.5859999999999999,12.902000000000001,89.56875000000002,20.56,86.64299999999999,275.962,185.140625,3.125126376725867,59.4877,13.4156,1.7000000000000002,0.2122,6,51.58,56.88,158.54,166.46,187.46,235.03000000000003,289.4,354.90400000000005,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.24100000000000002
47,20090627,1.6680000000000001,12.731,93.349375,20.67,86.773,198.985,150.04375,2.560063843810179,47.1296,12.4852,1.7000000000000002,0.2148125,6,41.23,72.25,146.17000000000004,186.95,208.13,233.89000000000004,282.25,363.85400000000004,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.247
48,20090628,1.5390000000000001,11.784,97.86916666666666,0.99,86.984,71.663,59.681041666700004,1.3125078335099574,12.8653,5.62667,1.7000000000000002,0.217425,6,21.66,42.22,78.53999999999998,180.2,201.64,234.88,282.48,339.964,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.243
49,20090629,1.564,13.071,92.57166666666667,1.68,87.256,235.456,169.149375,3.2350793769644146,58.4824,10.2623,1.7000000000000002,0.2200375,6,2.67,23.340000000000003,74.92,148.84,189.8,236.26,284.02,331.4240000000001,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.252
50,20090630,1.171,14.03,88.67937500000002,13.8,87.48100000000002,172.067,99.7170833333,1.997500240093348,34.6252,7.31958,1.7000000000000002,0.22265,6,15.48,16.47,57.7,94.02,203.42,232.01,297.82,345.224,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.264
51,20090701,1.209,15.284,76.95729166666666,0.2,87.556,198.422,110.176875,2.6957136687521213,34.8859,7.1677100000000005,1.7000000000000002,0.2252625,7,14.0,15.68,37.34,88.92,195.88,224.8,272.37,345.42400000000015,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.25
52,20090702,0.802,15.784,80.71354166666667,21.04,87.363,162.154,90.42765957450001,2.843848525256268,29.4955,8.228539999999999,1.7000000000000002,0.227875,7,21.24,35.04,37.71,78.94,183.88,245.84,271.6,362.884,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.245
53,20090703,0.56,14.26,88.13458333333334,16.3,87.05,104.44200000000001,71.073125,1.8055687368578377,20.8889,6.2275,1.7000000000000002,0.2304875,7,37.34,37.540000000000006,53.02,74.68,131.56,254.66000000000003,287.9000000000001,379.07400000000007,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.233
54,20090704,0.753,14.35,85.78625,5.82,86.85600000000002,197.792,126.64041666700001,2.265864495422833,53.6199,8.349169999999999,1.7000000000000002,0.2331,7,22.12,43.16,57.16,59.83,132.08,246.96000000000004,293.42000000000013,384.66000000000014,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.25
55,20090705,0.605,14.487,86.37104166666666,37.5,86.736,178.947,130.973541667,2.729828629939108,35.944,7.45833,1.6875,0.2386375,7,43.32,59.62000000000001,80.86,96.34,138.56,284.2800000000001,312.87000000000006,422.00000000000006,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.249
56,20090706,0.8029999999999999,12.815,91.250625,11.48,86.57799999999996,115.039,96.9291666667,1.821477558699164,21.5746,4.36125,1.675,0.244175,7,48.98,54.8,92.14,106.14,129.48000000000002,288.0200000000001,316.94000000000005,418.88000000000005,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.257
57,20090707,1.218,10.659,93.12291666666664,5.9,86.52,120.193,84.263125,2.170182165170225,24.8006,2.63271,1.6625,0.2497125,7,17.380000000000006,54.88,77.0,98.24,114.71,260.88,322.8400000000001,396.96,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.236
58,20090709,1.5519999999999998,7.191,96.34583333333336,16.76,86.82700000000001,107.36,67.7414583333,1.960429855635095,17.9765,-3.57021,1.6375000000000002,0.2607875,7,35.1,41.0,89.98,112.1,147.14,222.06000000000003,336.94000000000005,431.16000000000014,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.248
59,20090712,1.208,10.557,79.07375,0.02,86.99,227.78400000000002,148.076666667,2.640269286064629,66.5942,5.85042,1.6,0.27740000000000004,7,0.08,10.06,45.16,62.53999999999999,122.15999999999998,159.87,306.04000000000013,393.76000000000016,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.221
60,20090713,1.082,14.165999999999999,84.66375,0.46,87.09899999999998,200.783,138.201666667,2.615169221862668,53.8991,9.64833,1.6,0.2795875,7,0.48,0.54,27.28,51.52,106.32,159.34,237.88,394.22000000000014,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.222
61,20090714,0.846,17.185,68.64229166666667,5.66,87.184,256.12,158.624375,3.2076331546225547,55.9093,12.2523,1.6,0.281775,7,6.12,6.14,16.18,51.28,106.16,163.32,238.24000000000004,399.58000000000015,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.218
62,20090715,0.95,16.319000000000006,77.46999999999998,3.44,87.583,201.507,126.81604166700001,2.8372749321577526,53.192,10.1046,1.6,0.2839625,7,9.1,9.56,9.64,36.38,72.1,152.95999999999995,210.66000000000003,384.97000000000014,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.217
63,20090716,0.9059999999999999,17.448,64.72208333333333,0.02,87.78299999999999,264.991,155.30854166700001,3.1379564894569887,68.6985,10.8671,1.6,0.28615,7,3.46,9.12,9.6,19.64,60.64000000000001,152.78,190.12,377.58,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.217
64,20090717,1.327,17.942,70.76479166666665,10.22,86.932,246.637,139.854375,2.629804563904321,71.4886,10.0144,1.6,0.2883375,7,10.24,13.68,19.8,19.88,64.96000000000001,141.96000000000004,179.67000000000004,387.80000000000007,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.251
65,20090720,1.4509999999999998,9.47,90.248125,2.04,87.367,155.27100000000004,81.3191666667,2.2351618516327445,26.1053,1.29833,1.6,0.2949,7,16.75,82.98,93.22,102.32,102.86,165.32,246.18,449.6,1308,0,16,47,36,0,0,0,0,0,1,0,0,0,0,0.243
