,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20120705,1.423,19.409000000000002,77.47579166666667,2.194,94.335,320.999,260.92299925,5.721973987888112,98.8458,7.63991,3.4000000000000004,0.181775,7,7.951000000000001,17.924,28.712000000000003,35.448,35.60800000000001,63.837,82.185,144.191,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.316
1,20120706,1.4169999999999998,17.622,83.89564375,12.312999999999999,94.47,189.708,154.819041021,3.2503844118521648,46.9351,5.98051,3.4000000000000004,0.1827625,7,14.507,20.264,37.546,42.207,47.761,68.069,94.498,155.49599999999995,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.34800000000000003
2,20120707,0.96,17.304000000000002,82.57515833333333,12.493,94.65700000000001,210.563,167.64570952100001,3.9201312252847673,71.6566,5.70967,3.4000000000000004,0.18375,7,24.805999999999997,27.0,42.73,53.518,60.25400000000001,74.84100000000002,104.401,167.63400000000001,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.308
3,20120708,1.579,18.372,77.30385,2.568,94.382,264.527,197.524539787,4.5893193972154265,89.0354,4.144019999999999,3.4000000000000004,0.1847375,7,15.061,27.374,35.325,52.607,62.821999999999996,71.97,105.726,159.755,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.317
4,20120709,1.052,17.987000000000005,81.70149791666667,6.648,94.72,178.988,138.607092191,3.444586077751937,45.5335,6.56325,3.4000000000000004,0.185725,7,9.216000000000001,21.709,36.216,51.94600000000001,63.916000000000004,76.84299999999998,110.368,157.22,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.314
5,20120710,1.064,17.868,78.01520000000002,7.294,94.67,218.489,164.63524090200002,3.887283608371636,56.7445,5.56691,3.4000000000000004,0.1867125,7,13.942,16.51,41.316,49.26700000000001,70.028,76.92399999999998,105.15299999999999,149.614,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.319
6,20120711,1.55,16.055999999999994,84.87485833333334,17.205,94.75399999999999,126.65799999999999,106.107097146,2.478518841394524,20.1457,4.4154,3.4000000000000004,0.1877,7,24.499000000000002,31.147,46.208,60.715,83.75399999999998,93.969,114.27700000000002,160.909,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.213
7,20120712,2.345,15.745999999999999,66.48017083333333,2.668,94.916,214.13,160.354715208,3.833806588376466,62.0868,3.76997,3.4000000000000004,0.1879375,7,19.873,27.166999999999998,36.383,61.18899999999999,79.113,96.637,111.224,149.491,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.239
8,20120713,0.997,14.989,83.01809583333333,6.92,94.355,161.846,133.029861048,2.4329242198728265,32.5369,2.88597,3.4000000000000004,0.188175,7,9.588,26.79300000000001,40.735,55.79600000000001,76.06,103.557,112.705,150.57899999999995,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.23399999999999999
9,20120714,1.7719999999999998,16.021,77.84866458333333,11.349,94.193,134.937,107.515292152,2.947168881837816,0.76361,3.3379199999999996,3.4000000000000004,0.1884125,7,18.269000000000002,20.936999999999998,45.43599999999999,54.652,81.65199999999999,109.352,122.27899999999998,161.64299999999997,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.217
10,20120715,2.33,14.082,77.40708958333333,11.331,94.822,222.827,182.804147146,3.4862979573479342,66.2851,3.5756699999999997,3.4000000000000004,0.18865,7,22.68,29.6,49.473,63.41499999999999,90.789,119.501,126.397,172.97400000000005,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.159
11,20120716,2.8739999999999997,14.103,65.09048333333334,0.426,95.647,228.923,162.21277036200001,3.9498980102331256,60.96100000000001,2.4134900000000004,3.4000000000000004,0.1888875,7,11.757,23.106,32.694,57.19300000000001,78.90199999999999,116.448,126.663,173.39999999999995,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.237
12,20120717,3.228,16.819000000000006,61.46294375,0.0,95.572,203.93099999999998,150.076560625,3.6890364774799695,55.7837,1.89819,3.4000000000000004,0.189125,7,0.426,11.757,30.026000000000003,49.899,66.40899999999999,109.139,126.663,170.80999999999997,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.213
13,20120718,2.023,20.337,56.75163333333334,0.0,95.08,340.061,246.501154792,5.723089527185218,118.744,4.96842,3.4000000000000004,0.1893625,7,0.0,0.426,23.105999999999998,32.694,63.841,99.166,126.663,169.56699999999995,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.23
14,20120719,2.331,18.339000000000002,72.35890833333333,4.891,94.50299999999999,235.99900000000002,174.703623542,3.863445191862135,60.9206,3.9365300000000003,3.4000000000000004,0.1896,7,4.891,4.891,16.648,34.917,62.084,98.3,126.0,172.452,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.217
15,20120720,0.915,14.998,84.02758958333334,11.6,94.77,107.44,81.8597059583,1.9153280778043424,13.1683,3.3358,3.3875,0.1877,7,16.491,16.491,16.916999999999998,39.597,66.38999999999999,107.70599999999996,136.418,171.54299999999995,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.21899999999999997
16,20120721,1.122,12.962,88.60505625,5.121,95.073,109.411,96.9837552292,1.697625177437346,16.6551,2.07242,3.375,0.1858,7,16.721,21.612,21.612,33.369,54.306,100.51399999999998,138.06,168.58299999999997,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.24100000000000002
17,20120722,1.7380000000000002,12.552999999999999,76.95112708333333,1.496,95.602,225.606,165.764426347,3.372544081470252,53.6066,1.93924,3.3625000000000003,0.1839,7,6.617000000000001,18.217,23.108,23.533999999999995,53.13399999999999,89.51700000000002,132.247,164.358,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.233
18,20120723,1.516,13.484000000000002,71.51263125,0.0,95.51799999999999,344.332,251.99434375,4.994904383591515,104.75,0.045368,3.35,0.182,7,1.496,6.617000000000001,23.108,23.108,46.214,86.949,122.274,158.91899999999995,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.173
19,20120724,1.226,18.162,73.3860625,0.0,94.835,323.741,236.637508333,4.722721821895342,100.041,2.64965,3.3375000000000004,0.1801,7,0.0,1.496,18.217,23.108,34.864999999999995,80.301,116.51700000000001,157.144,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.198
20,20120725,1.143,17.111,88.73897708333334,1.964,94.787,120.999,94.8815709792,1.7643439860684451,27.3754,3.8125400000000003,3.325,0.1782,7,1.964,1.964,8.581,25.072,25.497999999999994,74.971,116.287,151.895,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.173
21,20120726,1.141,21.486,70.38133333333333,0.379,94.921,289.802,225.286388188,4.6810089174041805,89.7075,6.19415,3.3125,0.1763,7,2.343,2.343,3.839,20.56,25.451,58.145,104.35299999999998,152.11399999999998,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.217
22,20120727,1.19,22.97,64.59807916666666,0.0,94.634,318.235,228.892758958,5.057462191396488,92.8936,5.8608199999999995,3.3000000000000003,0.1744,7,0.379,2.343,2.343,8.96,25.451,55.477,91.86,152.11399999999998,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.292
23,20120728,1.389,20.98,70.68271458333334,16.229,94.37100000000001,222.736,164.76948125,3.9638300545072975,52.135,4.62467,3.2875,0.17400000000000002,7,16.229,16.608,18.572,20.067999999999998,41.68,64.786,105.521,168.34299999999996,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.28300000000000003
24,20120729,1.61,17.52,84.34301875,15.244000000000002,94.64399999999999,155.859,123.64713270799999,2.472812670735743,34.6589,3.63935,3.2750000000000004,0.1736,7,31.47300000000001,31.47300000000001,33.816,33.816,52.03300000000001,68.68100000000001,114.11700000000002,178.033,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.314
25,20120730,0.978,17.249000000000002,74.96588333333334,5.083,95.039,194.334,136.8545625,2.9712948641255137,49.4019,2.8835599999999997,3.2625,0.17320000000000002,7,20.327,36.556,36.935,38.899,45.51600000000001,62.433,111.906,181.93400000000003,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.319
26,20120731,1.176,18.13,68.88242083333334,0.8109999999999999,95.052,278.375,200.715619375,4.122882735059322,92.2904,2.20778,3.25,0.1728,7,5.894,21.138,37.367,39.71,41.206,62.81800000000001,95.512,179.266,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.302
27,20120801,1.32,20.167,67.80558958333333,0.077,94.727,322.778,231.855998542,4.871292835762646,113.132,2.4393599999999998,3.2375000000000003,0.1724,8,0.8879999999999999,5.971,37.444,37.823,39.787,62.895,92.921,172.03400000000005,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.275
28,20120802,1.692,21.614,64.69629791666667,5.07,94.715,287.161,206.813773542,4.8016214083743325,80.6967,3.94953,3.225,0.172,8,5.147,5.9579999999999975,26.285000000000004,42.514,44.857,67.965,91.071,167.13099999999997,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.26
29,20120803,0.9590000000000001,18.747,84.460975,9.243,94.92299999999999,202.208,160.867499813,3.2095309079835044,50.1424,7.2477199999999975,3.2125000000000004,0.1716,8,14.312999999999999,14.39,20.284000000000002,51.757,54.1,72.317,88.965,170.61700000000005,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.31
30,20120804,1.188,18.711,88.52077291666666,9.402000000000001,94.69,184.61700000000002,150.05826438100001,2.7576485593600886,56.7585,6.7449,3.2,0.17120000000000002,8,18.645,23.715000000000003,24.603,44.93000000000001,61.538000000000004,70.119,87.03599999999999,177.82500000000005,590,0,16,53,29,0,0,0,0,0,0,1,0,0,0,0.221
