,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000226,3.172,1.724,77.574375,0.0,98.431,60.505,17.59916667,0.5377096548498231,3.36757,-2.40354,1.3,0.0195,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.275
1,20000227,4.815,3.827,63.61,0.0,98.298,142.433,36.58979167,0.30868906188175066,26.0334,-0.811667,1.3,0.0198625,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.335
2,20000228,7.367000000000001,8.809,50.105625,1.9,97.248,130.52700000000002,44.65854167,0.5185695147549919,50.761,5.51063,1.3,0.020225,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.3
3,20000229,4.449,5.4929999999999986,78.14333333,3.1,96.877,61.265,23.009375,0.7630423673542353,0.013065299999999998,1.68688,1.3,0.0205875,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.317
4,20000301,4.686,5.136,73.05229167,3.9,95.531,58.28100000000001,21.175,0.4793622040574772,17.6083,0.356042,1.3,0.02095,3,7.0,8.9,8.9,8.9,8.9,8.9,8.9,8.9,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.28500000000000003
5,20000302,4.289,1.1740000000000002,80.501875,0.3,96.992,87.912,38.61833333,0.5141857040076467,22.5762,-5.43729,1.3,0.0213125,3,4.2,7.3000000000000025,9.2,9.2,9.2,9.2,9.2,9.2,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.294
6,20000303,6.7029999999999985,2.9160000000000004,81.82916667,7.6,95.942,45.13800000000001,23.48770833,0.6801374301475019,23.5935,-1.66542,1.3,0.021675,3,7.899999999999999,11.8,16.799999999999994,16.8,16.8,16.8,16.8,16.8,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.276
7,20000304,4.136,-0.345,85.85458333,4.5,96.587,64.58,33.03125,0.7798574518218073,15.5566,-6.2683300000000015,1.3,0.0220375,3,12.1,12.4,19.4,21.3,21.3,21.3,21.3,21.3,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.301
8,20000305,4.302,-2.261,91.33916667,5.7,97.956,63.477,32.66895833,0.6659641697515579,22.2972,-5.60021,1.3,0.0224,3,10.2,17.799999999999994,22.0,27.0,27.0,27.0,27.0,27.0,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.306
9,20000306,4.0760000000000005,2.468,72.73020833,0.0,98.058,138.564,78.221875,0.5889636410282227,25.0968,-3.82625,1.3,0.023275,3,5.7,10.2,18.1,25.1,27.0,27.0,27.0,27.0,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.32799999999999996
10,20000307,6.107,6.18,70.255625,2.6,97.348,76.188,38.15854167,0.39797099277712383,33.1348,4.33979,1.3,0.02415,3,2.6,8.3,20.4,24.6,29.6,29.6,29.6,29.6,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.28200000000000003
11,20000308,5.95,7.352,87.79208333,5.4,96.925,22.205,13.61625,0.7267784488478208,-6.572589999999999,6.22125,1.3,0.025025,3,8.0,8.0,18.2,26.1,34.99999999999999,35.0,35.0,35.0,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.33
12,20000309,7.114,7.936,90.49791667,29.9,96.56,31.19,20.87145833,0.9128337557540096,7.93755,6.27479,1.3,0.025900000000000003,3,35.3,37.9,43.6,55.7,63.0,64.9,64.9,64.9,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.263
13,20000310,3.876,1.089,77.32854167,0.6,97.635,78.72800000000002,41.27479167,0.8592399512669695,21.3445,-7.8822899999999985,1.3,0.026775,3,30.5,35.9,38.5,48.7,60.5,65.5,65.5,65.5,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.34500000000000003
14,20000311,5.476,4.703,88.54229167,13.2,96.494,57.058,40.015625,1.175747733427614,4.94807,1.19875,1.3,0.02765,3,13.8,43.7,51.7,57.4,69.8,78.7,78.7,78.7,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.34299999999999997
15,20000312,2.201,0.617,82.46229167,0.6,97.846,24.81,12.501875,0.6571418767980092,0.219358,-6.12354,1.3,0.028525,3,13.8,14.4,49.7,52.3,70.1,79.3,79.3,79.3,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.34800000000000003
16,20000317,4.3210000000000015,0.366,90.65166667,13.7,97.346,51.337,24.806875,0.7688811771642783,9.21864,-4.7472900000000005,1.3,0.03555,3,23.5,29.9,43.6,57.39999999999999,93.3,113.7,122.9,122.9,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.315
17,20000318,2.501,0.726,76.11854167,0.0,97.781,188.14,82.52520833,0.5808937509623124,70.5056,-4.7770800000000015,1.3,0.0370875,3,13.7,23.5,43.1,44.2,87.89999999999998,106.1,122.9,122.9,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.32799999999999996
18,20000319,3.78,1.249,70.74166667,0.0,98.154,65.874,24.33,0.5257478888392759,38.1519,-2.81125,1.3,0.038625,3,0.0,13.7,29.9,43.6,57.99999999999999,101.6,121.0,122.9,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.317
19,20000320,3.338,1.984,78.07291667,0.0,98.029,70.571,24.54208333,0.3118982698466723,16.9963,-1.4620799999999998,1.3,0.0401625,3,0.0,0.0,23.5,43.1,57.39999999999999,95.9,117.9,122.9,385,0,16,44,39,0,0,0,0,0,1,0,0,0,0,0.321
