,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20050513,0.945,9.405,70.83854166666667,0.147,102.323,283.156,127.31537604200001,2.214647811004044,35.9461,12.9483,2.6,0.25795,5,0.8490000000000001,6.115,15.608000000000002,20.933000000000003,30.146,38.234,40.003,47.956,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.257
1,20050514,2.276,9.712,69.675,2.412,101.79799999999999,172.222,53.9724014583,1.5845215801600154,7.7498,1.53634,2.6500000000000004,0.2628375,5,2.559,3.261,14.888000000000002,20.083,28.178,40.646,42.415,45.306000000000004,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.249
2,20050515,2.267,11.264000000000001,58.91145833333334,0.619,101.279,306.3640000000001,145.05529218700002,2.50663313441348,46.5931,11.3878,2.7,0.267725,5,3.031,3.1779999999999995,9.146,18.639000000000006,28.795,40.982,43.034,44.956,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.255
3,20050516,4.53,8.721,75.32000000000002,1.314,100.762,130.90200000000002,33.6267129167,1.6272253869040323,-5.5579199999999975,1.1277,2.75,0.27261250000000004,5,1.933,4.345,5.194,16.820999999999998,25.278,42.29600000000001,44.348,46.27,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.23199999999999998
4,20050517,2.602,8.084,68.77666666666666,0.488,101.285,292.7870000000001,128.215765,2.4242900991813703,49.6907,9.06577,2.8000000000000003,0.2775,5,1.8019999999999998,2.4210000000000003,4.98,10.948,22.504,35.293,44.83600000000001,46.758,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.23199999999999998
5,20050518,3.721,7.032,65.96333333333332,1.3359999999999999,101.821,279.394,121.92707020799999,2.3053901372661025,51.4277,4.0886,2.85,0.29333750000000003,5,1.824,3.138,6.169,7.018,21.776999999999997,36.315,44.403,48.094,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.228
6,20050519,3.096,8.95,68.55624999999999,0.002,102.419,251.055,112.54511291700001,2.085418743874276,38.6861,7.72777,2.9000000000000004,0.30917500000000003,5,1.338,1.8259999999999998,3.759,6.318,18.647,31.937,44.405,48.096000000000004,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.22399999999999998
7,20050520,5.529,10.927999999999999,74.24458333333331,0.991,102.021,143.575,59.44395625,1.5456170610747668,11.9039,5.2900800000000014,2.95,0.32501250000000004,5,0.993,2.329,4.131,7.162000000000001,13.277,32.926,45.11300000000001,48.43500000000001,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.215
8,20050521,3.075,12.237,83.85729166666665,8.349,101.319,135.252,41.889418354200004,1.63604508495192,2.2895,9.18417,3.0,0.34085000000000004,5,9.34,9.342,11.165999999999999,13.099,16.36,36.444,53.46200000000001,56.61700000000001,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.26
9,20050522,2.8169999999999997,14.161,83.77104166666666,5.593,101.17299999999999,261.525,133.3793775,2.5265651087021053,38.0237,18.3837,3.0500000000000003,0.3566875,5,13.942,14.933,16.271,18.073,21.251,38.77500000000001,51.56400000000002,61.237000000000016,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.21
10,20050523,2.434,14.005999999999998,83.65416666666667,6.32,101.44200000000001,173.40599999999995,60.070815625,2.0457152001646435,11.2023,14.6881,3.1,0.372525,5,11.913,20.262,21.255,23.079,27.424,43.032,57.57000000000001,67.42700000000002,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.275
11,20050524,3.075,12.435,69.17083333333333,0.015,102.071,289.434,138.760671458,3.1159624858489323,34.9404,11.1427,3.1500000000000004,0.3883625,5,6.335,11.928,21.268,22.605999999999998,25.027,39.915,53.20500000000001,67.44200000000002,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.295
12,20050525,2.984,13.672,78.20187499999999,3.048,102.18299999999999,164.627,72.138813125,2.1593160401176634,7.7416399999999985,9.67618,3.2,0.4042,5,3.063,9.383,23.32500000000001,24.318,27.456,36.602,56.25100000000001,70.49000000000002,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.27699999999999997
13,20050526,3.355,17.148,74.70958333333334,0.0,101.956,303.699,163.11461422899998,3.6630497299776335,31.244,19.8382,3.2125000000000004,0.40995,5,3.048,3.063,14.975999999999999,24.31600000000001,26.142,31.336,51.42,70.49000000000002,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.267
14,20050527,2.08,16.288,64.48270833333333,0.0,101.694,340.1740000000001,165.096778958,3.083501053775372,38.9404,20.8407,3.225,0.4157,5,0.0,3.048,9.383,23.32500000000001,25.654,30.634,48.158,70.49000000000002,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.248
15,20050528,3.6710000000000003,16.399,75.63375,0.0,101.49799999999999,320.827,168.440369167,2.807309574080671,52.0243,16.1212,3.2375000000000003,0.4214500000000001,5,0.0,0.0,3.063,14.976,24.318,30.487,46.095,68.72100000000002,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.23199999999999998
16,20050529,3.74,15.499,67.12041666666666,0.0,101.671,333.352,158.724407083,3.0934015904249974,36.4061,16.8039,3.25,0.4272,5,0.0,0.0,3.048,9.383,24.31600000000001,28.075,42.963,68.72100000000002,10,1,16,54,30,0,0,0,0,0,0,0,0,0,0,0.22
