,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20110105,2.224,25.906,87.069375,0.0,99.319,157.418,90.2551902083,1.99880818638286,34.0053,0.458333,2.0,0.16775,1,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.215
1,20110106,2.218,26.088,90.8,0.0,99.325,144.694,81.19646125,1.967432052276029,23.1482,0.383917,1.95,0.1610875,1,0.0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.25
2,20110107,1.618,26.459,89.81583333333332,0.0,99.348,122.93,69.9434191667,1.3837302402690606,19.1335,0.73526,1.9,0.154425,1,0.0,0.0,0.025,0.025,0.025,0.025,0.025,0.025,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.247
3,20110108,1.719,25.903000000000002,86.74187500000002,0.0,99.277,160.16299999999995,89.0656631915,2.064783687070177,33.4615,1.2123,1.85,0.14776250000000002,1,0.0,0.0,0.025,0.025,0.025,0.025,0.025,0.025,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.22699999999999998
4,20110109,1.406,26.333000000000002,86.24208333333333,0.2,99.331,141.988,78.4547758333,1.7201909431238047,26.0119,-0.11620799999999999,1.8,0.1411,1,0.2,0.2,0.2,0.225,0.225,0.225,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.243
5,20110110,1.776,25.886999999999997,84.0625,0.0,99.446,155.684,84.3074029375,1.9481319362798848,27.0693,-0.6965210000000001,1.825,0.1457875,1,0.2,0.2,0.2,0.225,0.225,0.225,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.244
6,20110111,2.622,25.775,62.60166666666667,0.0,99.458,150.997,72.94014075,1.808608682576144,7.0274300000000025,-3.64742,1.85,0.150475,1,0.0,0.2,0.2,0.2,0.225,0.225,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.247
7,20110112,2.185,25.709,48.19916666666666,0.0,99.479,140.221,66.1648104167,1.6225591128768373,11.9482,-5.6025800000000014,1.875,0.1551625,1,0.0,0.0,0.2,0.2,0.225,0.225,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.207
8,20110113,2.55,24.875,53.80479166666667,0.0,99.36,158.69,77.8154647917,1.8342432635186656,17.3175,-4.83029,1.9,0.15985000000000002,1,0.0,0.0,0.2,0.2,0.225,0.225,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.215
9,20110114,1.733,25.22300000000001,68.851875,0.0,99.302,141.519,71.541666625,1.5556288867860109,22.6158,-2.4157900000000003,1.925,0.1645375,1,0.0,0.0,0.0,0.2,0.2,0.225,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.226
10,20110115,1.921,26.416,80.46499999999997,0.0,99.319,155.379,88.89625500000002,1.8814820785976472,33.6891,-0.16564600000000002,1.95,0.169225,1,0.0,0.0,0.0,0.2,0.2,0.225,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.205
11,20110116,1.9340000000000002,26.427,82.85208333333333,0.0,99.41,138.882,80.7553558333,1.5107897965724102,19.7061,0.607448,1.975,0.1739125,1,0.0,0.0,0.0,0.0,0.2,0.225,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.22699999999999998
12,20110117,1.69,26.545,87.57687500000002,0.0,99.383,151.34799999999996,92.28883125,1.838356594663464,43.5513,1.2995700000000001,2.0,0.1786,1,0.0,0.0,0.0,0.0,0.2,0.225,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.207
13,20110118,1.9,26.141,72.34770833333333,0.0,99.279,179.673,100.490763479,2.1580032070192874,35.3813,-1.5520399999999999,2.0375,0.184375,1,0.0,0.0,0.0,0.0,0.2,0.225,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.236
14,20110119,2.135,26.065,71.514375,0.0,99.18799999999999,178.821,95.4807298333,2.1301402357726524,29.6326,-2.46386,2.075,0.19015,1,0.0,0.0,0.0,0.0,0.0,0.2,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.205
15,20110120,1.797,26.188000000000002,84.0914583333333,0.0,99.117,153.69899999999996,84.0256227083,1.7011440881896729,31.7597,-0.8109270000000001,2.1125000000000003,0.195925,1,0.0,0.0,0.0,0.0,0.0,0.2,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.18600000000000005
16,20110121,1.973,26.29300000000001,86.51666666666668,0.0,99.10600000000001,152.138,89.1020514583,1.672441965741776,31.2146,0.612229,2.15,0.2017,1,0.0,0.0,0.0,0.0,0.0,0.2,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.209
17,20110122,1.798,24.955,89.19833333333334,0.0,99.125,147.502,89.140764375,1.6252047575182262,27.066,1.4632,2.1875,0.207475,1,0.0,0.0,0.0,0.0,0.0,0.2,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.24600000000000002
18,20110123,1.9409999999999998,25.363000000000003,87.796875,0.0,99.104,141.264,83.0980666667,1.5614814782876516,25.4652,1.80055,2.225,0.21325,1,0.0,0.0,0.0,0.0,0.0,0.2,0.225,0.225,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.245
19,20110124,1.868,25.108,90.655,2.2,99.19,103.756,55.4417014583,0.955847251321294,10.5036,1.3261399999999999,2.2625,0.219025,1,2.2,2.2,2.2,2.2,2.2,2.2,2.4000000000000004,2.4250000000000003,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.238
20,20110125,2.354,24.7,90.71729166666668,0.0,99.32700000000001,159.22899999999996,97.2931722917,1.7201713236459646,26.5175,1.36774,2.3000000000000003,0.2248,1,2.2,2.2,2.2,2.2,2.2,2.2,2.4000000000000004,2.4250000000000003,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.266
21,20110126,2.342,24.884,91.19770833333332,33.2,99.32700000000001,155.558,102.862264583,1.5241179594348429,32.6812,-0.7761560000000001,2.35,0.2284625,1,33.2,35.40000000000001,35.40000000000001,35.40000000000001,35.40000000000001,35.40000000000001,35.60000000000001,35.625,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.266
22,20110127,2.148,25.465,90.15,0.0,99.36200000000001,129.83,80.1124260417,1.3565659586253012,18.4352,-1.7485700000000002,2.4000000000000004,0.232125,1,33.2,33.2,35.40000000000001,35.40000000000001,35.40000000000001,35.40000000000001,35.60000000000001,35.625,124,0,11,81,6,0,0,1,0,0,0,0,0,0,0,0.27399999999999997
