,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20130207,2.117,6.3210000000000015,88.60416666666669,3.56,99.719,82.22399999999998,50.1867567917,0.7102407493241009,-35.231,-4.73757,3.8,0.08310000000000001,2,8.702,9.213,11.633,18.005,18.006,28.649,66.42500000000001,117.336,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.106
1,20130208,2.398,5.665,70.64583333333333,0.415,100.244,140.792,80.1248564583,2.17452933583576,-19.7558,-4.62124,3.8,0.08360000000000001,2,3.975,9.117,9.628,18.137999999999998,18.42,25.158,59.535,117.751,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.106
2,20130209,2.352,4.231,62.58333333333334,0.002,100.829,141.5,76.0137770833,1.4010209502190774,3.39123,-5.4485800000000015,3.8,0.08410000000000001,2,0.41700000000000004,3.977,9.63,12.05,18.422,25.160000000000004,47.37000000000001,115.36200000000001,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.106
3,20130210,2.129,3.179,59.75,0.0,101.154,147.438,77.7264366042,1.240710639729267,24.8159,-6.28367,3.8,0.08460000000000001,2,0.002,0.417,9.119,9.63,18.422,25.160000000000004,39.431999999999995,111.927,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.113
4,20130211,4.873,7.138,77.3125,15.584000000000001,100.402,34.271,18.9860514583,0.2692722813358784,-69.7843,-1.92812,3.825,0.084775,2,15.584000000000001,15.586000000000002,19.561,25.214,33.724000000000004,40.744,51.875,127.17999999999998,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.113
5,20130212,1.8,8.419,82.64583333333333,2.374,100.15,139.89600000000002,79.3198666667,1.59182017427678,56.5201,0.333402,3.85,0.08495,2,17.958,17.958000000000006,18.375,27.076999999999998,30.00800000000001,36.38099999999999,47.024,119.85199999999998,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.113
6,20130216,1.7380000000000002,6.938,80.8125,0.0,101.529,145.10399999999996,75.7758977083,1.3268975423611589,51.9607,-2.12697,3.95,0.08565,2,0.0,0.0,2.377,17.961000000000006,21.937999999999995,36.101,43.121,85.118,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.113
7,20130217,1.6980000000000002,5.9170000000000025,86.125,1.2819999999999998,101.494,113.583,59.3953545833,0.8156083489615639,38.486,-2.55806,3.975,0.085825,2,1.2819999999999998,1.2819999999999998,1.2849999999999997,19.243,19.66,31.29300000000001,37.66599999999999,86.08499999999998,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.113
8,20130218,1.6059999999999999,5.922999999999999,84.4375,0.531,101.35600000000001,128.27100000000002,76.97476875,0.9330958489240924,49.8624,-2.34139,4.0,0.08600000000000001,2,1.813,1.8130000000000002,1.813,4.19,19.776,29.404,38.196,79.31099999999998,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.113
9,20130219,1.9709999999999999,5.371,76.08333333333333,0.0,101.37700000000001,161.812,93.2982354167,1.3169407417100911,51.6383,-3.1259099999999997,4.0,0.08736250000000001,2,0.531,1.8130000000000002,1.813,1.8159999999999998,19.774,29.404,38.196,67.14399999999999,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.113
10,20130222,3.5210000000000004,10.831,85.0,17.027,99.935,74.146,45.956316875,0.4593673101547997,-22.5506,2.5848,4.0,0.09145,2,17.151,17.151,17.682000000000006,18.964,18.967,37.342,48.97500000000001,65.99100000000001,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.113
11,20130223,4.365,9.044,88.375,20.247,99.831,16.896,-10.4117529167,0.09291806069197148,-55.4791,0.554713,4.0,0.0928125,2,37.274,37.398,37.398,39.211,39.211,57.17400000000001,66.80199999999999,82.33200000000002,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.113
12,20130224,4.454,7.506,71.10416666666667,1.8119999999999998,100.696,104.354,60.083277,1.1027142827894738,-18.6991,-3.01779,4.0,0.094175,2,22.059,39.086,39.21,39.741,41.023,58.984,68.61399999999999,84.14399999999998,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.113
13,20130225,2.237,4.854,87.625,3.182,101.402,59.5,29.765523541700002,0.1347880347423662,-25.0217,-3.90941,4.0,0.0955375,2,4.994,25.241,42.391999999999996,42.392,44.205,62.166000000000004,71.285,87.32600000000002,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.113
14,20130226,1.723,6.723,81.97916666666667,0.326,101.679,169.708,102.01815645799999,1.3735910587481897,80.3173,-2.21693,4.0,0.0969,2,3.508,5.32,42.593999999999994,42.718,44.53100000000001,46.908,66.46900000000001,87.652,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.104
15,20130227,2.09,6.983,76.08333333333333,0.002,101.965,177.333,104.17070458299999,1.3055967550693353,46.256,-2.5077,4.025,0.09765,2,0.32799999999999996,3.51,25.56900000000001,42.72000000000001,43.25100000000001,44.536,62.911,80.917,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.104
16,20130228,1.844,7.631,79.54166666666667,0.0,102.065,175.229,99.0686666667,1.182171635862094,66.3651,-1.25532,4.05,0.0984,2,0.002,0.328,5.322,42.596000000000004,42.72000000000001,44.533,62.496,80.916,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.104
17,20130301,1.425,8.981,77.8125,1.51,101.40799999999999,60.375,30.5496227083,0.4566411169903626,-11.280999999999999,-0.17943900000000002,4.075,0.09915,3,1.51,1.5119999999999998,5.02,27.079,44.23,46.043,64.00399999999999,82.426,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.104
18,20130302,2.115,11.429,65.58333333333333,2.275,100.958,86.68799999999996,47.0866166667,1.3787345158287738,-23.7512,1.79227,4.1000000000000005,0.0999,3,3.785,3.785,4.113,9.107,46.505,48.31800000000001,66.279,84.70100000000002,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.104
19,20130303,1.775,8.967,76.5625,0.0,101.556,181.125,99.7009145833,1.3785389198526141,77.2403,-0.32506799999999997,4.125,0.10065,3,2.275,3.785,3.787,7.295,46.381,48.31800000000001,50.695,84.419,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.104
20,20130304,1.865,8.648,82.25,0.0,101.85,189.562,108.956887292,1.3852305894826784,70.5224,-1.3187799999999998,4.15,0.1014,3,0.0,2.275,3.785,4.113,29.354,47.036,48.32100000000001,78.329,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.104
21,20130305,2.24,9.729,78.33333333333333,2.0540000000000003,101.802,57.875,25.35183875,0.7593680090089464,-44.3138,-0.530225,4.175,0.10215,3,2.0540000000000003,2.0540000000000003,5.8389999999999995,5.841,11.161,48.55900000000001,50.372,77.96300000000002,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.104
22,20130306,4.971,13.402000000000001,77.9375,16.99,100.694,23.271,7.8638822916699995,0.5092559375754664,-61.2245,3.4582300000000004,4.2,0.1029,3,19.044,19.044,21.319000000000006,22.829,26.338999999999995,65.54899999999999,67.362,94.95299999999999,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11199999999999999
23,20130307,2.533,13.556,94.89583333333331,4.362,100.56200000000001,119.958,86.6338285625,0.4348196495808932,35.9325,4.8137,4.2125,0.103825,3,21.352,23.406,23.406,27.191,27.519000000000002,69.911,71.72399999999998,98.804,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11199999999999999
24,20130308,3.3289999999999997,13.092,94.14583333333331,6.8,100.506,52.25,32.3701268085,0.10129876404104646,-48.5557,3.00103,4.2250000000000005,0.10475,3,11.162,28.151999999999997,30.206,32.480999999999995,33.992999999999995,76.58699999999997,78.52399999999999,100.462,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11199999999999999
25,20130309,2.742,13.725,90.10416666666669,2.171,100.51700000000001,176.354,120.39562895799999,1.2662865947705375,81.4236,2.8085,4.2375,0.105675,3,8.971,13.333,32.376999999999995,32.376999999999995,36.162,61.731,79.41300000000003,99.073,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11199999999999999
26,20130310,3.135,13.187000000000001,89.66666666666669,5.42,100.25399999999999,122.979,80.6327672917,0.8692262451976597,39.3682,2.3091,4.25,0.1066,3,7.590999999999997,14.390999999999998,35.74299999999999,37.797,41.582,46.903999999999996,84.30199999999998,104.07799999999999,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11199999999999999
27,20130311,3.275,13.306,84.85416666666667,8.001,100.06,138.745,90.854073125,1.027955910312806,24.4161,1.5009,4.2625,0.107525,3,13.421,15.592,26.754,45.798,48.073,53.093,92.303,112.077,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11199999999999999
28,20130312,2.083,9.71,91.72916666666669,13.11,99.925,92.396,67.6310285417,0.5690011571718596,8.1142,-1.72596,4.275,0.10845,3,21.111,26.531,35.50199999999999,56.854,58.908,63.021,105.413,125.187,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11199999999999999
29,20130313,1.6440000000000001,8.318999999999999,96.4375,12.206,99.51899999999999,35.583,22.0680916667,0.030338394518592163,-40.3641,-3.18908,4.2875000000000005,0.109375,3,25.316,33.317,40.908,52.07,71.11399999999998,74.90100000000002,117.495,121.809,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.11199999999999999
30,20130314,2.29,8.594,80.375,2.199,98.744,162.667,110.460033125,2.163944135231474,27.8656,-2.94381,4.3,0.1103,3,14.405,27.515,40.936,49.907,73.313,77.09800000000001,102.667,121.634,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.109
31,20130315,1.919,6.921,65.91666666666667,0.139,99.977,115.56200000000001,73.3483863708,1.8111528011327345,11.1341,-4.48618,4.3125,0.1123375,3,2.338,14.544,35.655,43.246,71.398,77.23700000000002,82.559,121.77,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.109
32,20130316,1.675,5.428999999999999,65.14583333333333,0.0,101.585,189.625,115.360201875,1.9614701869192563,100.34299999999999,-5.78964,4.325,0.114375,3,0.139,2.338,27.654,41.075,54.408,75.727,80.747,121.77,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.109
33,20130317,4.075,8.533,75.0625,1.6640000000000001,101.321,72.375,48.9645779167,1.2566617497859556,-64.5313,-2.73869,4.3375,0.1164125,3,1.6640000000000001,1.8030000000000002,16.208,37.319,51.71,75.116,79.229,123.434,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.109
34,20130318,6.3020000000000005,11.95,88.375,8.527000000000001,100.12299999999999,41.5,17.764331875,0.3544853264694417,-76.5271,2.18153,4.3500000000000005,0.11845,3,10.191,10.191,12.529000000000002,37.845,53.437,83.64299999999999,87.42999999999998,131.961,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.109
35,20130319,4.7669999999999995,12.202,76.3125,0.368,100.65,222.542,128.277699583,2.2679341593161526,75.6888,1.25389,4.3625,0.1204875,3,8.895000000000003,10.559000000000001,10.698,25.103,51.63399999999999,84.01100000000002,87.796,131.047,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.109
36,20130320,2.965,9.706,87.83333333333331,9.163,100.535,54.521,30.7459478049,0.3224708915447197,-63.2638,-1.54283,4.375,0.122525,3,9.531,18.058,19.722,22.06,55.376999999999995,91.12,96.959,139.679,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.109
37,20130321,3.196,11.379000000000001,75.08333333333333,2.35,100.954,233.438,150.386819167,2.879378391487466,52.8644,0.109368,4.3875,0.1245625,3,11.513,11.880999999999998,22.07200000000001,22.211,49.726000000000006,76.47999999999998,97.799,142.02899999999997,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.109
38,20130322,1.7519999999999998,9.781,80.375,0.0,101.154,226.875,148.040339792,2.1400509992044108,113.541,-1.82638,4.4,0.12660000000000002,3,2.35,11.513,20.408,22.07200000000001,36.616,72.118,95.524,142.02899999999997,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.10800000000000001
39,20130323,2.485,10.908,88.33333333333331,0.0,101.01,188.0,125.88869583299999,1.134206278133624,65.9457,0.0390212,4.4125000000000005,0.130725,3,0.0,2.35,11.880999999999998,22.07200000000001,24.410000000000004,65.318,95.524,141.90499999999997,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.10800000000000001
40,20130324,2.865,13.845999999999998,72.33333333333333,0.552,100.029,158.688,101.252958167,2.9363431679127685,-6.90895,1.83729,4.425,0.13485,3,0.552,0.552,12.065,20.96,22.763,63.69900000000001,96.07600000000001,125.43,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.10800000000000001
41,20130325,1.942,11.815,87.45833333333331,9.58,99.36200000000001,94.646,67.6503377083,1.0664499890766517,24.1803,1.62929,4.4375,0.13897500000000002,3,10.132,10.132,12.482000000000001,22.013,32.204,67.85900000000001,103.602,114.763,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.10800000000000001
42,20130326,1.465,9.344,91.72916666666669,5.5310000000000015,99.919,49.312,33.4756267292,0.2180162297812198,-24.5312,-2.0284,4.45,0.1431,3,15.110999999999999,15.663,15.663,27.176,37.735,65.389,92.14299999999999,118.482,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.10800000000000001
43,20130327,1.483,10.852,90.27083333333331,1.173,100.427,163.625,104.39784468100001,1.7309501448816988,84.6745,-0.0316068,4.4625,0.147225,3,6.7040000000000015,16.284000000000002,16.836000000000002,19.186000000000003,37.244,53.452,88.95400000000002,116.473,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.10800000000000001
44,20130328,2.1959999999999997,12.065,93.4375,2.841,100.927,68.083,51.7971492917,0.3200910574808644,-4.42877,1.08501,4.4750000000000005,0.15135,3,4.013999999999999,9.545000000000002,19.677,19.677,31.558000000000003,44.087,84.99500000000002,118.988,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.10800000000000001
45,20130330,5.063,14.004000000000001,90.52083333333331,8.592,100.104,112.146,81.912576875,0.6356649395187435,11.3535,2.54944,4.5,0.15960000000000002,3,10.439,13.28,19.984,30.116,32.466,52.18800000000001,87.84300000000002,129.425,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.107
46,20130331,5.388,13.402000000000001,82.14583333333333,7.965,99.979,229.479,98.037246875,1.5941472984651406,31.6415,0.4633640000000001,4.4875,0.1649625,3,16.557000000000002,18.404000000000003,22.41800000000001,37.52900000000001,38.08100000000001,60.15300000000001,87.80700000000002,135.88000000000002,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.107
47,20130401,4.087,12.873,80.70833333333333,10.52,100.256,139.188,64.1039652083,1.6635393190885868,11.7901,-0.0809384,4.4750000000000005,0.170325,4,18.485,27.076999999999998,31.765,38.469,48.601000000000006,69.00900000000001,85.21700000000001,144.12500000000003,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.107
48,20130402,2.283,12.380999999999998,94.64583333333331,15.442,99.679,84.43799999999997,34.643983125,0.698541828770139,-17.2818,0.583659,4.4625,0.1756875,4,25.962,33.927,44.36600000000001,48.38,64.043,75.92399999999998,88.45299999999996,159.567,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.107
49,20130403,1.806,11.892000000000001,85.02083333333333,2.0669999999999997,100.37100000000001,229.333,74.799545625,2.027765335733167,117.12299999999999,-0.48834700000000003,4.45,0.18105,4,17.509,28.029,44.58600000000001,49.274,65.558,77.623,88.321,161.634,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.107
50,20130404,3.7289999999999996,13.067,77.52083333333333,0.687,100.352,128.72899999999998,58.6518008511,1.6159500227621668,-16.956,-0.8456610000000001,4.4375,0.1864125,4,2.7540000000000004,18.195999999999998,36.681,47.12,56.665,69.14699999999999,88.869,160.267,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.107
51,20130405,3.525,13.535,85.22916666666667,4.988,100.16,114.042,77.2962153191,1.0605479861083944,6.42702,1.2107700000000001,4.425,0.191775,4,5.6750000000000025,7.742000000000001,33.704,50.261,56.122,71.78500000000003,93.85700000000001,148.265,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.107
52,20130406,1.7919999999999998,12.71,88.04166666666669,0.14300000000000002,100.679,245.812,155.92635895799998,1.6328032489711128,144.69899999999996,0.591409,4.4125000000000005,0.1971375,4,5.131,5.8180000000000005,23.326999999999998,41.812,55.092,71.92800000000003,92.336,144.046,19,0,32,30,38,0,0,1,0,0,0,0,0,0,0,0.107
