,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20080621,1.531,12.542,70.58645833333334,0.0,79.286,300.593,159.415405,3.839089912669092,39.6918,10.2548,3.2,0.4224500000000001,6,0.0,0.0,7.409000000000002,16.912,19.283,40.06200000000001,57.628,83.47,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.319
1,20080622,1.435,13.054,85.46583333333331,0.0,79.36,285.783,170.277812708,3.9367176366027454,46.7619,11.0163,3.225,0.4244125,6,0.0,0.0,0.802,15.066,18.430999999999997,35.69900000000001,54.501999999999995,83.09899999999998,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.317
2,20080623,1.383,14.01,76.23312499999999,0.0,79.24,295.135,176.247945,4.1877163509609625,37.9354,10.8104,3.25,0.426375,6,0.0,0.0,0.0,7.4090000000000025,17.657,32.798,51.8,80.443,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.27699999999999997
3,20080626,1.274,14.155999999999999,79.12658750000001,0.0,79.078,278.51,158.421616875,3.866587409984198,38.3804,8.73029,3.325,0.4282,6,0.0,0.0,0.0,0.0,7.409000000000002,19.283,40.062,75.362,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.305
4,20080627,1.673,14.100999999999999,52.6176375,0.0,79.042,341.149,187.757489583,5.617585345263982,41.7568,6.73567,3.35,0.4261,6,0.0,0.0,0.0,0.0,0.802,18.431,35.699,71.25099999999998,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.297
5,20080628,1.419,13.244000000000002,67.98855416666667,0.0,79.179,302.663,163.069747917,4.039739064351521,42.3166,7.8819,3.375,0.424,6,0.0,0.0,0.0,0.0,0.0,17.657,32.798,63.347,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.258
6,20080629,1.5730000000000002,12.244000000000002,82.90720625,8.2,79.179,218.521,122.19104083299999,3.1141923300023446,26.8498,4.688280000000002,3.4000000000000004,0.4219,6,8.2,8.2,8.2,8.2,8.2,25.112,36.016,67.527,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.281
7,20080630,1.598,12.857000000000001,68.48585625,0.0,79.133,253.407,142.784284167,3.8315738526826966,25.8776,7.34054,3.4250000000000003,0.4198,6,8.2,8.2,8.2,8.2,8.2,23.266,35.485,66.387,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.299
8,20080701,1.704,11.439,77.88342708333333,1.0,79.036,301.188,184.280394043,4.4458680781285365,49.7072,7.65267,3.45,0.4177,7,1.0,9.2,9.2,9.2,9.2,16.608999999999998,28.483,66.828,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.278
9,20080702,1.6869999999999998,11.512,71.48230625000002,0.0,78.796,317.587,180.856826875,4.476508217342954,45.2454,7.496689999999999,3.475,0.4156,7,1.0,1.0,9.2,9.2,9.2,10.002,27.631,63.70200000000001,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.28500000000000003
10,20080703,0.975,9.884,88.11364583333334,1.0,78.563,116.205,61.4147941667,1.4266261567406973,15.932,1.19833,3.5,0.4135,7,1.0,2.0,10.2,10.2,10.2,10.2,27.857,62.00000000000001,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.289
11,20080704,1.4269999999999998,10.75,71.68065,0.2,78.514,343.282,209.092317917,5.227842058417331,49.495,7.93669,3.5,0.4097,7,1.2,1.2,2.2,10.4,10.4,10.4,27.312,56.63600000000001,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.312
12,20080705,1.565,13.062000000000001,55.01893125,0.0,78.628,285.541,157.726619583,4.344874892542377,34.0757,5.98599,3.5,0.4059,7,0.2,1.2,2.2,10.4,10.4,10.4,25.466,53.165000000000006,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.298
13,20080706,1.244,10.717,80.74306875,11.2,78.388,146.086,91.7968889583,2.620643295620812,14.9421,1.79644,3.5,0.4021,7,11.2,11.4,12.4,13.4,21.6,21.6,29.009,61.66199999999999,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.299
14,20080707,1.262,8.892000000000003,63.82848541666667,2.2,78.193,185.429,97.90711875,3.373475309444096,15.8154,0.400332,3.5,0.3983,7,13.4,13.4,14.599999999999998,15.599999999999998,23.8,23.8,24.602,59.498999999999995,2160,1,13,61,24,0,0,0,0,0,0,0,0,0,0,0.326
