,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20110422,1.64,18.835,51.29166666666666,0.0,100.88799999999999,241.873,143.62399625,4.093174321552425,20.9438,4.64318,2.1625,0.1702875,4,0.0,0.0,0.402,0.603,0.603,5.225999999999999,6.029999999999999,18.692999999999998,2.2,1,31,17,38,0,0,0,0,0,0,0,0,0,0,0.303
1,20110423,1.8980000000000001,18.319000000000006,52.753125,0.0,101.025,251.604,135.270655417,4.186027477823198,9.87732,4.072780000000002,2.2,0.1744,4,0.0,0.0,0.0,0.603,0.603,5.025,5.6279999999999974,18.492,2.2,1,31,17,38,0,0,0,0,0,0,0,0,0,0,0.325
2,20110424,1.415,16.689,67.88656250000001,0.0,101.479,247.91400000000002,138.44167825,4.099356463701533,17.9714,3.18778,2.2375000000000003,0.1781625,4,0.0,0.0,0.0,0.402,0.603,5.025,5.426999999999999,18.291,2.2,1,31,17,38,0,0,0,0,0,0,0,0,0,0,0.321
3,20110425,2.2230000000000003,15.835,59.35291666666666,0.0,101.915,272.66700000000003,147.949096042,4.479133917127676,18.995,1.29528,2.275,0.181925,4,0.0,0.0,0.0,0.0,0.603,5.025,5.225999999999999,18.09,2.2,1,31,17,38,0,0,0,0,0,0,0,0,0,0,0.315
4,20110426,3.262,13.978,64.69354166666666,0.0,102.044,252.283,132.97297291700002,3.3608610132505694,29.7542,0.479677,2.3125,0.1856875,4,0.0,0.0,0.0,0.0,0.603,1.608,5.225999999999999,18.09,2.2,1,31,17,38,0,0,0,0,0,0,0,0,0,0,0.325
5,20110427,4.657,12.259,72.4315625,0.6,101.899,206.454,108.91002270799999,1.7149042789548103,32.4619,-1.07538,2.35,0.18945,4,0.6,0.6,0.6,0.6,1.002,1.203,5.8260000000000005,18.69,2.2,1,31,17,38,0,0,0,0,0,0,0,0,0,0,0.317
6,20110428,2.134,14.283,76.7565625,1.8,101.376,188.938,105.69018020799999,3.0516937926332925,16.1106,2.47383,2.3875,0.1932125,4,2.4,2.4,2.4,2.4,2.4,3.003,7.425,19.686,2.2,1,31,17,38,0,0,0,0,0,0,0,0,0,0,0.255
7,20110429,2.8739999999999997,16.705,64.13229166666666,0.4,101.094,234.886,121.63404593700001,4.961204115177348,4.95947,2.98591,2.4250000000000003,0.196975,4,2.2,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,3.4030000000000005,7.825,19.282,2.2,1,31,17,38,0,0,0,0,0,0,0,0,0,0,0.325
8,20110430,3.991,15.543,45.85197916666666,0.0,100.988,267.70799999999997,131.748777083,7.978018865165766,0.788452,-0.0593438,2.4625000000000004,0.2007375,4,0.4,2.2,2.8000000000000003,2.8000000000000003,2.8000000000000003,3.4030000000000005,7.825,8.83,2.2,1,31,17,38,0,0,0,0,0,0,0,0,0,0,0.325
9,20110501,4.0089999999999995,13.317,41.70645833333333,0.0,101.133,300.434,140.346175,6.273457281829777,17.2561,-2.87073,2.5,0.2045,5,0.0,0.4,2.8000000000000003,2.8000000000000003,2.8000000000000003,3.4030000000000005,4.408,8.83,2.2,1,31,17,38,0,0,0,0,0,0,0,0,0,0,0.316
