,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20050629,4.637,7.1129999999999995,80.8849125,0.0,101.182,309.532,174.925583333,2.0658751563477726,129.935,3.3709800000000003,1.175,0.1147625,6,0.0,0.124,4.94,8.447000000000001,8.636999999999999,16.415000000000006,19.216,19.678,48.0,0,13,45,51,0,0,0,0,0,0,0,0,1,0,0.163
1,20050630,4.7989999999999995,8.558,64.6431125,0.0,101.48100000000001,353.874,179.00204166700001,2.408573292585574,130.28,3.2469,1.2000000000000002,0.11655,6,0.0,0.0,2.002,6.7639999999999985,8.559999999999999,10.463,19.216,19.512,48.0,0,13,45,51,0,0,0,0,0,0,0,0,1,0,0.156
2,20050701,4.885,11.265,67.96584583333333,0.0,101.561,352.82,176.513770833,2.3075415599781497,119.43700000000001,5.41296,1.225,0.1183375,7,0.0,0.0,0.124,4.94,8.482000000000001,10.463,19.144000000000002,19.512,48.0,0,13,45,51,0,0,0,0,0,0,0,0,1,0,0.15
3,20050702,3.929,17.245,62.02769166666667,0.0,101.199,323.654,164.4840625,2.368805984117916,65.6404,7.1272699999999976,1.25,0.120125,7,0.0,0.0,0.0,2.002,8.447000000000001,9.787,17.253999999999998,19.512,48.0,0,13,45,51,0,0,0,0,0,0,0,0,1,0,0.14300000000000002
4,20050704,3.708,24.511999999999997,45.38899583333333,1.5519999999999998,100.289,293.405,151.213,3.74838912755122,26.2187,8.34665,1.3,0.1237,7,1.6849999999999998,1.6849999999999998,1.6849999999999998,1.6849999999999998,6.625,10.322,18.1,21.197,48.0,0,13,45,51,0,0,0,0,0,0,0,0,1,0,0.133
5,20050705,2.2680000000000002,22.283,54.88133958333333,0.71,99.95700000000001,280.9,146.60235416700002,3.183796738502399,38.2186,6.7726,1.3125,0.1266375,7,2.262,2.395,2.395,2.395,4.3969999999999985,10.955,12.858,21.851,48.0,0,13,45,51,0,0,0,0,0,0,0,0,1,0,0.11199999999999999
6,20050706,6.0710000000000015,15.64,73.99299375,0.33,100.118,250.982,142.020979167,2.7124793153139515,57.0327,4.30315,1.3250000000000002,0.129575,7,1.04,2.592,2.725,2.725,2.849,11.207,13.188,22.180999999999997,48.0,0,13,45,51,0,0,0,0,0,0,0,0,1,0,0.11199999999999999
7,20050707,4.093999999999999,5.242999999999999,79.95867083333333,0.643,100.62200000000001,242.582,135.76175,2.0139474599528406,79.9978,1.14877,1.3375,0.1325125,7,0.973,1.683,3.3680000000000003,3.3680000000000003,3.3680000000000003,11.815,13.155,22.768,48.0,0,13,45,51,0,0,0,0,0,0,0,0,1,0,0.152
8,20050708,3.3739999999999997,10.360999999999999,61.21497708333334,0.0,99.721,301.334,158.511375,2.2408973890801502,78.5445,4.84706,1.35,0.13545,7,0.643,0.973,3.235,3.3680000000000003,3.3680000000000003,10.132,13.033,22.656,48.0,0,13,45,51,0,0,0,0,0,0,0,0,1,0,0.136
9,20050709,3.162,6.232,68.96394583333334,3.1210000000000004,99.646,242.546,129.186645833,1.711475898071348,85.0363,3.16729,1.3625,0.1383875,7,3.1210000000000004,3.764,4.803999999999999,6.489,6.489,11.429,15.126,25.705,48.0,0,13,45,51,0,0,0,0,0,0,0,0,1,0,0.14
