,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20110101,5.1739999999999995,6.4170000000000025,75.16779166666667,9.144,99.264,27.149,13.0905416667,0.7437420821079607,-26.517,1.96281,0.2,0.0068000000000000005,1,9.144,9.144,9.144,9.144,9.144,9.144,9.144,9.144,180,0,5,2,6,0,0,0,0,0,0,0,1,0,0,0.424
1,20110102,4.092,-6.182,63.50708333333333,0.0,100.23299999999999,68.164,20.6948125,0.7286196264488899,11.284,-21.1679,0.2,0.006412500000000001,1,9.144,9.144,9.144,9.144,9.144,9.144,9.144,9.144,180,0,5,2,6,0,0,0,0,0,0,0,1,0,0,0.41
2,20110103,3.378,-2.521,64.397875,0.0,100.089,99.361,45.7963541667,1.0182408021609892,-1.56944,-8.11225,0.2,0.006025,1,0.0,9.144,9.144,9.144,9.144,9.144,9.144,9.144,180,0,5,2,6,0,0,0,0,0,0,0,1,0,0,0.4
3,20110104,4.24,-0.773,62.73022916666668,0.0,99.419,77.128,37.632958333299996,0.8756513112165353,-3.73009,-10.7694,0.2,0.0056375,1,0.0,0.0,9.144,9.144,9.144,9.144,9.144,9.144,180,0,5,2,6,0,0,0,0,0,0,0,1,0,0,0.39399999999999996
4,20110105,1.716,-5.843,73.0855625,0.0,99.575,84.898,38.2509375,0.590638500481121,18.3641,-18.6522,0.2,0.00525,1,0.0,0.0,9.144,9.144,9.144,9.144,9.144,9.144,180,0,5,2,6,0,0,0,0,0,0,0,1,0,0,0.39399999999999996
5,20110106,3.239,-3.448,81.9095,0.0,98.40899999999999,27.296999999999997,3.52222916667,0.3690384585144998,-5.12895,-6.9739,0.2,0.0048625000000000005,1,0.0,0.0,0.0,9.144,9.144,9.144,9.144,9.144,180,0,5,2,6,0,0,0,0,0,0,0,1,0,0,0.38799999999999996
6,20110107,2.7489999999999997,-6.827000000000001,77.88808333333333,0.0,97.77600000000001,62.9,14.0991041667,0.36399748970263457,3.3499199999999996,-8.31883,0.2,0.004475,1,0.0,0.0,0.0,9.144,9.144,9.144,9.144,9.144,180,0,5,2,6,0,0,0,0,0,0,0,1,0,0,0.38799999999999996
7,20110108,2.966,-9.382,74.04747916666666,0.0,98.59200000000001,90.557,4.61339583333,0.2883329229698288,6.4900400000000005,-8.84181,0.2,0.0040875,1,0.0,0.0,0.0,0.0,9.144,9.144,9.144,9.144,180,0,5,2,6,0,0,0,0,0,0,0,1,0,0,0.387
8,20110109,2.274,-8.718,71.42891666666667,0.0,100.54,109.113,6.20270833333,0.2629898056211162,9.70054,-12.187000000000001,0.2,0.0037,1,0.0,0.0,0.0,0.0,9.144,9.144,9.144,9.144,180,0,5,2,6,0,0,0,0,0,0,0,1,0,0,0.387
9,20110110,1.829,-8.113999999999999,80.85962500000002,0.0,101.07,75.15899999999998,7.2870416666699995,0.22856628051351785,6.03709,-10.7134,0.2,0.00375,1,0.0,0.0,0.0,0.0,9.144,9.144,9.144,9.144,180,0,5,2,6,0,0,0,0,0,0,0,1,0,0,0.381
