,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20050419,2.905,0.885,66.80916666666667,23.963,68.183,187.97099999999998,126.03523999999999,0.3752009300763155,81.8221,-0.631062,0.4,0.0236,4,23.963,23.963,25.084,25.084,34.582,56.02800000000001,61.81000000000001,124.20400000000002,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.316
1,20050420,2.6839999999999997,-3.529,84.40166666666666,10.86,68.465,157.532,76.9538958333,2.2239986064540966,12.966,-0.57925,0.4,0.025525000000000003,4,34.823,34.823,34.823,35.944,35.944,56.469,68.375,124.432,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.21899999999999997
2,20050421,7.329,-5.933,82.406875,4.367,69.085,238.41299999999998,175.9793125,4.62565539523996,130.135,-0.623583,0.4,0.02745,4,15.227,39.19,39.19,40.311,40.311,60.83600000000001,72.74199999999998,128.30499999999998,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.32899999999999996
3,20050422,2.024,-3.8139999999999996,81.994375,0.161,69.584,182.704,134.4194375,1.2259689623499619,80.8952,-0.659563,0.4,0.029375,4,4.5280000000000005,15.387999999999998,39.351,39.351,40.472,60.997,72.90299999999998,116.29899999999999,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.316
4,20050423,2.28,1.739,53.05983333333334,0.452,69.084,315.627,190.11785416700002,1.2664100721855232,141.858,-0.655938,0.4,0.0313,4,0.613,4.98,39.803000000000004,39.803,40.924,54.113,73.35499999999998,101.11399999999999,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.32
5,20050424,2.0140000000000002,0.741,71.16147916666667,6.178,68.112,160.22299999999996,104.41825,0.2284783739463894,65.0669,-0.604792,0.4,0.0321375,4,6.63,6.791,22.018,45.981,47.102,56.6,78.046,102.446,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.32899999999999996
6,20050425,3.975,-3.5789999999999997,77.95333333333333,2.873,68.268,195.015,122.99464583299999,2.013098095576304,88.9576,-0.587083,0.4,0.032975000000000004,4,9.051,9.503,14.031,48.854,48.854,49.975,70.5,105.131,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.32799999999999996
7,20050426,6.777,-2.872,69.649375,1.788,68.613,286.452,194.3318125,1.1188956480504617,162.491,-0.623021,0.4,0.0338125,4,4.6610000000000005,10.839,11.452,26.679,50.642,51.76300000000001,72.288,106.91899999999998,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.324
8,20050427,3.9019999999999997,-2.8,78.35981249999998,33.330999999999996,68.266,161.317,99.6019583333,1.472966828849502,45.3023,-0.592667,0.4,0.03465,4,35.119,37.99199999999999,44.62199999999999,49.149999999999984,83.97299999999998,85.09399999999998,105.619,138.94899999999998,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.316
9,20050428,6.032,-4.2989999999999995,87.70145833333332,33.51,67.813,166.648,130.902791667,2.8477434064387417,44.977,-0.601708,0.4,0.035487500000000005,4,66.84100000000001,68.62899999999999,77.68,78.29299999999998,117.48299999999999,118.604,131.793,168.22799999999995,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.209
10,20050429,4.4910000000000005,-9.732000000000001,76.84979166666666,12.681,68.327,214.15400000000002,163.687625,4.0019328238904865,108.81700000000001,-0.603583,0.4,0.036325,4,46.191,79.52199999999998,84.18299999999998,90.81299999999999,106.20100000000001,131.285,140.783,168.011,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.266
11,20050430,3.695,-8.583,79.575625,11.764000000000001,68.801,175.467,105.01799999999999,2.6893256152952367,44.7274,-0.600938,0.4,0.0371625,4,24.445,57.955,93.074,102.125,107.105,141.928,143.049,175.48000000000005,3197,0,13,60,25,0,0,0,0,0,1,0,0,0,0,0.306
