,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20040101,3.8789999999999996,-11.059000000000001,58.897,0.0,95.771,0.428,-39.83439375,0.11543941779373094,3.7708,-6.21082,0.0,0.0114,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0,17,33,47,0,0,0,0,0,0,1,0,0,0,0.213
1,20040102,8.193,-7.525,82.2525,0.0,96.73700000000001,0.242,-74.809125,0.00045780258966609904,4.6067,-5.40503,0.0,0.0109375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0,17,33,47,0,0,0,0,0,0,1,0,0,0,0.21600000000000005
2,20040112,1.411,-19.052,86.55770833333334,0.0,96.103,0.465,2.811239375,0.02435060295230004,1.76755,-7.812639999999999,0.0,0.0074375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0,17,33,47,0,0,0,0,0,0,1,0,0,0,0.213
3,20040116,2.9330000000000003,-39.163000000000004,65.49339583333334,0.0,96.059,0.865,-0.143994166667,0.0043289366688687644,0.349699,-12.3477,0.0,0.0070875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0,17,33,47,0,0,0,0,0,0,1,0,0,0,0.213
4,20040117,1.995,-40.29,63.243770833333336,0.0,95.883,0.574,0.23012604166700001,0.004966251693853407,4.2087,-13.6609,0.0,0.006999999999999999,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0,17,33,47,0,0,0,0,0,0,1,0,0,0,0.21
5,20040118,4.508,-38.830999999999996,64.4416875,0.0,96.281,0.613,-1.512690625,0.024948583011288064,10.9322,-14.087,0.0,0.007112500000000002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0,17,33,47,0,0,0,0,0,0,1,0,0,0,0.21
6,20040119,6.261,-35.527,68.83577083333334,0.0,96.756,0.7140000000000001,-1.114495,0.019147092693508096,10.7974,-12.4846,0.0,0.007225,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0,17,33,47,0,0,0,0,0,0,1,0,0,0,0.21
7,20040120,3.343,-37.784,65.88064583333333,0.0,96.277,0.306,7.213589999999999,0.012951951986927387,15.4452,-12.8417,0.0,0.0073375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0,17,33,47,0,0,0,0,0,0,1,0,0,0,0.21
8,20040121,3.06,-39.145,64.29316666666666,0.0,96.01799999999999,0.7979999999999999,0.07769458333330001,0.012368941500157564,14.700999999999999,-14.9945,0.0,0.00745,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0,17,33,47,0,0,0,0,0,0,1,0,0,0,0.21
9,20040122,2.323,-40.047,63.4944375,0.0,96.177,0.915,3.64130520833,0.011485732312423969,13.288,-16.8727,0.0,0.0075625000000000015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0,17,33,47,0,0,0,0,0,0,1,0,0,0,0.21
