,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20000907,2.903,15.651,75.01610417,0.0,96.352,143.393,55.85725,1.51201140905382,-2.20386,0.520313,2.3000000000000003,0.219925,9,0.0,0.204,0.408,0.408,0.612,0.612,0.816,35.661,480,0,5,76,17,0,0,0,0,0,0,1,0,0,0,0.255
1,20000909,3.386,19.424,82.82108333,0.0,96.026,199.418,230.682,1.8638899643365758,15.1603,-5.4716,2.2,0.21115,9,0.0,0.0,0.204,0.408,0.612,0.612,0.612,35.661,480,0,5,76,17,0,0,0,0,0,0,1,0,0,0,0.24
2,20000910,1.628,18.627,72.09610417,1.631,96.025,217.652,149.45833330000005,2.0552108958626576,1.18438,-3.11482,2.15,0.2067625,9,1.631,1.631,1.631,2.039,2.039,2.2430000000000003,2.2430000000000003,37.292,480,0,5,76,17,0,0,0,0,0,0,1,0,0,0,0.259
3,20000911,2.194,17.08,92.9466875,1.02,95.641,49.228,8.2765625,0.6322235505751447,-9.42116,1.00588,2.1,0.202375,9,2.6510000000000002,2.651,2.6510000000000002,2.855,3.0589999999999997,3.2630000000000003,3.2630000000000003,36.478,480,0,5,76,17,0,0,0,0,0,0,1,0,0,0,0.258
4,20000912,2.9360000000000004,13.074000000000002,66.96629167,0.204,96.296,241.889,106.9860833,1.9765641403937904,10.9308,7.1200800000000015,2.0500000000000003,0.1979875,9,1.224,2.855,2.855,2.855,3.2630000000000003,3.4670000000000005,3.4670000000000005,36.682,480,0,5,76,17,0,0,0,0,0,0,1,0,0,0,0.295
5,20000913,2.491,14.562,65.01116667,0.0,96.341,161.27100000000004,48.20802222,1.7793089454264075,5.73796,13.7861,2.0,0.1936,9,0.204,1.224,2.855,2.855,3.2630000000000003,3.4670000000000005,3.4670000000000005,6.731000000000001,480,0,5,76,17,0,0,0,0,0,0,1,0,0,0,0.24600000000000002
6,20000914,2.821,10.481,78.40014583,0.204,96.656,185.398,73.88060417,1.6302608441846893,25.2007,13.8324,1.9625,0.1852,9,0.204,0.408,3.0589999999999997,3.059,3.2630000000000003,3.6710000000000007,3.6710000000000007,6.9350000000000005,480,0,5,76,17,0,0,0,0,0,0,1,0,0,0,0.262
7,20000915,2.642,5.905,77.08554167,0.0,97.135,234.802,124.8036154,1.7201175629101169,43.0561,13.8974,1.925,0.1768,9,0.204,0.204,1.4280000000000002,3.059,3.0589999999999997,3.4670000000000005,3.6710000000000007,6.9350000000000005,480,0,5,76,17,0,0,0,0,0,0,1,0,0,0,0.265
8,20000916,2.483,10.326,71.89847917,0.204,96.731,197.486,89.70510417,1.5015354667577947,27.9673,11.8696,1.8875,0.16840000000000002,9,0.204,0.408,0.612,3.263,3.263,3.6710000000000003,3.875,4.0790000000000015,480,0,5,76,17,0,0,0,0,0,0,1,0,0,0,0.22699999999999998
9,20000917,1.857,13.941,64.09689583,0.0,96.608,239.368,111.1484583,2.199278291450737,24.7278,10.9211,1.85,0.16,9,0.204,0.204,0.408,1.632,3.263,3.6710000000000003,3.875,4.0790000000000015,480,0,5,76,17,0,0,0,0,0,0,1,0,0,0,0.262
