,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20010819,2.546,15.599,70.51633333333331,0.0,94.98299999999999,301.704,125.7275625,3.077117526569516,28.8172,0.254333,4.575,0.278525,8,10.16,15.74,22.967,23.347,23.596999999999998,23.597,29.146,30.587,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.273
1,20010820,1.776,18.567999999999998,50.36010416666666,0.0,95.101,293.508,135.429375,3.199618839434873,35.6929,2.33902,4.5375000000000005,0.27771250000000003,8,0.0,10.16,21.31,23.347,23.346999999999998,23.597,29.146,30.535,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.26
2,20010904,1.643,15.495999999999999,65.03533333333333,0.0,95.346,276.26599999999996,177.575157895,4.221202665161375,31.4553,-0.148563,3.65,0.2196,9,0.0,0.0,0.5,2.78,5.06,5.06,26.37,28.656999999999996,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.235
3,20010905,3.302,17.473,66.19091666666667,0.0,95.32,259.565,115.118979167,4.630851291658961,7.09668,3.5167900000000003,3.575,0.21195,9,0.0,0.0,0.0,2.78,4.81,5.06,20.8,28.656999999999996,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.22699999999999998
4,20010906,3.41,18.729,83.57025,11.69,94.588,202.622,81.2181458333,2.3542228676027914,2.4248,9.546289999999999,3.5,0.2043,9,11.69,11.69,11.69,12.19,14.47,16.75,26.91,40.347,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.243
5,20010907,3.5389999999999997,19.035,92.78322916666666,3.3,93.523,94.042,38.033208333299996,1.0751399743625678,-28.9726,7.31163,3.4000000000000004,0.195075,9,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,17.77,20.05,20.05,43.647,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.242
6,20010916,1.8769999999999998,12.307,82.31222916666667,0.0,95.26299999999999,145.57399999999996,106.45432142899999,1.7915980630997146,22.9304,3.08865,2.575,0.12795,9,0.0,0.0,0.0,0.0,3.3,14.989999999999998,17.77,30.21,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.252
7,20010917,1.288,12.511,81.3012083333333,0.25,95.053,92.49799999999999,44.4759791667,1.1064807755720565,8.96984,1.19252,2.5125,0.126675,9,0.25,0.25,0.25,0.25,0.25,15.239999999999998,18.02,20.3,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.248
8,20010918,1.558,12.269,90.58522916666668,0.25,95.061,65.546,22.1248125,0.5183533257520622,5.22476,0.552687,2.45,0.1254,9,0.5,0.5,0.5,0.5,0.5,15.489999999999998,18.27,20.55,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.253
9,20010919,2.81,11.520999999999999,90.93677083333333,0.0,94.53399999999999,63.63800000000001,16.0019166667,0.6277543229619933,1.73963,-2.64352,2.3875,0.124125,9,0.25,0.5,0.5,0.5,0.5,15.489999999999998,15.989999999999998,20.55,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.268
10,20010920,3.4789999999999996,12.119000000000002,82.0228125,0.0,94.554,208.857,165.73557575799998,2.0291472431974134,46.2432,-0.433625,2.325,0.12285,9,0.0,0.25,0.5,0.5,0.5,15.489999999999998,15.489999999999998,20.55,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.28500000000000003
11,20010924,3.3489999999999998,2.792,78.41583333333334,0.0,95.915,198.023,85.69448780489999,1.4237974578923087,53.5716,-20.338,2.1,0.1088,9,5.83,13.7,13.7,13.95,14.2,14.2,29.19,34.25,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.17400000000000002
12,20010925,3.9739999999999998,5.7010000000000005,64.23658333333334,0.0,95.49700000000001,213.02700000000002,71.1492291667,1.9328392102882848,27.00800000000001,-7.98792,2.0500000000000003,0.10305,9,0.0,5.83,13.7,13.7,14.2,14.2,29.19,34.0,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.162
13,20010926,4.112,9.589,65.05916666666667,0.0,94.939,214.101,80.782125,1.8470081027409293,45.0396,-0.551646,2.0,0.0973,9,0.0,0.0,13.7,13.7,14.2,14.2,17.5,31.97,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.16399999999999998
14,20010927,2.373,6.404,81.21935416666669,0.0,95.399,193.217,74.77025,1.1334994500935225,43.6887,-7.8459,1.95,0.09155,9,0.0,0.0,5.83,13.7,13.95,14.2,14.2,31.97,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.17600000000000002
15,20010928,1.5959999999999999,7.511,80.1511875,0.0,95.854,130.243,63.3039375,0.9657854779592546,34.2333,-3.9995199999999995,1.9,0.0858,9,0.0,0.0,0.0,13.7,13.7,14.2,14.2,31.97,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.168
16,20010929,2.487,9.29,80.14964583333334,0.0,95.93700000000001,190.53,82.02914583329998,1.4324229785785023,40.0945,0.852208,1.85,0.08005000000000001,9,0.0,0.0,0.0,5.83,13.7,14.2,14.2,29.69,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.17400000000000002
17,20011001,2.503,14.196,68.40595833333334,0.0,94.883,190.019,81.3163809524,1.407314796324494,35.7597,3.7074599999999998,1.7625000000000002,0.07085000000000001,10,0.0,0.0,0.0,0.0,13.7,14.2,14.2,29.19,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.265
18,20011002,2.968,13.025,74.11727083333334,23.39,94.286,128.577,26.3842083333,1.0380957914035132,-9.52547,0.976354,1.725,0.0674,10,23.39,23.39,23.39,23.39,29.22,37.34,37.59,52.57999999999999,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.254
19,20011003,3.1260000000000003,8.138,94.7833125,0.0,94.126,53.103,7.1614375,0.2806726295385068,-6.6211,-9.295539999999999,1.6875,0.06395,10,23.39,23.39,23.39,23.39,23.39,37.09,37.59,52.57999999999999,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.27399999999999997
20,20011004,3.5389999999999997,7.412000000000001,65.28552083333334,0.0,94.478,171.613,51.4348125,1.7099026328019833,20.8072,-10.8322,1.65,0.06050000000000001,10,0.0,23.39,23.39,23.39,23.39,37.09,37.59,52.57999999999999,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.28400000000000003
21,20011005,3.696,2.432,70.4865625,0.0,94.67399999999999,125.61,66.5123333333,0.7675535583607289,23.3296,-20.9029,1.6125,0.05705,10,0.0,0.0,23.39,23.39,23.39,37.09,37.59,52.57999999999999,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.272
22,20011011,3.116,9.11,64.84175,0.0,94.68299999999999,160.468,77.9244878049,1.6098005442442458,32.5196,-5.2847300000000015,1.425,0.038525,10,7.62,11.93,14.22,16.25,39.64,39.64,53.34,53.84,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.27699999999999997
23,20011012,2.718,9.02,60.61787500000001,0.0,94.531,151.93200000000004,47.4742708333,1.2110216375820992,29.1422,-3.46673,1.4,0.0358,10,0.0,7.62,14.22,16.25,16.25,39.64,45.47,53.84,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.28500000000000003
24,20011014,3.2319999999999998,5.127000000000002,89.20899999999996,3.3,93.02799999999999,106.757,24.5769166667,0.7553408878298448,7.38209,-10.8604,1.35,0.03035,10,7.62,7.62,15.24,21.84,23.87,47.26000000000001,47.26000000000001,61.46,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.293
25,20011015,3.366,3.95,84.80589583333334,0.25,94.404,90.258,20.3425208333,0.8190597551591691,4.68446,-11.7445,1.3250000000000002,0.027625,10,3.55,7.87,7.87,19.8,24.12,47.51000000000001,47.51000000000001,61.71,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.315
26,20011016,3.227,0.033,90.74375,0.75,95.17,79.35600000000002,9.94814583333,0.2429768428875529,-1.22393,-18.507,1.3,0.0249,10,1.0,4.3,8.620000000000001,16.240000000000002,22.84,48.26000000000001,48.26000000000001,62.46,540,0,5,63,29,0,0,0,0,1,0,0,0,0,0,0.233
