,Time,WS,Ta,RH,Rain,Press,SW_IN,Rn,ET,H,G,LAI,SIF,Month,acc_rain2,acc_rain3,acc_rain5,acc_rain7,acc_rain10,acc_rain15,acc_rain20,acc_rain30,DEM,GRA,CLAY,SAND,SILT,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,SM
0,20020508,3.272,1.979,98.90258333333333,44.2,95.986,37.703,30.292916666700002,2.514758879014849,-35.2731,-3.8550400000000002,2.2625,0.07362500000000001,5,56.05900000000001,59.38,75.781,77.43100000000003,82.46000000000002,93.78600000000004,95.37200000000004,162.30500000000006,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.192
1,20020509,4.203,3.608,78.98995833333333,0.1,94.897,129.805,107.04902083299999,3.806255334847226,12.8514,0.8790209999999999,2.3000000000000003,0.0741,5,44.3,56.159000000000006,73.774,75.881,78.48500000000001,90.49800000000002,95.15000000000003,162.40500000000006,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.17800000000000002
2,20020510,3.187,6.669,47.4073125,0.0,96.72,334.157,260.886145833,2.780290159811845,229.73,7.3662899999999985,2.35,0.076,5,0.1,44.3,59.48,75.881,77.82900000000002,90.49800000000002,95.15000000000003,132.47000000000006,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.179
3,20020511,1.8319999999999999,8.272,63.25447916666667,10.3,97.223,96.08200000000001,60.3517708333,1.6505377755584898,-1.86811,4.88671,2.4000000000000004,0.0779,5,10.3,10.4,66.459,84.074,87.831,100.79800000000002,104.22600000000004,126.86700000000003,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.184
4,20020512,2.01,4.965,88.40647916666668,6.0,96.912,83.885,74.0992083333,1.918792820423024,6.94649,1.3942299999999999,2.45,0.07980000000000001,5,16.3,16.3,60.60000000000001,75.78,92.181,100.49700000000001,110.18600000000002,132.86500000000004,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.173
5,20020513,1.453,6.591,83.42564583333333,0.2,96.573,179.514,122.18,2.3569652867784887,49.1796,5.22725,2.5,0.08170000000000001,5,6.2,16.5,16.6,72.65899999999998,92.381,99.06000000000002,110.38600000000002,132.71300000000005,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.19699999999999998
6,20020514,1.911,7.065,60.10895833333333,0.0,96.65700000000001,320.8040000000001,267.554104167,2.0700531010506587,194.638,7.3241,2.5500000000000003,0.08360000000000001,5,0.2,6.2,16.5,60.8,90.274,94.985,106.99800000000002,128.30100000000004,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.179
7,20020515,3.54,14.152000000000001,59.38047916666667,1.5,95.507,217.17700000000002,155.54141666700002,3.593794208100116,13.6952,17.2988,2.6,0.0855,5,1.5,1.7,18.0,18.1,77.48,95.829,108.49800000000002,129.80100000000004,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.179
8,20020516,2.3280000000000003,5.404,63.15127083333334,0.0,96.434,299.363,251.178833333,1.6122999919604135,239.373,-0.547854,2.6500000000000004,0.0874,5,1.5,1.5,7.7,18.0,74.15899999999998,95.531,108.49800000000002,129.80100000000004,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.17800000000000002
9,20020517,1.819,3.812,58.51045833333333,0.0,97.149,359.656,257.883479167,1.3134889267597902,238.488,-1.6630599999999998,2.7,0.0893,5,0.0,1.5,1.7,18.0,62.3,93.881,102.19700000000002,127.35100000000004,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.18899999999999997
10,20020518,1.4409999999999998,4.271,55.374875,0.0,97.141,327.38,267.138895833,1.4574105532483312,255.183,0.678021,2.7875,0.0928875,5,0.0,0.0,1.5,7.7,18.1,93.881,100.56000000000002,113.47200000000004,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.19399999999999998
11,20020519,1.695,3.09,60.97262500000002,0.0,97.46799999999999,266.001,182.91770833299998,0.5922443131112832,169.088,-3.2569,2.875,0.096475,5,0.0,0.0,1.5,1.7,18.0,91.774,96.485,113.15000000000003,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.19399999999999998
12,20020520,1.719,6.42,46.93,0.0,97.72,365.32199999999995,276.0550625,1.0192293690165335,256.028,3.34065,2.9625000000000004,0.1000625,5,0.0,0.0,0.0,1.5,18.0,77.48,95.829,113.15000000000003,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.19399999999999998
13,20020521,2.174,12.49,32.52410416666667,0.0,97.12200000000001,362.50300000000004,268.1113125,1.880124305441061,204.41299999999998,9.94085,3.0500000000000003,0.10365,5,0.0,0.0,0.0,1.5,7.7,74.15899999999998,95.531,111.92600000000004,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.205
14,20020522,4.172,16.421,48.40054166666667,0.0,95.96700000000001,278.732,202.428375,2.3201785013091576,103.301,17.0208,3.1375,0.1072375,5,0.0,0.0,0.0,0.0,1.7,62.3,93.881,111.88600000000002,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.205
15,20020523,3.98,14.321,61.73816666666666,0.0,95.48100000000001,275.995,193.203645833,2.636341934090529,145.213,12.234000000000002,3.225,0.110825,5,0.0,0.0,0.0,0.0,1.5,18.1,93.881,111.88600000000002,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.212
16,20020524,1.716,5.662000000000001,58.15518750000001,0.0,96.859,328.3,226.7045625,1.3046513271519893,173.787,-1.49519,3.3125,0.1144125,5,0.0,0.0,0.0,0.0,1.5,18.0,91.774,108.49800000000002,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.212
17,20020525,1.817,8.925,64.9915625,0.2,96.24600000000001,229.31400000000002,120.74670833299999,1.9194769828038047,46.1375,2.83735,3.4000000000000004,0.11800000000000001,5,0.2,0.2,0.2,0.2,0.2,18.200000000000006,77.68,108.69800000000002,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.185
18,20020526,2.549,15.05,51.31489583333333,0.2,95.92200000000001,186.57,181.350479167,3.618459935280623,61.727,10.7721,3.4625000000000004,0.1259875,5,0.4,0.4,0.4,0.4,0.4,8.1,74.559,108.898,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.18899999999999997
19,20020527,2.009,17.598,45.98983333333334,0.0,96.414,328.347,263.74347916700003,2.771630070387793,175.19099999999997,15.277999999999999,3.5250000000000004,0.133975,5,0.2,0.4,0.4,0.4,0.4,2.1,62.7,102.59700000000001,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.185
20,20020528,1.412,18.055,64.4396875,0.0,96.301,304.551,154.39841666700002,2.272723876043707,84.1355,14.8977,3.5875000000000004,0.14196250000000002,5,0.0,0.2,0.4,0.4,0.4,1.9,18.5,100.96,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.182
21,20020529,1.439,18.82,72.18025,0.0,95.928,316.20599999999996,257.342645833,3.3416866668301166,128.558,18.5586,3.65,0.14995,5,0.0,0.0,0.4,0.4,0.4,1.9,18.4,96.885,352,0,10,58,30,0,0,0,0,0,1,0,0,0,0,0.18100000000000002
