,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
57,200903,4.068973064,-11.299322499999962,59.67147446,55.03096875,280.3332175925926,0.868050158,-221.0,0.68173641,0.0,0.0,0.0,0.0,0.367766947,4867.897949,13,46,40,1,0,0,0,0,0,0,0,0,0,0,3,38.98895316752317,1375.309701
41,200711,3.466597319,-9.231481900000006,56.14767838,55.37131641,190.6663773148148,0.680922329,-127.25,0.6573157310000001,-4.44e-16,0.0,0.0,0.0,0.34893569399999996,4867.897949,13,46,40,1,0,0,0,0,0,0,0,0,0,0,11,5.848430935262482,1125.9264460000004
20,200511,3.928875685,-15.501135299999989,69.37949371,55.20398828,197.91358796296296,0.248683438,-161.75,0.6573157310000001,-4.44e-16,0.0,0.0,0.0,0.35717839,4867.897949,13,46,40,1,0,0,0,0,0,0,0,0,0,0,11,13.447796962054445,827.3029793
56,200902,4.210857391,-11.19339599999995,45.63375473,54.84798828,219.604375,0.472106725,-176.0,0.649329305,-4.44e-16,0.0,0.0,0.0,0.367426604,4867.897949,13,46,40,1,0,0,0,0,0,0,0,0,0,0,2,8.424196214725955,993.2898541
32,200702,2.899909258,-16.47733149999999,77.90381622,54.77284766,230.60587962962964,0.851301312,-195.0,0.649329305,-4.44e-16,0.0,0.0,0.0,0.356232613,4867.897949,13,46,40,1,0,0,0,0,0,0,0,0,0,0,2,6.0164669207238495,1170.9688119999996
50,200808,2.48468709,4.877832000000012,76.8132782,55.54518359,236.78539351851853,6.0763368610000015,1909.25,1.160269856,0.0,0.0,0.0,0.0,0.411678106,4867.897949,13,46,40,1,0,0,0,0,0,0,0,0,0,0,8,104.97153071002386,555.7417622
40,200710,3.998308659,-0.038305699999966684,51.6646347,55.49094531,228.26824074074074,0.949135423,42.66666667,0.7651239040000001,0.0,0.0,0.0,0.0,0.35493049,4867.897949,13,46,40,1,0,0,0,0,0,0,0,0,0,0,10,32.57186312775949,1201.5825550000004
33,200703,2.915505409,-12.149145499999975,67.11432648,55.04035547,298.6876388888889,0.44636479,-197.0,0.68173641,0.0,0.0,0.0,0.0,0.353861928,4867.897949,13,46,40,1,0,0,0,0,0,0,0,0,0,0,3,11.16677707413118,1915.717522
26,200607,2.823713779,7.157891800000018,64.93003082,55.57021484,292.9253935185185,2.350619793,2422.0,1.146596193,0.0,0.0,0.0,0.0,0.36183190299999995,4867.897949,13,46,40,1,0,0,0,0,0,0,0,0,0,0,7,86.1516231087835,946.2910727
64,200911,4.613668919,-8.128301999999962,45.88301849,55.27522656000001,189.3182407407407,0.7384458779999999,-130.75,0.6573157310000001,-4.44e-16,0.0,0.0,0.0,0.350849897,4867.897949,13,46,40,1,0,0,0,0,0,0,0,0,0,0,11,6.725797582384416,1054.967983
5,200406,2.720659494,2.5883118000000422,80.11864471,55.39848828,296.30657407407404,5.632566452000001,1178.0,0.944346189,-4.44e-16,0.0,0.0,0.0,0.413951457,4867.897949,13,46,40,1,0,0,0,0,0,0,0,0,0,0,6,129.6223824987731,843.0751056
