,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
9,200507,3.2908613680000003,19.10405880000002,63.84576416,85.53932031,255.31152777777768,3.077313662,1841.5,1.546873331,1.5597658159999999,0.993270576,0.005798605,1.5455082303408954,0.257535368,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,7,53.95607075093418,1605.01895
26,201006,3.272946596,17.92431030000006,55.69706345,85.68939062999998,278.4036342592593,1.394713163,1087.25,1.306481361,1.5576498509999999,0.993270576,0.005798605,1.3067216901879917,0.228931665,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,6,105.0578495205558,1537.287994
21,200903,5.218875408,-3.17471919999997,37.24194717,85.75841405999998,209.0678009259259,0.609150767,-100.25,0.851940393,1.553011179,0.993270576,0.005798605,0.8552126232603817,0.25887557899999997,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,3,39.65762208807266,1488.6468960000002
12,200805,5.390350819,10.217126500000065,29.86458778,85.39347656,274.27689814814806,0.6240824460000001,294.3333333,1.054564953,1.5536700490000002,0.993270576,0.005798605,1.0564774572102047,0.203777999,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,5,47.05072322517045,1924.521299
5,200502,4.246049404,-16.19821780000001,67.59766388,86.08671094,147.23969907407405,0.586071789,-129.0,0.784191966,1.5530112980000002,0.993270576,0.005798605,0.7879201048410316,0.291425377,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,2,13.899760860608922,138.57418710000002
11,200804,4.73819828,5.931237800000019,46.00698471,85.60275,218.55118055555562,1.676843047,48.75,0.885975063,1.552975059,0.993270576,0.005798605,0.889018050089639,0.297882557,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,4,31.030211819893175,1647.475208
25,200907,3.419265032,19.253900100000067,54.79335022,85.41444530999998,243.9581944444444,2.555983543,1468.75,1.546873331,1.5597658159999999,0.993270576,0.005798605,1.5455082303408954,0.23368567199999998,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,7,43.23066035735715,2185.208062
22,200904,4.498486042,5.5377441000000545,44.85033417,85.78507031,225.30821759259254,1.61856246,86.66666667,0.885975063,1.552975059,0.993270576,0.005798605,0.889018050089639,0.29225456699999997,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,4,37.590818741294434,1657.197992
6,200503,5.134509563,-5.144659399999966,39.47940063,85.99014844000001,216.42997685185185,0.12735147800000002,-107.0,0.851940393,1.553011179,0.993270576,0.005798605,0.8552126232603817,0.297366738,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,3,13.510468775346055,490.2439635
13,200806,3.433860302,15.627832000000012,65.92594147,85.46103905999998,242.0815046296296,4.859894276,911.75,1.306481361,1.5576498509999999,0.993270576,0.005798605,1.3067216901879917,0.3043679,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,6,68.96579024291297,1709.909293
20,200902,4.602151871,-7.8669799999999555,40.89896774,85.74414844,153.73956018518518,0.223382428,-59.5,0.784191966,1.5530112980000002,0.993270576,0.005798605,0.7879201048410316,0.252416015,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,2,21.678667660622697,151.8366186
4,200412,4.364963531,-11.335180699999967,69.57774353,86.26585156,87.54534722222222,0.229029641,11.0,0.78392452,1.553001165,0.993270576,0.005798605,0.7876543998412984,0.291888714,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,12,13.71088226502708,-69.38533535
27,201007,3.42205143,21.37102660000005,54.6375885,85.57691406,239.4058796296296,2.712532759,1397.25,1.546873331,1.5597658159999999,0.993270576,0.005798605,1.5455082303408954,0.21568822899999998,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,7,92.75730493182819,1316.2347619999996
0,200404,4.717712402,5.963800000000049,36.85668564,85.65832813,243.4101388888889,1.418555021,84.75,0.885975063,1.552975059,0.993270576,0.005798605,0.889018050089639,0.297426552,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,4,19.30194915019616,1561.71465
