,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
33,200701,2.018571377,-16.3910889,76.39566803,69.15564063,146.01415509259257,0.363164544,-73.0,0.64060986,0.0,0.98405385,0.0030824159999999997,0.6303945990809611,0.373555154,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,1,20.371865949585075,-30.70971073
6,200408,1.787556171,10.077935800000033,81.47473145,69.2984375,217.17875,5.62600708,4012.25,1.991484046,0.0,0.98405385,0.0030824159999999997,1.9597275426798773,0.394952834,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,8,83.69424903463305,517.2274433
52,200909,1.818128228,7.363732900000002,82.51942444,69.46127344,170.81633101851853,4.16960001,2171.5,1.331156969,0.0,0.98405385,0.0030824159999999997,1.3099301402987806,0.40676400100000004,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,9,49.623142122910785,657.9519342
49,200906,2.046605349,8.925531000000035,65.55919647,69.16653125,262.97344907407404,4.4394922260000005,2739.0,1.499726534,-4.44e-16,0.98405385,0.0030824159999999997,1.4758116697298558,0.377487719,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,6,51.59084664458832,485.3771879
12,200504,1.815818667,-2.3859313999999467,57.43466949,69.24870313,293.30729166666663,0.547476113,-35.33333333,0.749508739,0.0,0.98405385,0.0030824159999999997,0.7375569602215952,0.384053856,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,4,65.95993322970874,236.3067424
25,200605,1.857704163,2.117059300000051,66.52212524,69.3215,305.4963888888889,2.717427254,473.25,0.958615065,4.44e-16,0.98405385,0.0030824159999999997,0.9433288453812504,0.39725852,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,5,98.6079442844953,885.6249723
11,200502,2.123942614,-12.823400899999967,78.50765991,68.55339063,189.75474537037042,0.640740037,-137.5,0.65060401,-4.44e-16,0.98405385,0.0030824159999999997,0.6402293808659385,0.370347053,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,2,18.837030064705747,25.91490947
18,200510,1.77587688,-3.917913800000008,83.66589355,69.62980469,183.4149305555556,1.990658283,266.6666667,0.856463552,0.0,0.98405385,0.0030824159999999997,0.8428062557302752,0.391483784,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,10,40.610061469203906,339.271508
0,200401,1.85903573,-16.58606569999995,83.07422638,68.74383594000001,142.42575231481482,0.371909767,-146.0,0.64060986,0.0,0.98405385,0.0030824159999999997,0.6303945990809611,0.37368324399999997,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,1,9.074703523845908,-58.87375509
20,200512,1.831099391,-16.835058599999968,78.34925079,69.12448438,130.7085532407407,0.137386575,-39.25,0.650302768,0.0,0.98405385,0.0030824159999999997,0.6399329425160568,0.358606786,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,12,20.488770832587075,366.6306056
55,200912,2.43637538,-13.624365199999945,65.6022644,68.86295313,128.46534722222222,0.248191431,-50.75,0.650302768,0.0,0.98405385,0.0030824159999999997,0.6399329425160568,0.37558493,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,12,14.42346144020818,8.482136782000001
5,200407,1.906170845,10.698022500000038,69.69898987,69.23416406,266.47,3.748724699,3939.0,2.120493889,0.0,0.98405385,0.0030824159999999997,2.0866801753719217,0.362533569,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,7,136.46565882881941,840.5445597999999
35,200703,1.969584942,-7.922155799999984,74.96595001,68.82003125,241.65935185185185,0.978232801,-144.75,0.716212332,0.0,0.98405385,0.0030824159999999997,0.7047915027220782,0.38246160700000004,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,3,30.760367113142728,13.46570956
41,200710,1.737049341,-3.225561500000026,82.90704346,69.53632031,164.4187384259259,2.475327492,127.6666667,0.856463552,0.0,0.98405385,0.0030824159999999997,0.8428062557302752,0.395243436,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,10,49.68317901035607,564.0286308999998
28,200608,1.748875141,11.80379640000001,76.47531891,69.36785155999999,218.7122222222221,4.607296467,4376.5,1.991484046,0.0,0.98405385,0.0030824159999999997,1.9597275426798773,0.38206359700000003,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,8,102.48109300695499,641.0740377000002
37,200705,2.19096756,6.162408400000004,57.8888092,69.30171094,290.0595833333333,3.4567880630000003,775.0,0.958615065,4.44e-16,0.98405385,0.0030824159999999997,0.9433288453812504,0.37662211100000004,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,5,169.0392046064475,1076.122358
42,200711,1.902860761,-9.516272000000015,69.42053223,69.43713281,159.67989583333332,0.140058309,-66.25,0.7248405809999999,-4.44e-16,0.98405385,0.0030824159999999997,0.7132821643692868,0.38194716,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,11,27.324961014192372,661.6963866
38,200706,2.01575017,8.60851439999999,68.0253067,69.18624219,269.72106481481484,4.445825577,3326.5,1.499726534,-4.44e-16,0.98405385,0.0030824159999999997,1.4758116697298558,0.389774501,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,6,118.71977044909498,794.5407248
51,200908,1.84615159,9.748193399999991,74.09499359,69.41871875,237.09708333333333,5.885513783,4673.25,1.991484046,0.0,0.98405385,0.0030824159999999997,1.9597275426798773,0.401578605,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,8,54.8902928081929,576.0920545
43,200712,2.045099497,-12.219366499999973,63.59196854,68.93642969000001,130.72398148148147,0.145502046,-39.5,0.650302768,0.0,0.98405385,0.0030824159999999997,0.6399329425160568,0.375315964,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,12,19.0479580544444,289.8437108
47,200904,2.085942268,1.0806213000000184,56.47394562,69.08169531,270.61134259259256,1.463826537,47.0,0.749508739,0.0,0.98405385,0.0030824159999999997,0.7375569602215952,0.36835286,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,4,71.69412341861471,445.4004322
40,200709,1.844552159,6.149560500000009,74.66769409,69.41746875,206.20766203703704,3.16920042,1684.0,1.331156969,0.0,0.98405385,0.0030824159999999997,1.3099301402987806,0.392666787,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,9,75.08207635894111,539.9456022999998
17,200509,1.717609763,6.6798950000000445,80.17671967,69.56760938,198.0104398148148,5.792757034,1933.0,1.331156969,0.0,0.98405385,0.0030824159999999997,1.3099301402987806,0.406765819,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,9,68.64814145325656,527.4707436000001
7,200409,1.858465433,4.24715580000003,80.79134369,69.5574375,200.2591898148148,4.902612686,1696.75,1.331156969,0.0,0.98405385,0.0030824159999999997,1.3099301402987806,0.41077181700000004,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,9,58.44394864658484,400.3818495
53,200910,2.03233242,-0.757727100000011,60.38467407,69.51109375,187.80297453703704,1.468137264,242.6666667,0.856463552,0.0,0.98405385,0.0030824159999999997,0.8428062557302752,0.387024939,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,10,34.2738652557733,730.825336
26,200606,1.961728573,8.719750999999974,67.41858673,69.26338281,265.8125462962963,3.486121655,2724.5,1.499726534,-4.44e-16,0.98405385,0.0030824159999999997,1.4758116697298558,0.380719006,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,6,99.8040863490958,934.193828
32,200612,1.966771126,-15.028234899999974,78.18373871,69.1885625,128.32694444444445,0.24329409,-105.5,0.650302768,0.0,0.98405385,0.0030824159999999997,0.6399329425160568,0.370745331,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,12,14.383886138163106,262.7565773
19,200511,1.812011838,-13.571569800000017,85.03979492,69.28580469,152.3503935185185,0.572726786,-58.75,0.7248405809999999,-4.44e-16,0.98405385,0.0030824159999999997,0.7132821643692868,0.369778723,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,11,25.341409670752203,477.403725
21,200601,1.962240219,-12.694311500000026,76.19111633,68.70842187999999,134.48878472222222,0.31994667600000004,-37.75,0.64060986,0.0,0.98405385,0.0030824159999999997,0.6303945990809611,0.36920005100000003,3280.0307620000012,11,47,41,1,0,0,0,0,0,0,0,0,0,0,1,12.794520250970187,113.0550312
