,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
26,200605,1.212704062,22.34362180000005,81.45280457,90.98105469,207.08233796296287,7.786680698,3539.0,-4.44e-16,4.961321831,0.0,1.0,4.961321831,0.452106774,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,5,59.717353009104826,549.1612611
44,200809,0.989330471,22.594110100000023,89.21340942,90.91282031,184.8913773148148,11.22911549,4825.5,0.0,5.448252677999999,0.0,1.0,5.448252677999999,0.456172884,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,9,78.0187856920369,411.3310767
32,200705,1.242794752,22.37688600000001,82.29899597,90.90330469,204.72460648148143,11.31353474,3726.25,-4.44e-16,4.961321831,0.0,1.0,4.961321831,0.45680633200000004,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,5,62.82269867541557,393.9310222
12,200406,1.337150335,23.299066200000034,84.13820648,90.74821094,203.52990740740745,5.964775562000001,5207.75,4.44e-16,4.255640507,0.0,1.0,4.255640507,0.47224319,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,6,75.13583923799386,295.50643
45,200810,1.049828529,21.320123300000034,87.86307526,91.352875,168.44548611111108,4.095350742,4391.0,0.0,5.791053295,0.0,1.0,5.791053295,0.45720869299999994,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,10,64.1967743817261,131.1042331
51,200907,1.191627145,23.032403600000066,91.12513733,90.5463125,159.90358796296294,17.53059196,5592.0,4.44e-16,4.159999847,0.0,1.0,4.159999847,0.484482765,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,7,61.91089599307513,140.91756750000005
50,200906,1.289268494,23.254815699999995,88.26390839,90.56609375,180.03885416666665,10.28214741,6189.75,4.44e-16,4.255640507,0.0,1.0,4.255640507,0.478684723,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,6,66.41528039988424,212.4362372
28,200608,0.8385680320000001,22.637414600000053,91.23495483,90.68441406,166.1026273148148,14.1028614,5334.25,0.0,4.627776623,0.0,1.0,4.627776623,0.48116865799999997,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,8,53.70509139009214,336.6805805
6,200307,1.19743979,23.657617200000004,86.5993042,90.78816406,206.7154398148148,6.985033989,5634.25,4.44e-16,4.159999847,0.0,1.0,4.159999847,0.472706288,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,7,74.58583108219146,380.7047282
20,200502,1.589212894,20.026696800000078,63.9318924,91.19426563,226.4376388888889,0.524316907,2296.0,4.44e-16,5.637322426,0.0,1.0,5.637322426,0.32952871899999997,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,2,52.066229717067614,183.7438112
0,200301,1.1513684990000002,14.434655800000026,85.75063324,91.60392969,129.60078703703704,2.462119102,2444.0,4.44e-16,5.441009045,0.0,1.0,5.441009045,0.423736364,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,1,31.96131008750868,270.73801360000004
38,200803,1.165413618,18.99413450000003,85.19147491,91.18525781,208.9016898148148,2.313532829,2492.25,4.44e-16,5.571010113,0.0,1.0,5.571010113,0.432891101,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,3,57.05209774676757,266.1081222
58,201011,1.175529122,17.87856450000004,79.11501312,91.46689844,171.72710648148148,0.668814182,3796.0,0.0,5.910403252,0.0,1.0,5.910403252,0.370854288,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,11,41.567072447363394,320.2948809
11,200405,1.125874996,21.87752690000002,90.44519043,90.85174219,173.33355324074074,13.67052841,4070.333333,-4.44e-16,4.961321831,0.0,1.0,4.961321831,0.474248677,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,5,58.833890827695406,382.1392777
5,200306,1.287403703,23.172479199999998,87.95721436,90.66132813,181.60726851851848,11.83586407,4042.5,4.44e-16,4.255640507,0.0,1.0,4.255640507,0.47745797,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,6,71.13774302122867,250.2700692
54,201002,1.619205356,19.1949707,59.44532013,91.17721875,214.84569444444446,1.216713786,2317.25,4.44e-16,5.637322426,0.0,1.0,5.637322426,0.339752376,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,2,48.270686544365795,24.82380838
18,200412,1.208854914,14.806756600000027,74.74763489,91.58317969,176.8021875,0.088067651,2845.75,-4.44e-16,5.63502121,0.0,1.0,5.63502121,0.344969898,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,12,20.38535560268551,160.2359172
40,200805,1.214644074,22.49825440000001,84.64459229,90.73160938,206.5734953703704,10.91923714,5297.333333,-4.44e-16,4.961321831,0.0,1.0,4.961321831,0.468799353,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,5,74.7461946803768,436.6018124
37,200802,1.256013036,12.086236600000065,89.93595123,91.50738281,109.17685185185185,2.384586334,2098.75,4.44e-16,5.636877537,0.0,1.0,5.636877537,0.456674725,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,2,48.47075890921976,61.28008398
41,200806,1.057970285,22.159295700000033,93.56183624,90.64980469,151.36761574074075,16.44981956,5549.75,4.44e-16,4.255640507,0.0,1.0,4.255640507,0.47796425200000003,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,6,71.57192588917776,170.3821979
25,200604,1.509647965,22.708245800000054,74.97805023,90.96578125,224.3819907407407,5.290122032,2825.666667,0.0,5.708865642999999,0.0,1.0,5.708865642999999,0.42149213,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,4,56.81743150185481,520.2084781000002
46,200811,1.190432787,16.715020800000048,81.29386139,91.57177344,167.94586805555554,3.227756262,3925.0,0.0,5.910403252,0.0,1.0,5.910403252,0.408420354,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,11,52.649239774766556,306.18116160000005
33,200706,1.16369915,23.750909399999948,88.55768585,90.6458125,197.4251851851852,12.37869072,4546.25,4.44e-16,4.255640507,0.0,1.0,4.255640507,0.472184271,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,6,71.66634449056328,240.22069930000004
43,200808,0.992980421,22.549035600000025,91.74917603,90.69991406,167.0770949074074,13.64601612,5233.0,0.0,4.627776623,0.0,1.0,4.627776623,0.47535753299999994,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,8,58.796229808586425,87.25705502
17,200411,1.105684996,18.18596800000006,82.23149872,91.61747656,159.93249999999995,1.758434534,3175.0,0.0,5.910403252,0.0,1.0,5.910403252,0.38661220700000004,895.4638672,28,40,30,0,0,0,1,0,0,0,0,0,0,0,11,39.00429937947797,238.0853996
