,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200403,3.238713026,7.437829600000043,48.1661911,98.25499219,190.9959375,0.85702008,119.75,1.254047871,2.190690756,0.8360673190000001,0.163932681,1.4075942502776249,0.268083513,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,3,39.44924818901232,215.4225506
28,200512,2.652598381,-2.715093999999965,45.42950439,99.16064063,108.22008101851853,0.233553782,-47.0,1.148949385,2.182573318,0.8360673190000001,0.163932681,1.3183941274824549,0.23792848,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,12,6.3875737816398654,291.7214308
51,200903,3.331404448,6.300500499999997,47.04426193,98.2765,197.6748611111111,1.168312073,55.5,1.25376904,2.1905002590000002,0.8360673190000001,0.163932681,1.4073299001070678,0.234654382,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,3,65.36177310616118,75.39464963
18,200501,2.261488914,-2.8526061999999683,43.60116196,98.90072656,129.9966550925926,0.060068782,-82.75,1.101224065,2.178385973,0.8360673190000001,0.163932681,1.2778061044495157,0.313643217,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,1,6.817510566081919,601.1924887
45,200803,2.910565615,7.500054900000008,43.33524323,98.20827344,213.69766203703705,0.531971812,62.75,1.254047871,2.190690756,0.8360673190000001,0.163932681,1.4075942502776249,0.224671751,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,3,60.906125320903094,285.3555244
12,200404,3.384040833,14.558557100000089,49.63875961,97.69158594,244.24909722222213,1.153164864,384.5,1.418843508,2.1985926630000003,0.8360673190000001,0.163932681,1.5466698774866348,0.225569099,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,4,86.2281668102483,-382.8392459
5,200307,2.088701487,24.011926300000034,78.58633423,96.974,190.6405208333333,6.17382431,2839.75,2.084712982,2.23812604,0.8360673190000001,0.163932681,2.109862395898349,0.34097150000000004,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,7,69.62427954963617,676.9138661000002
52,200904,2.935644865,13.909570300000038,47.81708908,97.88366406,246.22444444444443,1.626538515,376.6666667,1.418843508,2.1985926630000003,0.8360673190000001,0.163932681,1.5466698774866348,0.23982594899999998,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,4,124.27224028249536,-561.592794
59,201006,2.250970125,23.40221560000009,63.85779572,97.28163281,258.08416666666665,2.8586092,1068.0,1.762923241,2.220319986,0.8360673190000001,0.163932681,1.8379055156885242,0.23779180600000002,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,6,78.23346553331338,1151.696003
33,200605,3.14917469,19.414392100000047,54.88194275,97.53907031,254.20756944444443,1.849977612,478.0,1.626969576,2.210951328,0.8360673190000001,0.163932681,1.7227032702604377,0.20492115600000002,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,5,131.14865998999673,-650.2240400000002
25,200509,2.1911013130000003,19.822930900000017,66.20419312,98.0370625,172.82291666666663,5.744952679,1047.75,1.722286463,2.218167782,0.8360673190000001,0.163932681,1.8035776170814863,0.28462499399999996,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,9,62.314125883689,690.2649335
6,200308,1.859226108,23.32671510000005,77.28081512,97.33907813,176.4082986111111,7.4234671589999985,3087.25,2.122156382,2.241802454,0.8360673190000001,0.163932681,2.141770283354079,0.35033828,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,8,83.39277059215061,572.2309239
21,200504,3.759848833,15.016381800000033,44.45383072,97.65953125,250.31805555555562,1.711118102,280.3333333,1.418843508,2.1985926630000003,0.8360673190000001,0.163932681,1.5466698774866348,0.234939173,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,4,99.70342022436243,-615.7534657000001
0,200301,2.340718508,-3.1084351000000083,53.55965042,98.92134375,123.31525462962965,0.441207826,-85.5,1.101224065,2.178385973,0.8360673190000001,0.163932681,1.2778061044495157,0.251325637,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,1,10.000054402937614,23.84854751
20,200503,3.049863815,4.252801500000031,46.67824554,98.47935938,204.87916666666663,0.175437555,20.75,1.25376904,2.1905002590000002,0.8360673190000001,0.163932681,1.4073299001070678,0.288724154,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,3,34.00521428013086,667.8131599
55,200907,2.251262903,24.731683300000054,72.72525024,96.88696094,225.08972222222215,7.573227882,1572.25,2.084712982,2.23812604,0.8360673190000001,0.163932681,2.109862395898349,0.320429355,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,7,96.94723803164229,567.3256646000002
56,201001,2.518049717,-2.857977299999959,47.62595367,98.90760156,123.12229166666664,0.221170112,-70.25,1.101224065,2.178385973,0.8360673190000001,0.163932681,1.2778061044495157,0.246143237,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,1,7.476962466426108,356.4723731
32,200604,3.446151257,14.080346700000007,50.81451035,97.49305469,249.79027777777776,0.724268019,287.0,1.418843508,2.1985926630000003,0.8360673190000001,0.163932681,1.5466698774866348,0.18441712899999999,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,4,104.96301571808479,257.9729842
41,200709,1.783827066,20.10671390000005,70.4500885,97.84225781,173.7396875,2.164870501,1057.75,1.722286463,2.218167782,0.8360673190000001,0.163932681,1.8035776170814863,0.303678483,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,9,75.40025047861502,-126.6072133
38,200705,3.40350461,20.808648699999992,47.92232513,97.14002344,265.15694444444443,1.326643348,360.25,1.626969576,2.210951328,0.8360673190000001,0.163932681,1.7227032702604377,0.191377297,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,5,131.0189160133653,-1220.985545
42,200712,2.088035583,0.8242432000000122,57.60680389,98.79449219,100.65135416666666,0.493753999,-9.0,1.148949385,2.182573318,0.8360673190000001,0.163932681,1.3183941274824549,0.274872273,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,12,10.438703560844647,146.8546666
26,200510,2.273452282,13.047418200000038,56.5211525,98.61639844,165.01252314814815,0.724355698,293.6666667,1.342168331,2.192961454,0.8360673190000001,0.163932681,1.4816411286297528,0.30825594100000003,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,10,45.23276957623308,697.3427138999997
47,200805,3.231771469,19.42250980000005,56.87055206,97.20704688,264.45745370370366,2.943594933,736.6666667000003,1.626969576,2.210951328,0.8360673190000001,0.163932681,1.7227032702604377,0.271653831,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,5,135.8088603369383,-1449.497888
46,200804,3.475816488,13.852655000000027,50.75557327,97.73488281,233.9875,2.397883177,481.75,1.418843508,2.1985926630000003,0.8360673190000001,0.163932681,1.5466698774866348,0.246600166,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,4,101.81240914532131,-743.5093256
44,200802,2.463088989,-0.9153808999999457,39.46567917,99.0004375,168.55747685185185,0.254022866,-96.25,1.160864353,2.18360734,0.8360673190000001,0.163932681,1.3285253528328582,0.27782797800000003,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,2,15.113892106185588,573.1310447000002
17,200409,2.16861248,19.32616580000007,64.25856018,97.97454688,196.67516203703704,3.757874489,828.25,1.722286463,2.218167782,0.8360673190000001,0.163932681,1.8035776170814863,0.33987432700000003,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,9,59.99186967332075,569.0103249
7,200309,2.235151052,19.939386000000013,72.95873259999998,97.85760938,160.31131944444442,3.4301750660000003,1084.75,1.722286463,2.218167782,0.8360673190000001,0.163932681,1.8035776170814863,0.33886858799999997,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,9,62.88715115998549,467.98536500000006
57,201002,2.875132084,0.5356079000000022,61.54246902,98.51066406,131.51305555555552,1.364532232,-52.75,1.159886837,2.18356967,0.8360673190000001,0.163932681,1.3277019083073651,0.264465541,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,2,10.729995374634557,339.643411
40,200707,2.128041267,25.029290800000076,74.25672913,96.83014063,231.45236111111112,3.004902363,2060.25,2.084712982,2.23812604,0.8360673190000001,0.163932681,2.109862395898349,0.291778207,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,7,79.73138219336181,-783.1067249
37,200611,2.753196955,8.002740500000018,57.17025375,98.45613281,116.66403935185184,0.5681162479999999,107.0,1.178105712,2.18444705,0.8360673190000001,0.163932681,1.3430779455394672,0.163467541,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,11,32.226716402008684,-329.05539639999995
35,200607,2.2260825630000003,25.857171600000008,74.4309082,96.89410938,217.78407407407408,4.143042564,2762.0,2.084712982,2.23812604,0.8360673190000001,0.163932681,2.109862395898349,0.264220774,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,7,77.92324191669925,-449.142892
43,200801,2.318033934,-3.2946228000000133,52.82920456,99.2666875,110.99346064814812,0.29706198,-53.25,1.101224065,2.178385973,0.8360673190000001,0.163932681,1.2778061044495157,0.258489013,113.1495895,18,33,48,0,0,0,0,0,0,0,0,0,0,0,1,15.57232971699707,151.20521159999996
19,200502,2.7419166560000003,-2.90866699999998,54.75563431,98.94892969,145.03055555555554,1.03961575,-67.75,1.159886837,2.18356967,0.8360673190000001,0.163932681,1.3277019083073651,0.322973162,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,2,11.614900814984038,378.5705268
13,200405,2.750727654,18.409387200000022,58.40552902,97.27985938,243.8477546296296,3.197551727,549.0,1.626969576,2.210951328,0.8360673190000001,0.163932681,1.7227032702604377,0.260681182,113.1495895,18,33,48,0,0,0,0,0,0,0,0,1,0,0,5,106.27272366130829,52.06519779999999
