,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
0,200901,3.96513772,24.95467530000002,42.79107666,93.997,324.42020833333333,1.910671353,2112.5,2.253515482,2.100076914,0.827506781,0.099278226,2.073291252928958,0.109731644,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,1,54.14165021771708,3251.9712000000004
19,201008,3.853037834,11.73534550000005,43.81151581,94.45176563,169.7770023148148,0.327724159,181.25,1.849861979,1.8537662030000002,0.827506781,0.099278226,1.714811951589175,0.077091269,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,8,9.959243698705409,1525.01824
32,201109,4.613841057,18.3191162,29.62474251,94.23799219,243.55754629629627,0.240332082,221.25,1.890784264,1.878223419,0.827506781,0.099278226,1.7511034889380688,0.064279675,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,9,65.52895090587107,2335.4019000000008
35,201112,4.025166512,25.45601810000005,37.65392303,93.89204688,345.0693518518518,1.13867712,1101.75,2.161004782,2.042975426,0.827506781,0.099278226,1.9910690869333008,0.09400738,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,12,62.58467536415213,2210.7937
7,200908,4.111118317,15.9253784,31.80296516,94.01804688,184.2531828703704,0.082328238,185.0,1.849861979,1.8537662030000002,0.827506781,0.099278226,1.714811951589175,0.063396119,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,8,59.48651778148939,3589.468000000001
12,201001,4.143237114,26.190698199999986,45.19457245,93.7081875,329.21516203703703,1.953626037,1865.75,2.253515482,2.100076914,0.827506781,0.099278226,2.073291252928958,0.120747983,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,1,64.5316618205746,3176.7705
29,201106,3.514975548,10.28206789999996,59.37894058,94.22003125,120.48113425925925,0.153524369,367.75,1.894681334,1.8802297119999998,0.827506781,0.099278226,1.7545275219989769,0.076135755,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,6,79.36168997415443,2816.1452999999988
33,201110,4.339591026,17.72222290000002,49.39149857,94.08815625,253.38208333333333,2.121977568,559.0,1.957013845,1.919843793,0.827506781,0.099278226,1.8100409132145343,0.123976365,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,10,64.92272292466467,2315.794
5,200906,3.23555398,11.413232399999973,48.30580521,94.31046875,126.83452546296296,0.026156088,376.25,1.894681334,1.8802297119999998,0.827506781,0.099278226,1.7545275219989769,0.083353058,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,6,71.50334558086638,4340.2379999999985
1,200902,4.340137482,25.19576420000004,43.27558517,93.80378125,289.6810648148148,1.21411097,1509.5,2.262582541,2.109601021,0.827506781,0.099278226,2.081739842182379,0.086496435,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,2,57.32619157471982,3467.108000000001
18,201007,3.4287896160000004,8.595849600000065,46.3188858,94.4504375,143.8890393518519,0.06923778400000001,198.75,1.849478722,1.8536411519999998,0.827506781,0.099278226,1.71448238898137,0.064449184,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,7,7.5343568233054015,1417.4172999999994
22,201011,4.146276951,21.348687700000028,42.1909256,93.96591406,311.15543981481477,1.46344924,938.5,2.057257175,1.979768872,0.827506781,0.099278226,1.8989422040755848,0.10404626300000001,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,11,47.695071892540426,3085.6983
6,200907,3.13511014,9.620629899999985,42.0526619,94.37426563,139.1152314814815,0.34368729600000003,238.75,1.849478722,1.8536411519999998,0.827506781,0.099278226,1.71448238898137,0.07957805700000001,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,7,72.04917849590089,4417.174999999998
13,201002,4.187177181,23.428247100000075,64.97078705,93.70739844,239.03754629629628,3.553066969,1704.75,2.262582541,2.109601021,0.827506781,0.099278226,2.081739842182379,0.160397664,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,2,47.37516285994754,2816.4329
9,200910,4.921530724,20.76070560000005,28.4392643,93.82574219,299.7374768518518,0.435162604,141.0,1.957013845,1.919843793,0.827506781,0.099278226,1.8100409132145343,0.07439040400000001,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,10,59.12286165208915,3496.1826000000005
26,201103,3.745969534,21.129296899999982,51.08583069,94.06600781,232.18284722222225,1.298115492,1620.75,2.196417809,2.0668704509999998,0.827506781,0.099278226,2.0227458626037627,0.111631453,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,3,57.69217307083159,2609.7813999999994
28,201105,3.13399148,13.450280800000026,61.04222107,94.38857813,137.1800462962963,0.203025922,660.5,1.953231454,1.917510986,0.827506781,0.099278226,1.8066793620730803,0.124559827,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,5,82.23974128126852,2810.7459000000013
11,200912,4.063323498,21.989434800000023,60.78808594,93.79503125,274.2684953703703,4.652989388,1035.5,2.161004782,2.042975426,0.827506781,0.099278226,1.9910690869333008,0.19146925199999998,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,12,66.49860989863043,3312.1601000000014
4,200905,3.611294508,15.692926000000002,54.99363708,94.12689063,127.58552083333332,0.648308277,581.5,1.953231454,1.917510986,0.827506781,0.099278226,1.8066793620730803,0.079028927,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,5,73.62205053467646,4461.378
31,201108,3.5978684430000003,11.508569300000033,42.93702316,94.28221094,177.9620601851852,0.114216,197.5,1.849861979,1.8537662030000002,0.827506781,0.099278226,1.714811951589175,0.07767275,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,8,66.01538403771684,2372.4428
30,201107,3.748737097,9.710290499999985,47.75195313,94.27139844,130.53743055555555,0.474559516,285.25,1.849478722,1.8536411519999998,0.827506781,0.099278226,1.71448238898137,0.076898642,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,7,80.66374109216297,2892.9012999999995
17,201006,3.1635870930000003,11.140222200000037,57.88322449,94.28603125,118.91208333333331,0.259409159,347.25,1.894681334,1.8802297119999998,0.827506781,0.099278226,1.7545275219989769,0.108172916,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,6,16.590326975779032,-9999.0
34,201111,4.245968342,23.074304200000032,46.01822662,93.83236719,301.9335648148148,3.059609652,1347.25,2.057257175,1.979768872,0.827506781,0.099278226,1.8989422040755848,0.13082426800000002,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,11,60.089457495549105,2132.2914
14,201003,3.5253784660000003,22.567804000000024,60.51631546,93.93021094,225.13696759259255,1.910554767,1294.0,2.196417809,2.0668704509999998,0.827506781,0.099278226,2.0227458626037627,0.128875256,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,3,38.30540761885576,2821.391999999999
25,201102,4.210330486,22.47158200000001,60.11260986,94.07925,254.297037037037,3.331852913,1803.5,2.262582541,2.109601021,0.827506781,0.099278226,2.081739842182379,0.146815047,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,2,71.91199623962781,-9999.0
27,201104,4.424345016,18.865472399999987,47.63690186,94.12317188,177.60225694444443,1.770129561,994.6666667000003,2.059098005,1.9811506269999999,0.827506781,0.099278226,1.9006026815684198,0.07671725,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,4,74.41873153853736,2559.7139999999995
21,201010,4.064304352,17.14650880000005,49.93638229,94.19773438,270.56773148148153,2.601160526,743.6666667000003,1.957013845,1.919843793,0.827506781,0.099278226,1.8100409132145343,0.15476526300000001,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,10,51.59423846454072,-9999.0
2,200903,3.770519495,24.12655030000002,46.04116821,93.95403125,238.45472222222224,2.04152298,1056.25,2.196417809,2.0668704509999998,0.827506781,0.099278226,2.0227458626037627,0.104893029,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,3,68.9050465518358,4126.1590000000015
20,201009,3.954959869,14.604394500000012,49.80986786,94.2423125,203.9094907407407,2.46942234,316.25,1.890784264,1.878223419,0.827506781,0.099278226,1.7511034889380688,0.117189549,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,9,23.33633487133148,-9999.0
10,200911,4.964835644,22.54998169999999,42.90513992,93.518125,303.6616203703704,2.234904528,261.75,2.057257175,1.979768872,0.827506781,0.099278226,1.8989422040755848,0.09494232400000001,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,11,54.83693091970998,3245.2584
16,201005,3.0589215760000004,13.055841100000064,55.20551682,94.43678125,137.70256944444444,0.8552997109999999,456.25,1.953231454,1.917510986,0.827506781,0.099278226,1.8066793620730803,0.09466619,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,5,16.628204742246602,-9999.0
15,201004,3.660503626,16.692346200000028,53.97346878,94.345,172.2010300925926,0.242374554,684.6666667000002,2.059098005,1.9811506269999999,0.827506781,0.099278226,1.9006026815684198,0.067226455,628.8342285,12,52,35,0,0,0,0,0,0,0,0,0,1,0,4,15.352678991923465,1947.24699
