,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200812,2.0411870480000003,28.07735600000001,76.12236786,99.64779688,213.47141203703706,12.89911747,2262.75,0.925383985,1.7413629290000001,0.045427494000000006,0.9545724990000001,1.7042950382277733,0.364046395,82.83660889,15,71,13,0,0,0,0,0,0,0,0,0,1,0,12,100.80471587562462,1458.0593570000005
51,201204,2.817328215,26.87847290000002,54.83567429,100.17391409999999,242.8636342592593,1.077982306,1758.25,0.925046623,1.780852556,0.045427494000000006,0.9545724990000001,1.74197542464751,0.252319872,82.83660889,15,71,13,0,0,0,0,0,0,0,0,0,1,0,4,82.54725410966307,2121.8239
25,201002,2.197084427,28.281915300000037,76.65570068,99.76621094,233.571875,6.88719511,3004.5,0.934096038,1.9781378509999998,0.045427494000000006,0.9545724990000001,1.9307096339572285,0.368775278,82.83660889,15,71,13,1,0,0,0,0,0,0,0,0,0,0,2,120.41178139685341,-9999.0
5,200806,3.38178277,24.529412800000053,40.38147736,100.4064531,215.59127314814808,0.00298039,731.75,0.914640725,1.40342927,0.045427494000000006,0.9545724990000001,1.3812248214807392,0.13622474699999998,82.83660889,15,71,13,0,0,0,0,0,0,0,0,0,1,0,6,43.30144790581237,1450.4311
77,201406,3.635103464,24.14476930000001,36.89173126,100.3965078,219.3045138888889,0.002589992,861.25,0.914640725,1.40342927,0.045427494000000006,0.9545724990000001,1.3812248214807392,0.141393736,82.83660889,15,71,13,0,0,0,0,0,0,0,0,0,1,0,6,68.39272648339718,987.5663999999997
72,201401,2.617461681,27.999261500000053,72.60917664,99.50407031,211.79791666666665,11.20865059,1686.75,0.929459631,1.8801797630000001,0.045427494000000006,0.9545724990000001,1.8369909167466327,0.366026908,82.83660889,15,71,13,0,0,0,0,0,0,0,0,0,1,0,1,124.75459583541212,-9999.0
20,200909,2.266232967,30.29625850000001,40.74989319,100.1159844,272.44456018518514,0.028194318,959.25,0.911497533,1.324991465,0.045427494000000006,0.9545724990000001,1.3062074626100937,0.135021314,82.83660889,15,71,13,1,0,0,0,0,0,0,0,0,0,0,9,48.0824997540988,2409.7327
22,200911,2.314974546,31.6940247,51.84054184,99.8410625,278.40587962962957,0.591284513,1200.25,0.921289921,1.5752297640000001,0.045427494000000006,0.9545724990000001,1.5455229046791483,0.149388313,82.83660889,15,71,13,1,0,0,0,0,0,0,0,0,0,0,11,59.86697230335408,2836.7274
23,200912,2.054806471,29.40862430000004,67.84262085,99.813875,237.2640740740741,6.473339557999999,1680.25,0.925383985,1.7413629290000001,0.045427494000000006,0.9545724990000001,1.7042950382277733,0.313867778,82.83660889,15,71,13,1,0,0,0,0,0,0,0,0,0,0,12,85.7935913290162,-9999.0
81,201410,2.438974142,31.310601800000033,38.67823410000001,100.1192422,308.70527777777767,0.042545222,973.6666667000003,0.915248036,1.4141527409999999,0.045427494000000006,0.9545724990000001,1.3914887406079717,0.135599151,82.83660889,15,71,13,0,0,0,0,0,0,0,0,0,1,0,10,55.73706641112004,2910.421400000001
71,201312,1.71664536,28.86092530000002,68.98479462,99.80871094,239.8020601851852,4.603870392,1883.0,0.925383985,1.7413629290000001,0.045427494000000006,0.9545724990000001,1.7042950382277733,0.356917351,82.83660889,15,71,13,0,0,0,0,0,0,0,0,0,1,0,12,113.37832238577849,1914.84154
80,201409,2.18449378,28.77984010000005,32.75205231,100.2901172,291.9543287037036,0.004531905,903.0,0.911497533,1.324991465,0.045427494000000006,0.9545724990000001,1.3062074626100937,0.134734526,82.83660889,15,71,13,0,0,0,0,0,0,0,0,0,1,0,9,45.96429809778574,2352.5655
70,201311,2.089184999,30.12456670000001,61.68795013,99.74748438,266.9703009259259,6.0879402160000025,1430.0,0.921289921,1.5752297640000001,0.045427494000000006,0.9545724990000001,1.5455229046791483,0.247540087,82.83660889,15,71,13,0,0,0,0,0,0,0,0,0,1,0,11,91.27588838931564,2253.0924
