,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,201307,4.07146883,11.436792000000025,59.82713699,96.45617188,132.27511574074072,0.545305252,180.75,0.520594001,2.122935057,0.926846027,0.07315398,0.6378116302079608,0.057544697,454.329895,21,52,27,0,0,0,0,0,0,0,0,0,1,0,7,24.437393606741914,-9999.0
9,201310,4.596514225,21.055169699999965,35.66965485,96.16446875,308.23756944444443,0.253085971,96.0,0.52065146,2.122899771,0.926846027,0.07315398,0.6378623045424879,0.029726835,454.329895,21,52,27,0,0,0,0,0,0,0,0,0,1,0,10,26.31919857843012,3936.3632999999986
18,201407,4.180131435,11.124444600000059,63.95962524,96.45260156,133.5958449074074,0.306470722,229.75,0.520594001,2.122935057,0.926846027,0.07315398,0.6378116302079608,0.044649199,454.329895,21,52,27,0,0,0,0,0,0,0,0,0,1,0,7,19.912345907076546,1204.7433
21,201410,4.954089165,22.04378660000009,39.80358505,96.02225,295.925625,1.258077264,137.33333330000002,0.52065146,2.122899771,0.926846027,0.07315398,0.6378623045424879,0.062205967,454.329895,21,52,27,0,0,0,0,0,0,0,0,0,1,0,10,32.44634986288543,3411.6075
13,201402,5.365194798,24.50249630000002,47.27988434,95.84091406,281.3393055555556,0.453568101,225.0,0.52126503,2.122979403,0.926846027,0.07315398,0.6384368148570098,0.047515061,454.329895,21,52,27,0,0,0,0,0,0,0,0,0,1,0,2,37.93487303776386,3613.8451000000014
5,201306,3.282641172,11.409570300000038,67.65686035,96.59253906,113.51361111111108,0.296488762,227.5,0.5206441279999999,2.122871637,0.926846027,0.07315398,0.6378534507933447,0.06295284599999999,454.329895,21,52,27,0,0,0,0,0,0,0,0,0,1,0,6,19.572954890148388,949.28046
12,201401,5.789174557000001,26.33770140000001,47.88113022,95.62764844,297.6791666666666,5.701820374,173.0,0.520668745,2.122948647,0.926846027,0.07315398,0.6378819005499912,0.12217840599999999,454.329895,21,52,27,0,0,0,0,0,0,0,0,0,1,0,1,59.111916977573,3528.4556899999993
22,201411,5.046990871,23.250848399999995,41.33076096,95.87,312.5984722222222,0.991915345,123.25,0.520642459,2.12289381,0.926846027,0.07315398,0.6378535259305239,0.054901902,454.329895,21,52,27,0,0,0,0,0,0,0,0,0,1,0,11,58.38308157758317,2698.48949
11,201312,5.147045135,26.358667000000025,34.55380249,95.74178906,326.8301388888889,1.512730002,114.25,0.52063787,2.122973204,0.926846027,0.07315398,0.6378550806211943,0.048222382,454.329895,21,52,27,0,0,0,0,0,0,0,0,0,1,0,12,25.542237692199844,3761.1151000000013
4,201305,4.018921375,15.469171100000038,60.5912323,96.22695313,133.99520833333332,1.087211967,274.25,0.5206527710000001,2.1228981019999997,0.926846027,0.07315398,0.6378633975436367,0.083643392,454.329895,21,52,27,0,0,0,0,0,0,0,0,0,1,0,5,26.521345673861603,-9999.0
