,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,201107,4.363998413,14.060296600000017,68.46629333,101.3844375,111.38182870370369,3.997190237,566.25,1.58813405,2.933572292,0.385653019,0.279446989,1.432246634972426,0.24844892300000002,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,7,75.61212420646822,4224.932
28,201305,4.089168549,16.549188200000003,66.47461700000001,101.2193047,135.53684027777777,2.681986332,672.75,1.535760999,2.76453495,0.385653019,0.279446989,1.3648118334895716,0.18850386100000002,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,5,45.09111512005564,-9999.0
32,201309,5.310167788999999,15.350091600000045,69.77262115,100.9707969,182.3739236111111,3.741828203,909.75,1.62840569,3.0455627439999997,0.385653019,0.279446989,1.4790729091266557,0.242690265,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,9,65.72283347532681,1438.0132
26,201303,4.544688702,21.74373780000002,64.90586853,100.9361406,241.2944444444444,1.87287581,788.25,1.532337904,2.7538328169999997,0.385653019,0.279446989,1.3605010277257699,0.117554925,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,3,30.70654965590881,3370.8972000000012
41,201406,4.036066532,14.586511200000016,61.04896927,101.7239375,112.14071759259261,1.707423925,605.5,1.565765262,2.862869501,0.385653019,0.279446989,1.4038623622900084,0.20057100100000005,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,6,42.60647123786868,-9999.0
47,201412,5.872113705,21.309228500000017,61.1672554,100.8425859,354.8189583333333,0.024441659,1410.0,1.555141211,2.821494579,0.385653019,0.279446989,1.3882030675748385,0.069931313,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,12,61.9076954524325,4579.6436
5,201106,4.5058860780000005,15.592981000000007,61.82679367,101.4748594,108.55532407407406,2.706420183,604.0,1.565765262,2.862869501,0.385653019,0.279446989,1.4038623622900084,0.18263752800000002,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,6,67.5530660685625,3724.616
40,201405,3.753437042,17.2573486,71.68463135,101.2092031,115.92380787037035,2.254781961,758.25,1.535760999,2.76453495,0.385653019,0.279446989,1.3648118334895716,0.21790611699999998,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,5,46.236450199078206,-9999.0
18,201207,3.535366297,13.405908199999999,56.66869354,101.8208594,133.35224537037035,1.506894469,802.75,1.58813405,2.933572292,0.385653019,0.279446989,1.432246634972426,0.18835011100000001,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,7,60.51611458394289,-9999.0
31,201308,4.239885807,15.486016800000018,68.64234924,101.2941641,144.31712962962962,2.973579407,726.5,1.6107389930000002,2.999064922,0.385653019,0.279446989,1.4592660177398895,0.22454828,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,8,55.75284355540555,-9999.0
0,201101,5.152818203,25.16643680000004,59.27211379999999,100.2946406,324.2742361111111,0.52596277,1245.75,1.55049932,2.8095417019999998,0.385653019,0.279446989,1.383072712809282,0.075472809,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,1,60.53876534334113,3295.0646999999994
11,201112,4.97604084,23.168298300000004,59.13349152,100.43242190000001,323.58615740740737,1.96274507,1475.75,1.555141211,2.821494579,0.385653019,0.279446989,1.3882030675748385,0.129118145,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,12,85.56975934913693,-9999.0
36,201401,5.69909811,24.48351439999999,58.42830276,100.6248203,344.4271064814815,0.063992463,1247.0,1.55049932,2.8095417019999998,0.385653019,0.279446989,1.383072712809282,0.056988094,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,1,43.518178439156074,5067.405000000002
17,201206,4.516261101,15.386712600000068,63.06803131,101.356125,103.4068634259259,2.742079496,771.25,1.565765262,2.862869501,0.385653019,0.279446989,1.4038623622900084,0.183151543,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,6,54.74066495345478,-9999.0
43,201408,3.977011681,16.099908400000004,62.98485565,101.6786719,163.74363425925932,2.009750843,865.75,1.6107389930000002,2.999064922,0.385653019,0.279446989,1.4592660177398895,0.193898425,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,8,54.03422841732853,-9999.0
35,201312,5.25699234,22.79396969999999,57.20748138,100.7464609,353.23620370370367,0.036728401,1352.0,1.555141211,2.821494579,0.385653019,0.279446989,1.3882030675748385,0.060986787,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,12,62.35171739283143,4381.3724
33,201310,4.116873741,17.640313700000036,66.79689789,101.2899766,272.845,1.069722652,1138.0,1.612175822,2.99839139,0.385653019,0.279446989,1.4596319186921312,0.167968705,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,10,72.7677183471758,3204.2349999999988
7,201108,4.127496243,14.88268430000005,64.77809143,101.3805781,160.37137731481482,2.473747492,701.25,1.6107389930000002,2.999064922,0.385653019,0.279446989,1.4592660177398895,0.235986859,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,8,70.22489467266854,3905.735
45,201410,4.438870907,18.00884400000001,67.34506989,101.1619766,267.8349768518518,1.218316913,1182.0,1.612175822,2.99839139,0.385653019,0.279446989,1.4596319186921312,0.158214286,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,10,75.11511316863124,2827.9634
20,201209,5.081410408,15.650781300000006,61.06556702,101.18971090000001,221.46069444444439,2.009348869,1135.0,1.62840569,3.0455627439999997,0.385653019,0.279446989,1.4790729091266557,0.186037019,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,9,76.77662436472663,-9999.0
25,201302,5.109486103,25.84765010000007,51.77512741,100.7012422,308.68520833333326,0.045141958,968.5,1.545779347,2.796769142,0.385653019,0.279446989,1.3776831875384121,0.05690139900000001,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,2,23.637248876700426,3846.076599999999
19,201208,3.4958155160000004,14.611444100000027,66.74102783,101.4880938,153.3150347222222,2.009208441,925.0,1.6107389930000002,2.999064922,0.385653019,0.279446989,1.4592660177398895,0.212403297,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,8,60.20931905853731,-9999.0
21,201210,4.72026825,18.410119600000087,59.74049759,101.21047659999999,273.22321759259256,0.444729745,1238.0,1.612175822,2.99839139,0.385653019,0.279446989,1.4596319186921312,0.092655264,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,10,81.26225240488078,2836.768367
13,201202,5.047642231,23.954614300000053,62.49656296,100.6883906,293.69284722222216,1.832736254,1450.75,1.545524955,2.7961096760000004,0.385653019,0.279446989,1.3774007947075548,0.10301587,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,2,62.634119689873025,-9999.0
1,201102,5.221696377,27.46318969999999,53.34194946,100.4082188,300.6183101851851,0.123308785,978.5,1.545779347,2.796769142,0.385653019,0.279446989,1.3776831875384121,0.058862936,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,2,55.11029774828749,3040.9780000000014
4,201105,4.126166344,18.08999019999999,57.56248093,101.51975,141.8292361111111,1.57126677,583.0,1.535760999,2.76453495,0.385653019,0.279446989,1.3648118334895716,0.126422733,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,5,68.06864047305243,3715.1419000000014
12,201201,5.432962894,26.218042000000025,53.43036652,100.5122344,321.11305555555555,0.421692282,1420.0,1.55049932,2.8095417019999998,0.385653019,0.279446989,1.383072712809282,0.073561788,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,1,61.46154671569179,-9999.0
38,201403,4.865082264,23.362420700000033,61.25974655,101.0752188,245.35363425925925,0.201686218,786.0,1.532337904,2.7538328169999997,0.385653019,0.279446989,1.3605010277257699,0.059661333,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,3,32.20042127146113,3395.4443
22,201211,5.341947556,18.930749500000047,66.89550781,100.8535,309.4043287037037,2.155324936,1457.0,1.585468769,2.90499568,0.385653019,0.279446989,1.4232331131290712,0.136809379,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,11,74.59808367825792,3316.3901999999994
29,201306,3.3744072910000003,14.654046600000017,61.75661469,101.6072656,122.10446759259257,0.538620114,650.75,1.565765262,2.862869501,0.385653019,0.279446989,1.4038623622900084,0.17073433100000002,43.5208931,19,59,21,1,0,0,0,0,0,0,0,0,0,0,6,35.93658984621445,-9999.0
