,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
33,200608,2.573130608,25.062890600000053,45.81032944,101.1892188,260.5997453703704,0.018003283000000002,925.5,1.941888094,1.693218589,0.08102788,0.918972135,1.713367777209078,0.130798742,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,8,60.490497688151024,1923.8652
133,201412,1.895316124,28.92073970000001,75.96626282,100.50625,256.7447453703704,9.302017212,2180.5,1.951060414,1.8529138569999999,0.08102788,0.918972135,1.8608664922367169,0.37033331399999997,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,12,159.60630849225862,986.7113400000003
96,201111,1.667904258,28.43230590000001,73.75945282,100.6066406,270.607361111111,6.625506401,2310.0,1.942354202,1.7082920069999998,0.08102788,0.918972135,1.7272575960733765,0.3377105,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,11,138.84850076092673,-9999.0
129,201408,2.721253872,24.923028600000066,34.10624313,101.1827266,266.05349537037034,0.0006075830000000001,681.75,1.941888094,1.693218589,0.08102788,0.918972135,1.713367777209078,0.130174294,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,8,72.82228275639036,2038.1988
97,201112,2.092674971,28.274530000000034,78.38131714,100.2655703,231.37979166666665,12.46466637,2696.75,1.951060414,1.8529138569999999,0.08102788,0.918972135,1.8608664922367169,0.387493551,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,12,139.16559619366944,-9999.0
101,201204,2.350605965,27.22915039999998,63.65998077,100.8490156,249.3341203703704,1.601071,2052.0,1.980873466,2.227982521,0.08102788,0.918972135,2.2079598315642843,0.267392814,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,4,115.42518518964796,1303.0412999999996
124,201403,1.819070697,27.834405500000052,73.59420013,100.6901328,265.89428240740745,5.161289692,2477.0,1.975253105,2.178960085,0.08102788,0.918972135,2.1624541729537987,0.35607671700000004,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,3,154.192076468688,1331.4076599999999
54,200805,2.692607403,26.33159790000002,42.63512039,100.9602266,242.0684259259259,0.036358505,1411.0,1.967857003,2.038438797,0.08102788,0.918972135,2.032719734442165,0.138483375,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,5,85.44758398092067,1394.69105
28,200603,2.534991503,26.654565399999967,85.13335419,100.4110234,193.74153935185186,13.42861271,2974.5,1.975253105,2.178960085,0.08102788,0.918972135,2.1624541729537987,0.399617881,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,3,117.6574388642556,-9999.0
37,200612,2.087162971,29.478723100000025,71.37683868,100.63014840000001,278.0524305555556,4.40059042,2215.75,1.951060414,1.8529138569999999,0.08102788,0.918972135,1.8608664922367169,0.275862098,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,12,95.46883765145624,573.6644
32,200607,2.527746677,23.88250120000004,45.20147705,101.1771094,229.03990740740738,0.038023759,1128.5,1.94997108,1.786731005,0.08102788,0.918972135,1.7999580290092558,0.13344377300000002,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,7,65.32199458206493,1435.41856
11,200405,2.454113722,27.211938499999967,64.69722748,100.8234375,207.42564814814816,3.521294117,1921.0,1.967857003,2.038438797,0.08102788,0.918972135,2.032719734442165,0.234284565,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,5,121.35747818887523,-9999.0
90,201105,2.809803009,24.880456500000037,47.46259308,100.97139840000001,241.43504629629632,0.067044199,1466.75,1.967857003,2.038438797,0.08102788,0.918972135,2.032719734442165,0.172763854,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,5,68.43230097750714,1532.6399
77,201004,2.102049351,27.66274410000005,75.23215485,100.7526953,222.2578009259259,5.626769542999999,2406.666667,1.980873466,2.227982521,0.08102788,0.918972135,2.2079598315642843,0.35905692,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,4,122.43691732655265,757.7448999999997
29,200604,2.450442314,26.478723100000025,75.88754272,100.5445938,207.2914583333333,10.33359241,2461.0,1.980873466,2.227982521,0.08102788,0.918972135,2.2079598315642843,0.37735074799999996,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,4,102.62921976821673,-9999.0
46,200709,1.990520597,28.048089600000022,56.09799576,100.88478909999999,287.91921296296294,0.052537538,1097.0,1.934920549,1.620561361,0.08102788,0.918972135,1.6460332438705818,0.13090048699999998,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,9,58.802948336782144,2264.8729
115,201306,2.904385805,26.01583250000005,49.12937546,100.8992734,207.94171296296287,0.037215404,1495.5,1.958164811,1.927540064,0.08102788,0.918972135,1.930021551238048,0.162107632,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,6,87.84843262286171,1066.60983
43,200706,3.375559568,24.302026400000052,45.56084061,100.8809219,205.48611111111111,0.919884741,1341.75,1.958164811,1.927540064,0.08102788,0.918972135,1.930021551238048,0.174694806,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,6,72.88053875241343,-9999.0
62,200901,2.858992815,27.450769000000037,82.19318390000002,100.3642422,215.9953240740741,12.70009804,3144.0,1.959458113,1.946072578,0.08102788,0.918972135,1.9471572087148048,0.40364620100000004,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,1,137.82983025232434,-9999.0
35,200610,2.342550278,28.59618530000006,56.10958099,101.0358203,304.3489351851852,0.103010684,1205.333333,1.935181856,1.62300086,0.08102788,0.918972135,1.6482962486271813,0.131954059,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,10,60.68401112302663,2069.9976
109,201212,1.464570284,29.42556150000007,71.92864227,100.5418828,271.97844907407404,6.3414349560000005,2624.25,1.951060414,1.8529138569999999,0.08102788,0.918972135,1.8608664922367169,0.335240304,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,12,139.7838207321486,921.20135
108,201211,1.708607554,29.783288600000052,67.90081024,100.68114840000001,284.8900694444444,3.871244192,2359.333333,1.942354202,1.7082920069999998,0.08102788,0.918972135,1.7272575960733765,0.259168684,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,11,144.81796177006896,805.88613
74,201001,3.1854050160000003,27.26027830000004,84.36280823,100.3636563,190.9266782407407,17.39491081,2724.5,1.959458113,1.946072578,0.08102788,0.918972135,1.9471572087148048,0.40501973,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,1,135.27923513078682,-9999.0
25,200511,1.596751571,29.318872100000075,70.49475098,100.5949453,282.77567129629625,5.781172276,1571.25,1.942354202,1.7082920069999998,0.08102788,0.918972135,1.7272575960733765,0.29801565399999996,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,11,111.83872745200044,1029.8353000000004
73,200912,1.886624098,28.06658330000005,79.91400909,100.5642969,230.38467592592602,13.36426353,2347.25,1.951060414,1.8529138569999999,0.08102788,0.918972135,1.8608664922367169,0.391845644,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,12,119.46667872122869,-9999.0
99,201202,2.159474611,27.760491899999977,78.75360107,100.4808828,252.9120138888889,7.375930786,2826.75,1.967317581,2.03371501,0.08102788,0.918972135,2.0283349975964047,0.37325093200000004,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,2,139.49787830322737,-9999.0
21,200507,2.44304204,25.963128700000034,47.31570816,101.07296090000001,226.57810185185187,0.070390843,953.5,1.94997108,1.786731005,0.08102788,0.918972135,1.7999580290092558,0.132952556,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,7,39.053442808603336,1692.1266999999998
110,201301,3.205657005,28.476068100000077,79.62276459,100.37935159999999,234.3449768518518,7.922878265,3230.75,1.959458113,1.946072578,0.08102788,0.918972135,1.9471572087148048,0.382436335,19.61953545,62,22,16,0,0,0,0,0,0,0,0,0,0,0,1,144.43030375276845,-9999.0
