,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
0,201101,2.748117685,26.461755399999962,80.26837921,98.32989063,214.01949074074074,7.240806103,2493.0,1.938124061,1.769087672,0.26681214600000003,0.7331878540000001,1.8141886337011808,0.39758744799999995,162.5076904,25,48,25,1,0,0,0,0,0,0,0,0,0,0,1,87.31446217605409,1527.3634
19,201208,2.893796682,23.32015380000001,34.74287415,99.29153906,261.8173842592593,0.00062258,353.25,1.903805614,1.3054037090000001,0.26681214600000003,0.7331878540000001,1.4650646054435383,0.135569632,162.5076904,25,48,25,1,0,0,0,0,0,0,0,0,0,0,8,15.862570849905255,2363.1215999999995
32,201309,2.729089499,29.08300170000001,40.3743515,98.98294531,268.8390509259259,0.010325879,600.75,1.904195905,1.316406488,0.26681214600000003,0.7331878540000001,1.4732358437458588,0.134950399,162.5076904,25,48,25,1,0,0,0,0,0,0,0,0,0,0,9,4.7937792098872265,2216.3975
35,201312,1.746515393,28.95812380000001,65.65544128,98.63653125,262.7496759259259,3.005944252,1387.75,1.925644875,1.574567676,0.26681214600000003,0.7331878540000001,1.668239336876859,0.302063972,162.5076904,25,48,25,1,0,0,0,0,0,0,0,0,0,0,12,5.68477791983359,2619.8859
7,201108,3.03811121,23.259668000000033,36.91528320000001,99.25654688,258.16585648148146,0.000838695,490.5,1.903805614,1.3054037090000001,0.26681214600000003,0.7331878540000001,1.4650646054435383,0.135601357,162.5076904,25,48,25,1,0,0,0,0,0,0,0,0,0,0,8,77.4991212309574,1361.5168000000006
12,201201,2.468332529,28.882318100000077,67.61216736,98.4203125,266.2098611111111,4.212370872,2139.75,1.938124061,1.769087672,0.26681214600000003,0.7331878540000001,1.8141886337011808,0.301244199,162.5076904,25,48,25,1,0,0,0,0,0,0,0,0,0,0,1,168.72473762311458,1770.3408000000006
29,201306,3.406861067,23.837976100000052,42.35958481,99.1130625,204.8718287037037,0.015787855,591.75,1.906898975,1.3862452509999998,0.26681214600000003,0.7331878540000001,1.5251619884233318,0.143205523,162.5076904,25,48,25,1,0,0,0,0,0,0,0,0,0,0,6,9.196895984976488,2102.2053
33,201310,2.481628656,31.828149400000033,36.92455673,98.88289063,285.40979166666665,0.08861114099999999,633.0,1.907101035,1.3902047869999998,0.26681214600000003,0.7331878540000001,1.5281189841882283,0.13676875800000002,162.5076904,25,48,25,1,0,0,0,0,0,0,0,0,0,0,10,5.119382392095559,2352.072700000001
5,201106,3.022764206,19.071527100000022,47.10269928,99.28777344,223.0705787037037,0.00235488,703.5,1.906898975,1.3862452509999998,0.26681214600000003,0.7331878540000001,1.5251619884233318,0.14181649699999999,162.5076904,25,48,25,1,0,0,0,0,0,0,0,0,0,0,6,65.73927915688837,1158.4051000000004
1,201102,2.72306776,26.00463260000004,80.87934113,98.4245,195.24525462962958,10.6971817,2618.0,1.939829946,1.796256661,0.26681214600000003,0.7331878540000001,1.83456375727912,0.402537555,162.5076904,25,48,25,1,0,0,0,0,0,0,0,0,0,0,2,73.29434811549106,1281.828
