,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
27,200710,4.074043274,12.351770000000045,57.66146088,96.12821875,232.90597222222215,0.6634703279999999,1653.0,2.969696045,3.0977475639999996,0.573161602,0.390383482,2.911425222996602,0.255070835,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,10,53.035578942725685,-9999.0
5,200508,4.040590763,7.74715580000003,78.13174438,96.68136719,121.31817129629627,3.071414471,1341.75,2.9465267660000003,2.79658246,0.573161602,0.390383482,2.7805755999713653,0.359419405,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,8,26.14859178173052,-9999.0
6,200509,3.526222229,9.56670530000008,75.19165802,96.16353906,163.23072916666666,2.095875263,1831.0,2.969885588,3.040991545,0.573161602,0.390383482,2.8893772494444514,0.36075329799999994,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,9,38.52039293923076,-9999.0
37,200809,3.744267464,9.664788800000052,64.40747833,96.41610938,193.23064814814808,0.637063205,1694.5,2.969885588,3.040991545,0.573161602,0.390383482,2.8893772494444514,0.299166262,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,9,42.30174892886619,-9999.0
21,200702,3.644996881,20.8247925,59.41339111,96.405875,280.9542824074074,0.634162247,1744.75,2.907322884,2.374627829,0.573161602,0.390383482,2.593381322063821,0.208683863,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,2,66.25381970113285,1210.3803199999998
0,200503,3.676710367,14.733636500000046,62.86948395,96.67672656,210.3083333333333,0.300461352,2219.5,2.905768394,2.318617821,0.573161602,0.390383482,2.5706249661352403,0.248915553,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,3,42.219543372168964,429.28497999999996
20,200612,4.410280704,16.515863000000028,52.49784851,96.50995313,333.0833333333333,0.912284255,2047.5,2.926134109,2.5965864659999998,0.573161602,0.390383482,2.690812179492437,0.20202291,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,12,77.59347237108767,-9999.0
40,200812,3.73586297,14.700280800000026,62.76861954,95.70634375,272.4365046296296,2.712723494,2216.0,2.926134109,2.5965864659999998,0.573161602,0.390383482,2.690812179492437,0.322527438,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,12,77.32455476100016,-9999.0
34,200806,3.954924345,8.859857199999965,82.76085663,96.95252344,71.70353587962963,1.366249681,1187.0,2.918721199,2.422394514,0.573161602,0.390383482,2.6185617233632192,0.321899265,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,6,21.87843205097753,-9999.0
35,200807,3.5721554760000003,6.119043000000032,81.35555267,96.41017188,87.78668981481482,1.996211529,1110.75,2.926286221,2.527702332,0.573161602,0.390383482,2.6640081361645658,0.351238906,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,7,11.280278962196553,-9999.0
18,200610,3.99063158,12.629571499999996,53.26494217,96.82436719,266.36442129629626,0.285938084,2051.333333,2.969696045,3.0977475639999996,0.573161602,0.390383482,2.911425222996602,0.216786593,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,10,54.585784735498144,1423.9157499999994
7,200510,3.431586266,12.373315399999967,71.65852356,96.07113281,218.94421296296287,2.89301157,2312.0,2.969696045,3.0977475639999996,0.573161602,0.390383482,2.911425222996602,0.35990512399999997,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,10,58.22553190532627,-9999.0
38,200810,3.821745396,12.955895999999996,56.28601837,96.62692969,237.79490740740738,0.67017144,2098.25,2.969696045,3.0977475639999996,0.573161602,0.390383482,2.911425222996602,0.246061444,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,10,50.86098691800475,-9999.0
32,200804,3.100848913,12.071832300000038,67.52117157,96.7208125,151.8659490740741,0.8118348120000001,1621.0,2.901858568,2.272599697,0.573161602,0.390383482,2.550419288519311,0.234713748,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,4,23.57249845209905,-9999.0
25,200708,3.507522345,8.153558300000043,75.1451416,96.69139844,121.88427083333332,0.994287968,1034.5,2.9465267660000003,2.79658246,0.573161602,0.390383482,2.7805755999713653,0.339137614,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,8,26.660600414684843,-9999.0
28,200711,3.807697058,15.98586430000006,65.74465179,96.44739063,278.1361805555556,2.442684174,2068.5,2.949101925,2.890115738,0.573161602,0.390383482,2.818565428977723,0.2903862,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,11,61.290197735150784,-9999.0
19,200611,4.3278956410000005,14.538293500000007,59.02592087,96.24684375,296.4343055555555,1.193177819,2116.0,2.949101925,2.890115738,0.573161602,0.390383482,2.818565428977723,0.23600482899999997,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,11,63.38475508384721,-9999.0
13,200604,3.444200039,10.915338100000042,68.55132294,96.27226563,134.08537037037036,1.724278212,1628.0,2.901858568,2.272599697,0.573161602,0.390383482,2.550419288519311,0.285113543,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,4,20.669306295044716,-9999.0
1,200504,3.520073414,14.824365199999988,64.83040619,96.89905469,157.83193287037037,0.872457206,1837.0,2.901858568,2.272599697,0.573161602,0.390383482,2.550419288519311,0.259074777,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,4,25.78534622095005,259.80312999999995
26,200709,3.875566244,9.493554700000004,65.28204346,96.30559375,173.7253009259259,1.020150185,1239.75,2.969885588,3.040991545,0.573161602,0.390383482,2.8893772494444514,0.292241603,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,9,40.7281952230246,-9999.0
12,200603,3.565288067,16.989587400000005,63.75400162,96.57282813,230.94847222222225,0.779763222,2050.25,2.905768394,2.318617821,0.573161602,0.390383482,2.5706249661352403,0.245344266,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,3,65.69542154865941,-9999.0
31,200803,3.493529558,17.63570560000005,54.89236832,96.5939375,218.21942129629628,0.507227898,1996.0,2.905722857,2.318467617,0.573161602,0.390383482,2.57054022891484,0.20425967899999997,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,3,50.92317689177433,-9999.0
22,200704,2.930432558,13.575494399999965,66.86487579,96.76788281,156.04099537037038,0.94198519,1105.0,2.901858568,2.272599697,0.573161602,0.390383482,2.550419288519311,0.2642636,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,4,25.436772774503932,-9999.0
9,200512,3.528469324,17.458764600000052,51.45824051,95.66099219,298.5856481481481,2.270428658,2693.5,2.926134109,2.5965864659999998,0.573161602,0.390383482,2.690812179492437,0.32713002,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,12,89.04631806896839,-9999.0
29,200712,3.943239212,17.802484100000015,57.61947632,96.13529688,291.68381944444445,3.382422447,2543.5,2.926134109,2.5965864659999998,0.573161602,0.390383482,2.690812179492437,0.295777798,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,12,80.16285975430486,-9999.0
11,200602,4.523640633,17.222894300000007,62.92621994,96.35217188,278.64796296296294,1.10601306,2633.75,2.907322884,2.374627829,0.573161602,0.390383482,2.593381322063821,0.24009199399999998,452.47399900000005,18,69,13,0,0,1,0,0,0,0,0,0,0,0,2,71.25174426666523,-9999.0
