,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,201107,3.630129099,8.337335200000041,74.72463989,100.2573906,90.24225694444445,1.53201592,646.25,2.5658192630000003,2.985491037,0.183815792,0.8161842229999999,2.9083487822645098,0.311038136,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,7,64.31422873638326,3956.77
28,201305,2.934759855,11.649469000000007,68.27871704,100.325125,111.401875,2.011302471,475.75,2.332048655,2.853433847,0.183815792,0.8161842229999999,2.7575950577969555,0.22087262600000002,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,5,21.774360645691285,-9999.0
32,201309,3.3224053380000003,13.23516239999998,66.264328,99.60102344,174.2029282407407,2.033222914,1036.0,2.796591997,3.116584301,0.183815792,0.8161842229999999,3.0577647089551,0.311291009,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,9,46.1997149482042,-9999.0
26,201303,3.279202461,20.714746100000013,50.48919678,99.85714063,226.0985879629629,1.075963855,665.5,2.309050322,2.844444752,0.183815792,0.8161842229999999,2.7460308434838323,0.182591781,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,3,48.76521842810018,-9999.0
41,201406,3.534413099,10.123101800000027,80.15692902,100.1315469,75.60181712962962,1.47764194,710.0,2.425546646,2.9032192230000002,0.183815792,0.8161842229999999,2.8154155034903523,0.351893425,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,6,28.992086767361933,-9999.0
47,201412,3.61729908,21.41784060000009,47.93160248,99.20647656,330.18534722222216,0.7459821109999999,915.25,2.325825453,2.853684902,0.183815792,0.8161842229999999,2.7566560421226547,0.153181225,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,12,72.13772914000025,4160.323
5,201106,3.359273195,9.239007600000036,73.32993317,100.3637344,90.66958912037035,0.6087313289999999,713.5,2.425546646,2.9032192230000002,0.183815792,0.8161842229999999,2.8154155034903523,0.268217653,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,6,64.6153124115999,3931.892000000001
40,201405,2.6981637480000003,12.883874500000047,72.40202332,100.1574766,97.6658449074074,2.732183695,794.0,2.332048655,2.853433847,0.183815792,0.8161842229999999,2.7575950577969555,0.290985376,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,5,32.71357548575247,-9999.0
18,201207,2.994925261,8.41790160000005,76.79608917,100.46258590000001,79.73725694444444,2.006738901,513.75,2.5658192630000003,2.985491037,0.183815792,0.8161842229999999,2.9083487822645098,0.3367626970000001,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,7,28.26915608356673,-9999.0
31,201308,3.906859636,9.953210399999987,74.56262207,99.65842969,112.4235648148148,2.533869982,753.25,2.726404905,3.079725981,0.183815792,0.8161842229999999,3.0147800337806574,0.36123237,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,8,41.001095979095176,-9999.0
0,201101,3.581673384,21.93255000000005,58.89213943,99.26457031,303.7900231481481,4.552008152,1239.0,2.314241886,2.847879171,0.183815792,0.8161842229999999,2.7497882535351827,0.234537899,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,1,72.27122790292611,4416.507000000001
11,201112,4.008496284,20.118005399999962,51.06188583,99.53946875,332.04773148148143,1.436660171,887.0,2.325825453,2.853684902,0.183815792,0.8161842229999999,2.7566560421226547,0.18850159600000002,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,12,74.03977168315663,4491.3315
36,201401,4.0909547810000015,24.11068119999999,43.20333099,99.52328125,330.4279629629628,0.526190519,931.5,2.314241886,2.847879171,0.183815792,0.8161842229999999,2.7497882535351827,0.137982115,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,1,53.56886422559475,4459.443149999999
17,201206,3.3146564960000005,8.924981699999991,75.55833435,100.1572188,80.9078761574074,1.335848808,413.0,2.425546646,2.9032192230000002,0.183815792,0.8161842229999999,2.8154155034903523,0.261174083,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,6,20.41931530582864,-9999.0
43,201408,2.847332954,9.185662800000047,67.38408661,100.8384453,142.26956018518518,0.297514319,1064.5,2.726404905,3.079725981,0.183815792,0.8161842229999999,3.0147800337806574,0.276821345,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,8,30.549871350333554,-9999.0
35,201312,3.727262497,20.6382385,49.23075485,99.44789844,316.3201388888889,1.998992801,862.5,2.325825453,2.853684902,0.183815792,0.8161842229999999,2.7566560421226547,0.191211522,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,12,70.16131377902819,-9999.0
33,201310,3.958512545,13.94198,56.48400497,99.73328906,249.7229861111111,0.750335455,855.0,2.657953262,3.041163445,0.183815792,0.8161842229999999,2.9707234073268416,0.23362553100000005,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,10,53.35641075501403,2819.3443899999997
7,201108,2.647675514,10.146478300000073,69.88598633,100.2176641,127.09504629629627,1.915417671,817.25,2.726404905,3.079725981,0.183815792,0.8161842229999999,3.0147800337806574,0.333636612,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,8,68.48574432447799,4221.844999999998
45,201410,3.454550743,16.430535899999995,54.2324295,99.84741406,260.2353703703704,0.5215632920000001,1113.333333,2.657953262,3.041163445,0.183815792,0.8161842229999999,2.9707234073268416,0.173906192,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,10,64.91494950302683,-9999.0
20,201209,3.411900282,11.786309800000026,60.39435959,99.82458594,182.7914236111111,0.985675871,878.75,2.796591997,3.116584301,0.183815792,0.8161842229999999,3.0577647089551,0.254103601,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,9,43.05792185398689,-9999.0
25,201302,3.5753266810000004,24.05581050000001,47.00621796,99.72202344,293.7336805555556,1.420439363,706.5,2.314250231,2.8478508,0.183815792,0.8161842229999999,2.749766631515376,0.148226514,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,2,37.41669289231909,3429.1115000000004
19,201208,3.735336065,8.726525899999956,70.46303558,99.91328906,123.64115740740739,1.390691519,637.0,2.726404905,3.079725981,0.183815792,0.8161842229999999,3.0147800337806574,0.312149793,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,8,40.833289922461866,-9999.0
21,201210,3.297244549,14.556634500000026,55.72393417,99.95594531,248.66949074074074,0.971197546,790.75,2.657953262,3.041163445,0.183815792,0.8161842229999999,2.9707234073268416,0.20473879600000008,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,10,51.77118960591793,-9999.0
13,201202,3.306649685,22.06969600000001,54.00326920000001,99.4525,266.64597222222216,2.9935009480000003,806.25,2.314251423,2.8479528430000003,0.183815792,0.8161842229999999,2.749850136510468,0.179683939,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,2,65.15436128133243,-9999.0
1,201102,3.615744829,20.217126500000067,66.69052124,99.69448438,244.00159722222224,5.363199234,1179.5,2.314250231,2.8478508,0.183815792,0.8161842229999999,2.749766631515376,0.32456415899999996,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,2,64.22125793223363,3922.646
4,201105,2.879071712,10.285150100000068,72.41456604,100.2441094,107.88320601851852,0.823969007,761.25,2.332048655,2.853433847,0.183815792,0.8161842229999999,2.7575950577969555,0.251156121,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,5,66.22544836164367,4081.551
12,201201,4.3421731,22.963616899999977,45.91488266,99.50917969,321.2413194444444,1.4632037880000002,864.25,2.314241886,2.847879171,0.183815792,0.8161842229999999,2.7497882535351827,0.15872331,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,1,63.95684386059944,4283.7609999999995
38,201403,3.147387505,20.012017800000077,57.18009567,99.97317969,218.421875,1.936824441,746.75,2.309050322,2.844444752,0.183815792,0.8161842229999999,2.7460308434838323,0.19630354600000002,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,3,42.741532908868244,2584.3337
22,201211,3.58507967,19.533654800000022,50.28405762,99.68226563,303.03229166666665,0.317089707,811.0,2.433108568,2.908849478,0.183815792,0.8161842229999999,2.8214008294742916,0.13161656300000002,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,11,50.49659526941857,3601.815430000001
29,201306,2.7686951160000004,8.933129899999981,73.73683167,100.2869063,91.09645833333332,1.329296708,524.25,2.425546646,2.9032192230000002,0.183815792,0.8161842229999999,2.8154155034903523,0.320987523,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,6,23.822559023160487,-9999.0
9,201110,3.357970476,14.952539100000026,61.0993309,99.97498438,233.64944444444444,0.434266329,1007.666667,2.657953262,3.041163445,0.183815792,0.8161842229999999,2.9707234073268416,0.22216253,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,10,72.21705960220476,4441.3499999999985
27,201304,2.9664680960000003,16.045648200000016,57.55997086,100.1520156,154.40525462962958,0.226137176,655.0,2.288328886,2.8296217919999997,0.183815792,0.8161842229999999,2.730123650223955,0.153880283,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,4,25.50409455092484,-9999.0
16,201205,2.939949512,10.798883100000069,67.13813019,100.3901172,105.91559027777777,0.858903527,572.6666667000002,2.332048655,2.853433847,0.183815792,0.8161842229999999,2.7575950577969555,0.19885002100000002,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,5,27.58430820790551,-9999.0
42,201407,3.55775547,8.494622800000059,78.5153656,100.035,84.61616898148148,1.4725722069999998,759.0,2.5658192630000003,2.985491037,0.183815792,0.8161842229999999,2.9083487822645098,0.34372443,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,7,33.22326505537871,-9999.0
46,201411,3.722612858,19.05471190000003,47.90280914,99.67714844,308.9903935185185,1.343991756,1022.0,2.433108568,2.908849478,0.183815792,0.8161842229999999,2.8214008294742916,0.179513946,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,11,70.94201589949243,3374.1082200000005
37,201402,3.796513319,23.529473899999967,46.3756485,99.41321875,285.97469907407407,0.5914217829999999,883.75,2.314250231,2.8478508,0.183815792,0.8161842229999999,2.749766631515376,0.136487067,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,2,43.39706872163956,3229.3290999999995
14,201203,3.622423649,17.87554320000004,61.88179016,99.80077344,205.17101851851854,1.04529357,944.25,2.309114933,2.84453249,0.183815792,0.8161842229999999,2.7461143303773268,0.24386532600000002,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,3,74.32588206898046,-9999.0
44,201409,3.350266218,12.011193800000058,64.12822723,100.1157266,190.80476851851847,1.628196359,1249.5,2.796591997,3.116584301,0.183815792,0.8161842229999999,3.0577647089551,0.259078115,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,9,47.33343904387853,-9999.0
2,201103,3.534958124,17.434716800000047,65.16391754,99.83888281,212.33115740740746,1.635241866,1223.0,2.309050322,2.844444752,0.183815792,0.8161842229999999,2.7460308434838323,0.289068043,158.59698490000005,29,48,22,0,1,0,0,0,0,0,0,0,0,0,3,71.51191635294812,4377.817
