,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
26,201205,3.527971268,8.393151900000019,74.16236115,95.14317188,96.67105902777777,1.610414863,999.0,0.432899594,2.610098124,0.636900485,0.363099515,1.2234393243017128,0.32846424,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,5,55.47810906629928,-9999.0
43,201310,4.245732307,10.145990000000037,68.62584686,94.54639844,219.585949074074,1.861496806,1940.333333,0.447363734,3.589849472,0.636900485,0.363099515,1.588398781362217,0.35627317399999997,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,10,69.04886513421461,-9999.0
33,201212,4.180336475,15.988122600000056,54.43598557,94.58091406,312.0635648148148,1.030757308,2147.5,0.438379854,3.1130142210000002,0.636900485,0.363099515,1.409538295460032,0.26252239899999996,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,12,130.64601435701474,-9999.0
12,201101,3.800201893,17.977655000000027,63.61966705,94.30409375,292.5655555555556,5.338624477,2341.5,0.434660554,2.84973073,0.636900485,0.363099515,1.311571363596565,0.331056476,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,1,125.23177602588022,-9999.0
49,201404,3.527474165,12.04433590000002,72.0760498,94.84561719,122.17189814814812,2.150933743,1135.333333,0.4312497970000001,2.550418615,0.636900485,0.363099515,1.2007189670189231,0.331249356,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,4,51.853025632727956,-9999.0
50,201405,3.22849822,10.371698000000038,78.6603241,94.92725,94.094375,1.7654078009999998,984.75,0.432899594,2.610098124,0.636900485,0.363099515,1.2234393243017128,0.332185805,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,5,43.435647504597824,-9999.0
38,201305,3.497273684,9.254388399999982,76.02300262,95.08046094,103.61287037037035,2.070430756,726.25,0.432899594,2.610098124,0.636900485,0.363099515,1.2234393243017128,0.285725713,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,5,49.7592193953415,-9999.0
35,201302,3.759684801,18.98592530000002,54.28188705,94.77576563,269.8727083333333,1.427954674,1471.0,0.434245884,2.7563021180000002,0.636900485,0.363099515,1.2773833763681266,0.229230359,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,2,87.00335775410791,2376.567523
6,201007,3.105084419,5.959832800000073,84.34571075,95.23805469,81.93734375,1.659116387,724.75,0.435816139,2.7488253119999997,0.636900485,0.363099515,1.2756686479068509,0.358440369,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,7,39.16844526480385,-9999.0
20,201111,3.60887599,14.505822800000033,65.65001678,94.53234375,254.89405092592602,3.932042599,2654.75,0.444704652,3.503293991,0.636900485,0.363099515,1.5552769575750705,0.363722861,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,11,137.906929744506,-9999.0
0,201001,4.169981003,18.229241899999977,50.12207413,94.46940625,331.4042361111111,0.949037671,2294.75,0.434660554,2.84973073,0.636900485,0.363099515,1.311571363596565,0.23438018600000002,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,1,155.72872218298403,-9999.0
37,201304,3.347428799,12.282464600000026,66.29682159,95.02296875,134.4890162037037,0.588637054,1104.666667,0.4312497970000001,2.550418615,0.636900485,0.363099515,1.2007189670189231,0.262868106,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,4,54.99415105645295,-9999.0
57,201412,3.945790291,15.903314200000011,56.09390259,94.23344531,301.4732638888889,1.249450445,2217.75,0.438379854,3.1130142210000002,0.636900485,0.363099515,1.409538295460032,0.269109637,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,12,125.9356290765132,-9999.0
11,201012,3.912518978,14.602624500000047,66.70352173,94.1719375,271.4885185185185,3.396495342,2474.75,0.438379854,3.1130142210000002,0.636900485,0.363099515,1.409538295460032,0.36416626,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,12,127.8983632566153,-9999.0
5,201006,3.490179777,6.332452400000022,82.24758911,95.18936719,75.77410300925925,1.769455671,665.75,0.433364362,2.635018826,0.636900485,0.363099515,1.2327840300759851,0.344742239,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,6,21.7299859298728,-9999.0
53,201408,3.238907814,6.875634800000057,77.64550781,95.589625,125.7949074074074,0.708272517,1104.0,0.439921916,3.0297138689999996,0.636900485,0.363099515,1.3802741180852025,0.34944587899999996,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,8,49.20629052235269,-9999.0
18,201109,4.124453068,9.020318600000053,69.31378174,94.62342188,176.86479166666663,1.796910286,1645.75,0.445913613,3.442034483,0.636900485,0.363099515,1.533803647778378,0.325853735,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,9,79.3356458804653,-9999.0
54,201409,3.761137486,9.189386000000011,71.01743317,94.90249219,179.67996527777774,1.508862376,1760.75,0.445913613,3.442034483,0.636900485,0.363099515,1.533803647778378,0.331768274,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,9,66.39128927460455,-9999.0
41,201308,4.601036549,7.075463900000045,82.37080383,94.31990625,107.7415277777778,3.271498442,884.5,0.439921916,3.0297138689999996,0.636900485,0.363099515,1.3802741180852025,0.386032194,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,8,46.93020239129166,-9999.0
40,201307,3.829888582,6.6967712000000015,85.51431274,94.99072656,77.2006712962963,2.522876501,622.25,0.435816139,2.7488253119999997,0.636900485,0.363099515,1.2756686479068509,0.361912668,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,7,33.58553356897641,-9999.0
25,201204,3.141165018,12.275048800000036,68.20810699,95.07085156,150.20133101851852,1.121366501,1413.25,0.4312497970000001,2.550418615,0.636900485,0.363099515,1.2007189670189231,0.287107974,582.8106079,33,38,28,1,0,0,0,0,0,0,0,0,0,0,4,69.72781888782825,-9999.0
