,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
84,201008,3.959690571,17.12789310000005,77.17760468,101.1929844,161.8967361111111,4.472083092,3601.25,2.540742397,2.447161674,0.7594341640000001,0.240352184,2.5177072311520474,0.21075721100000008,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,8,60.66017952670144,-9999.0
85,201009,3.4480977060000004,13.97030030000002,80.29842377,101.3390234,116.04895833333332,2.812114239,2717.5,2.34190011,2.406703711,0.7594341640000001,0.240352184,2.3569754453891134,0.24431882800000002,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,9,47.92741796768839,-9999.0
37,200405,3.108809948,12.183831800000007,71.42175293,101.4053125,201.06622685185184,1.470925808,3165.0,2.380264759,2.4134845730000003,0.7594341640000001,0.240352184,2.3877406655206843,0.18574807,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,5,39.65850688328524,2598.9808000000007
45,200503,4.003842354,6.50698239999997,81.63400269,101.4223047,107.84186342592592,1.7073227169999998,1190.0,1.810069919,2.310389996,0.7594341640000001,0.240352184,1.9299362171476642,0.249740839,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,3,11.663158074977536,-9999.0
97,201205,3.5957539080000003,14.224908400000004,72.99278259,101.4071953,213.04101851851848,2.131069899,2898.333333,2.380264759,2.4134845730000003,0.7594341640000001,0.240352184,2.3877406655206843,0.22297588,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,5,67.5923351922662,-9999.0
26,200304,4.105017662,10.150201400000013,61.36457062,101.5064453,187.8919328703704,1.6507301330000002,2277.333333,2.13756609,2.368116617,0.7594341640000001,0.240352184,2.1925227174165407,0.156278715,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,4,2.087259027125328,-9999.0
101,201209,3.615053177,14.633233600000038,74.16321564,101.34158590000001,133.15114583333332,1.724578977,2464.5,2.34190011,2.406703711,0.7594341640000001,0.240352184,2.3569754453891134,0.161730841,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,9,62.11491911514122,-9999.0
112,201403,3.570233107,8.193597399999987,68.99198151,101.4494844,137.77184027777776,1.08692801,1460.75,1.810069919,2.310389996,0.7594341640000001,0.240352184,1.9299362171476642,0.22876481699999998,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,3,20.364988778513123,-9999.0
21,200208,2.59578371,18.54741820000004,80.18645477,101.3168203,162.77284722222225,4.372632027,3583.75,2.540742397,2.447161674,0.7594341640000001,0.240352184,2.5177072311520474,0.224987537,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,8,56.10829414663285,-9999.0
33,200311,4.064824581,8.286431899999968,86.23862457,101.2592422,41.910425347222215,1.4888195990000002,507.0,1.98464036,2.334958315,0.7594341640000001,0.240352184,2.068416023196469,0.22905419800000001,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,11,0.7326831256460481,-9999.0
11,200106,3.587929726,15.249292000000025,68.70374298,101.5175234,216.37715277777767,2.196701765,3444.5,2.596033812,2.4544785019999997,0.7594341640000001,0.240352184,2.5614560362687016,0.164123401,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,6,64.88765740758397,-9999.0
46,200504,3.428730249,10.282159399999957,71.69598389,101.2218516,165.07760416666662,2.44844079,2553.666667,2.13756609,2.368116617,0.7594341640000001,0.240352184,2.1925227174165407,0.248684183,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,4,30.270809929634705,-9999.0
96,201204,4.003994465,8.289971899999955,76.81102753,100.3554297,160.27067129629629,2.984405041,2400.0,2.13756609,2.368116617,0.7594341640000001,0.240352184,2.1925227174165407,0.233051717,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,4,34.937963076475576,-9999.0
25,200303,3.501737595,7.5176941000000275,69.50724792,102.1662031,137.9739699074074,1.018590927,953.25,1.810069919,2.310389996,0.7594341640000001,0.240352184,1.9299362171476642,0.218200907,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,3,1.9272799800657587,-9999.0
32,200310,4.086555958,8.209771699999976,79.79169464,101.1489219,84.9828298611111,2.052893877,1035.0,2.03624177,2.3481216430000003,0.7594341640000001,0.240352184,2.110767731494549,0.207154647,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,10,1.8026337575646865,-9999.0
99,201207,3.530508995,17.147729500000025,73.72905731,101.2433359,212.14976851851853,3.928721428,3840.75,2.7131328580000003,2.479862213,0.7594341640000001,0.240352184,2.6564860827497845,0.241499275,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,7,115.20836794125424,-9999.0
108,201306,4.148543835,15.552880899999993,75.77547455,101.6134063,204.8242361111111,2.051405191,2850.75,2.596033812,2.4544785019999997,0.7594341640000001,0.240352184,2.5614560362687016,0.19054207199999998,16.52956963,7,76,17,0,0,0,0,0,0,0,0,1,0,0,6,73.83661344409774,-9999.0
