,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
9,200106,2.785130978,13.077020300000072,64.63542938,94.48763281,229.7817592592593,2.49249053,1656.0,1.445665836,2.8940835,0.034959488,0.965040505,2.8434475397978187,0.21840125300000002,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,6,61.780344998753826,-9999.0
1,200006,3.025820017,11.106195100000038,69.69410706,94.39942969,221.23513888888888,3.073314905,1375.0,1.445665836,2.8940835,0.034959488,0.965040505,2.8434475397978187,0.252625585,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,6,62.51460310701285,-9999.0
12,200109,3.262590885,12.218377700000019,68.27713013,94.49905469,155.60667824074068,1.403803229,643.75,1.426013231,2.304240942,0.034959488,0.965040505,2.2735385347463413,0.18910068300000002,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,9,35.182311344410024,1326.6049999999998
13,200110,3.526965857,2.3644348000000264,67.85633087,94.07489063,85.07854166666667,0.7796773909999999,196.0,1.410981655,1.878631115,0.034959488,0.965040505,1.8622823161645057,0.195537746,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,10,10.215349021090192,-9999.0
6,200103,3.242330074,-5.805303999999977,77.10444641,94.47564844,149.06215277777775,0.622587323,172.25,1.40296948,1.6140246390000001,0.034959488,0.965040505,1.6066462474034289,0.20315234399999998,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,3,7.4355247936284306,1973.8779400000005
10,200107,3.211442471,17.257562300000018,67.72799683,94.33364844,231.80930555555562,2.600044489,1964.75,1.463465452,3.431154013,0.034959488,0.965040505,3.362364604345905,0.207354531,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,7,78.42061106280741,-9999.0
5,200102,3.071724653,-17.269903599999964,86.11200714,94.69783594,82.52787037037038,0.654634953,116.75,1.400889158,1.5577656030000002,0.034959488,0.965040505,1.552281271899181,0.20140187399999998,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,2,3.001589494368635,-9999.0
2,200007,2.982959747,16.477197300000054,76.31996918,94.47789063,201.6577083333333,4.0660228730000005,2063.0,1.463465452,3.431154013,0.034959488,0.965040505,3.362364604345905,0.260727495,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,7,74.24253302778355,-9999.0
4,200009,3.747746706,9.529412800000047,73.62922668,94.24511719,133.92712962962966,1.555872202,644.0,1.426013231,2.304240942,0.034959488,0.965040505,2.2735385347463413,0.22826083,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,9,36.06423108335184,-9999.0
0,200005,3.116815805,6.892816200000027,67.91757202,94.14283594,200.7163888888889,2.140447617,591.6666667000002,1.4265517,2.289913893,0.034959488,0.965040505,2.2597311767447663,0.244899526,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,5,53.96342406147234,-9999.0
11,200108,3.245599985,17.816583300000048,62.40758133,94.40367969,223.90002314814808,0.966386318,1442.0,1.450438023,3.061469316,0.034959488,0.965040505,3.0051484654144573,0.182774737,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,8,77.15940421504173,2176.9689000000008
7,200104,3.095454693,1.4884888000000274,60.66352463,94.37907031,208.48905092592602,1.3533787730000002,361.3333333,1.413482308,1.901819348,0.034959488,0.965040505,1.884747321797429,0.275188863,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,4,25.32554947852148,-9999.0
3,200008,3.20433569,15.016168200000038,72.30371094,94.40742969,185.0306828703704,3.646558523,1626.25,1.450438023,3.061469316,0.034959488,0.965040505,3.0051484654144573,0.247196585,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,8,64.82081243481802,-9999.0
14,200111,3.31959486,-2.4419311999999422,81.92971039,94.43329688,40.685766782407406,0.433880627,151.25,1.407099843,1.771451116,0.034959488,0.965040505,1.7587135696436138,0.209950313,545.3969116000002,9,55,21,0,0,0,0,0,0,1,0,0,0,0,11,4.630028751341771,-9999.0
