,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200202,3.4402709010000003,-9.12195429999997,83.97103119,95.15071094,80.91390046296296,0.434340894,104.25,1.219202638,3.114867926,0.012894267,0.865350306,2.711172637255162,0.326030761,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,2,0.44939762849111625,136.384526
28,200309,3.58975482,10.533441200000027,75.10647583,94.99367188,124.45238425925925,1.539138556,415.5,1.219231606,3.714748144,0.012894267,0.865350306,3.2302795409859355,0.324153811,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,9,22.38113492070533,-9999.0
52,200604,3.161822319,5.404626500000063,59.05505753,94.91215625,229.40798611111111,0.34298870000000004,339.6666667,1.219261527,3.362578392,0.012894267,0.865350306,2.925529724138153,0.397982925,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,4,36.9215605478412,2384.518100000001
18,200209,3.51522994,10.386193800000058,71.75075531,94.80314844,126.68358796296295,2.063401222,495.25,1.219231606,3.714748144,0.012894267,0.865350306,3.2302795409859355,0.356655538,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,9,25.35793803170991,-9999.0
46,200509,3.213519335,10.98592530000002,72.7765274,94.9045625,143.81925925925924,3.217687845,405.5,1.219231606,3.714748144,0.012894267,0.865350306,3.2302795409859355,0.39634156200000004,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,9,38.79245284977237,-9999.0
12,200203,3.10713625,-13.785589599999929,77.85832977,95.57097656,149.35005787037036,0.5583762529999999,18.0,1.219209433,3.149511814,0.012894267,0.865350306,2.7411518239535355,0.321901172,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,3,0.4504766362025393,143.95001200000004
5,200106,2.684546947,13.652948000000038,67.16614532,95.12025,232.66891203703705,2.585684299,1450.25,1.219201565,4.216160774,0.012894267,0.865350306,3.6641767264320246,0.351103693,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,6,66.51162450613737,-9999.0
53,200605,3.168779373,9.318292199999972,68.59317017,95.00076563,198.98872685185185,3.668577909,701.0,1.219222665,3.680268049,0.012894267,0.865350306,3.2004420649391343,0.373645216,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,5,50.732782623791984,-9999.0
60,200612,3.668269396,-9.383856199999967,86.60063934,94.84703125,29.61391203703703,0.6301985379999999,148.25,1.219260573,3.076892853,0.012894267,0.865350306,2.678311643243598,0.345307469,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,12,23.557766201474386,777.1436999999999
33,200406,3.080415487,11.215325899999984,68.91503143,95.29334375,221.35733796296296,3.895929337,939.0,1.219201565,4.216160774,0.012894267,0.865350306,3.6641767264320246,0.38391569299999995,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,6,47.10521194537099,-9999.0
25,200306,3.003700972,14.626000999999974,68.06653595,94.81922656,234.39006944444444,2.141101837,1308.75,1.219201565,4.216160774,0.012894267,0.865350306,3.6641767264320246,0.349254787,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,6,56.36917703441138,1821.68337
6,200107,3.140884161,17.800531000000035,68.55625153,94.95396875,234.51356481481483,2.725096226,1636.0,1.2192053790000001,4.592545509,0.012894267,0.865350306,3.9898814212167375,0.341502517,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,7,85.51891152991425,-9999.0
21,200302,2.815481663,-17.898825099999982,86.00089264,95.30778906,80.62920138888889,0.50188911,80.0,1.219202638,3.114867926,0.012894267,0.865350306,2.711172637255162,0.328465611,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,2,1.8639046305617413,-9999.0
0,200101,3.3256342410000004,-7.339514199999996,85.98665619,94.94969531,37.161721643518526,0.27776718100000003,149.5,1.219233394,3.100232601,0.012894267,0.865350306,2.6985083508640777,0.33103609100000003,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,1,14.524712773005323,-9999.0
20,200211,3.4088652130000003,-5.257665999999971,85.43677521,94.93246875,39.93080729166665,0.5205438729999999,136.0,1.219210982,3.258258104,0.012894267,0.865350306,2.83525547925462,0.34013885299999996,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,11,3.4623021254260813,-9999.0
56,200608,3.339206457,16.913446000000018,71.49578857,95.00250781,208.5239351851852,2.68475461,1277.5,1.21920526,4.34275198,0.012894267,0.865350306,3.77372251292535,0.375383914,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,8,67.10169990297062,-9999.0
57,200609,3.4569835660000003,11.293725600000016,74.36481476,95.24053906,126.42423611111107,4.811761379,503.0,1.219231606,3.714748144,0.012894267,0.865350306,3.2302795409859355,0.374416649,555.2897339,15,39,44,0,0,0,0,0,0,1,0,0,0,0,9,31.137975663331307,-9999.0
