,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
41,200508,2.739399195,22.43312989999999,69.4185257,98.71035156,232.56796296296287,3.419657946,3393.0,2.949666739,1.964854956,0.158103555,0.841896474,2.1205572568789823,0.323807746,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,8,156.28718082851074,-9999.0
32,200409,2.980437279,18.353418000000037,71.25372314,99.16020313,191.00171296296293,2.059443712,2157.0,2.911281109,1.549093843,0.158103555,0.841896474,1.7644605372540518,0.333921283,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,9,98.90018787088269,-9999.0
12,200301,4.289465427,-8.859960899999976,75.72522736,98.65948438,82.91282407407405,0.983674645,34.0,2.833146811,0.7163263559999999,0.158103555,0.841896474,1.051003216005682,0.3743189870000001,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,1,23.242031113615752,-9999.0
56,200702,4.473619938,-9.270422399999973,76.05332184,98.57825781,122.024375,1.396775484,-34.25,2.83322072,0.716910541,0.158103555,0.841896474,1.051506724572992,0.36782681899999997,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,2,53.32984025389711,-9999.0
57,200703,4.086359024,0.11727289999998902,67.92914581,99.09350781,163.64331018518516,1.742793083,87.5,2.841921091,0.808027446,0.158103555,0.841896474,1.129593285199204,0.396525323,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,3,74.03158596004073,-9999.0
25,200402,3.710086823,-5.187567099999967,75.41770935,99.18284375,128.84763888888887,1.300120711,-41.25,2.833334923,0.717625737,0.158103555,0.841896474,1.0521269014639023,0.37196013299999997,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,2,17.02980995441683,-9999.0
33,200410,3.714836359,11.153070100000038,74.35391235,98.66778125,111.46245370370369,2.054024458,547.75,2.872184753,1.12878263,0.158103555,0.841896474,1.4044207361755434,0.325392097,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,10,50.354022410388524,-9999.0
5,200206,3.081412077,20.152734399999982,68.5499649,98.65182031,272.65388888888884,3.211882353,2017.5,2.918801069,1.645309806,0.158103555,0.841896474,1.8466533496557245,0.36679038399999997,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,6,157.519806076235,-9999.0
11,200212,4.35336113,-2.2961181999999667,75.41671753,98.63660156,57.026782407407396,1.634636283,60.25,2.840451717,0.789143026,0.158103555,0.841896474,1.1134622453346443,0.37270078100000004,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,12,26.34426506194233,-9999.0
64,200712,3.904372931,-2.127050799999949,80.5716629,98.8485,51.15255208333333,3.70477128,64.5,2.840451717,0.789143026,0.158103555,0.841896474,1.1134622453346443,0.38349536100000003,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,12,20.22461812293016,-9999.0
0,200201,4.474167823999999,-0.8546203999999875,74.38648987,98.44,70.30460069444446,2.0192790030000003,30.0,2.833146811,0.7163263559999999,0.158103555,0.841896474,1.051003216005682,0.37914025799999995,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,1,87.34174177549038,768.9675000000003
18,200307,3.08956337,21.360437000000047,69.16207123,98.55004688,253.1413657407407,3.384510994,3144.0,2.9462718960000003,1.934109569,0.158103555,0.841896474,2.0941360872249497,0.348875135,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,7,113.69947555533713,-9999.0
6,200207,2.925358057,23.51003420000001,63.95431899999999,98.76671875,290.1775462962962,2.47584796,2783.0,2.9462718960000003,1.934109569,0.158103555,0.841896474,2.0941360872249497,0.30883499999999997,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,7,212.30189226089385,823.852163
49,200604,3.452841282,8.316949500000021,61.92133331,98.56471094,226.1054861111111,2.176114559,554.6666667000002,2.860025167,1.006601214,0.158103555,0.841896474,1.2996341590828882,0.375413626,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,4,78.10214781501968,-9999.0
40,200507,2.598922491,23.703851300000053,64.74404144,98.71021094,278.5201388888889,3.289293766,3430.25,2.9462718960000003,1.934109569,0.158103555,0.841896474,2.0941360872249497,0.282226741,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,7,51.35796233616861,2093.5113
26,200403,3.898193836,1.2210632000000032,74.32802582,98.99661719,137.86239583333332,3.1569566730000003,51.25,2.842045546,0.808221161,0.158103555,0.841896474,1.1297760499526024,0.398008525,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,3,39.52080555242711,-9999.0
21,200310,3.5209620000000004,9.459344499999986,71.51298523,98.53745313,129.82221064814814,1.970640659,450.33333330000005,2.872184753,1.12878263,0.158103555,0.841896474,1.4044207361755434,0.372341961,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,10,50.692266186457566,-9999.0
47,200602,4.392328739,-3.4855102999999867,67.87826538,98.48894531,112.8270601851852,2.521577358,43.0,2.83322072,0.716910541,0.158103555,0.841896474,1.051506724572992,0.384319067,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,2,24.270234350482212,-9999.0
20,200309,3.492555857,17.039636200000018,71.89758301,98.85839844,177.98546296296294,3.806500912,1671.0,2.911281109,1.549093843,0.158103555,0.841896474,1.7644605372540518,0.35234463200000005,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,9,77.64472735989364,-9999.0
42,200509,3.087185383,19.164636200000018,70.24406433,98.95492188,198.93854166666665,2.696618557,1816.25,2.911281109,1.549093843,0.158103555,0.841896474,1.7644605372540518,0.342114598,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,9,130.57758119176648,-9999.0
61,200707,2.739453077,21.004510500000038,62.67246246,98.60202344,265.23699074074074,1.96799767,3266.75,2.9462718960000003,1.934109569,0.158103555,0.841896474,2.0941360872249497,0.26521486,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,7,173.35816737974525,-9999.0
44,200511,4.794695377,5.340570100000036,71.06534576,98.46589844,73.22746527777777,4.081217289,211.5,2.850434303,0.8884017470000001,0.158103555,0.841896474,1.1986060948929873,0.376568854,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,11,75.89955538549819,-9999.0
28,200405,3.389186859,14.68166500000001,72.06051636,98.6529375,236.4897453703704,6.033393383,1392.0,2.892720938,1.356950879,0.158103555,0.841896474,1.5997616243420354,0.38858109700000004,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,5,98.02327602191706,-9999.0
60,200706,3.02298665,21.13988650000005,57.88966751,98.61238281,308.27613425925927,1.550018787,2496.0,2.918801069,1.645309806,0.158103555,0.841896474,1.8466533496557245,0.273412079,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,6,198.7262147560425,-9999.0
50,200605,3.257246494,14.447534200000007,65.33458710000001,98.27932813,255.04261574074073,3.444867373,1486.25,2.892720938,1.356950879,0.158103555,0.841896474,1.5997616243420354,0.35898906,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,5,117.77401381566456,-9999.0
35,200501,3.699106932,-6.351995799999997,75.61614227,99.34033594,75.24217013888888,2.890838861,38.0,2.833146811,0.7163263559999999,0.158103555,0.841896474,1.051003216005682,0.38142690100000004,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,1,26.58042564131007,-9999.0
46,200601,4.152641773,0.4506165000000237,75.99749756,98.40646094,66.63717013888889,2.613604069,109.5,2.833146811,0.7163263559999999,0.158103555,0.841896474,1.051003216005682,0.398576915,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,1,31.666282773736896,-9999.0
17,200306,3.514031649,18.367425500000024,65.9670639,98.50371875,271.335625,2.473395109,2175.5,2.918801069,1.645309806,0.158103555,0.841896474,1.8466533496557245,0.361307293,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,6,126.03865735534141,-9999.0
7,200208,2.944941282,22.049523899999997,69.49326324,98.96608594,241.95659722222214,1.42553401,3262.5,2.949666739,1.964854956,0.158103555,0.841896474,2.1205572568789823,0.293215662,237.0290527,9,67,23,0,0,0,0,0,0,0,0,1,0,0,8,148.71944510127932,-9999.0
